Id,Prediction
1,2
2,3
3,3
4,3
5,2
6,3
7,2
8,1
9,3
10,3
11,1
12,1
13,2
14,3
15,3
16,3
17,3
18,2
19,1
20,2
21,2
22,2
23,2
24,2
25,0
26,2
27,2
28,3
29,1
30,0
31,2
32,1
33,1
34,2
35,1
36,2
37,3
38,1
39,1
40,1
41,0
42,3
43,3
44,0
45,3
46,2
47,2
48,3
49,2
50,3
51,3
52,3
53,3
54,3
55,1
56,3
57,2
58,1
59,3
60,2
61,2
62,3
63,3
64,2
65,1
66,3
67,3
68,3
69,2
70,2
71,3
72,1
73,3
74,2
75,3
76,2
77,2
78,0
79,2
80,2
81,2
82,1
83,2
84,1
85,0
86,2
87,3
88,2
89,3
90,3
91,2
92,1
93,3
94,2
95,2
96,3
97,2
98,2
99,3
100,1
101,3
102,3
103,2
104,2
105,3
106,1
107,1
108,1
109,1
110,1
111,3
112,3
113,2
114,1
115,2
116,1
117,3
118,2
119,3
120,2
121,3
122,3
123,2
124,1
125,2
126,3
127,2
128,3
129,2
130,3
131,3
132,3
133,0
134,1
135,2
136,2
137,3
138,1
139,1
140,2
141,2
142,3
143,0
144,3
145,2
146,3
147,1
148,3
149,3
150,2
151,0
152,2
153,1
154,3
155,3
156,3
157,3
158,2
159,2
160,2
161,3
162,2
163,3
164,1
165,3
166,3
167,2
168,2
169,1
170,2
171,1
172,3
173,2
174,1
175,1
176,3
177,1
178,2
179,2
180,3
181,1
182,0
183,3
184,3
185,3
186,3
187,1
188,3
189,3
190,3
191,2
192,2
193,3
194,3
195,3
196,3
197,3
198,1
199,1
200,1
201,1
202,3
203,3
204,1
205,3
206,3
207,3
208,1
209,2
210,1
211,1
212,2
213,3
214,0
215,1
216,3
217,2
218,3
219,1
220,2
221,2
222,3
223,1
224,2
225,1
226,3
227,3
228,2
229,1
230,3
231,2
232,0
233,3
234,3
235,3
236,3
237,3
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,0
247,2
248,2
249,2
250,3
251,3
252,1
253,1
254,1
255,3
256,0
257,3
258,3
259,2
260,1
261,2
262,0
263,1
264,3
265,1
266,1
267,1
268,1
269,3
270,1
271,0
272,2
273,1
274,0
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,2
283,2
284,1
285,3
286,3
287,1
288,3
289,1
290,3
291,0
292,2
293,1
294,1
295,2
296,1
297,2
298,2
299,2
300,1
301,1
302,2
303,3
304,0
305,3
306,2
307,2
308,2
309,3
310,3
311,3
312,1
313,2
314,3
315,3
316,2
317,2
318,2
319,1
320,3
321,1
322,2
323,3
324,1
325,2
326,0
327,2
328,2
329,2
330,3
331,2
332,3
333,1
334,1
335,0
336,3
337,1
338,3
339,2
340,1
341,2
342,2
343,1
344,3
345,1
346,0
347,3
348,2
349,2
350,3
351,1
352,1
353,3
354,2
355,2
356,2
357,2
358,3
359,2
360,3
361,1
362,3
363,0
364,0
365,1
366,3
367,0
368,3
369,3
370,2
371,3
372,3
373,3
374,2
375,2
376,3
377,2
378,1
379,3
380,2
381,3
382,3
383,3
384,1
385,3
386,3
387,2
388,2
389,3
390,1
391,3
392,3
393,2
394,2
395,3
396,3
397,1
398,1
399,2
400,2
401,3
402,2
403,3
404,2
405,3
406,2
407,3
408,3
409,1
410,2
411,3
412,2
413,3
414,1
415,2
416,1
417,3
418,2
419,2
420,2
421,3
422,2
423,1
424,1
425,3
426,2
427,0
428,2
429,3
430,3
431,0
432,2
433,3
434,1
435,1
436,3
437,3
438,1
439,1
440,1
441,3
442,1
443,2
444,3
445,2
446,3
447,2
448,2
449,3
450,1
451,3
452,2
453,2
454,0
455,3
456,3
457,2
458,2
459,3
460,3
461,1
462,1
463,3
464,2
465,3
466,3
467,3
468,2
469,1
470,2
471,2
472,3
473,2
474,0
475,3
476,3
477,3
478,3
479,0
480,3
481,3
482,3
483,3
484,2
485,3
486,0
487,3
488,2
489,2
490,3
491,3
492,0
493,3
494,1
495,3
496,2
497,3
498,3
499,2
500,2
501,1
502,3
503,2
504,3
505,1
506,1
507,2
508,3
509,2
510,3
511,3
512,3
513,1
514,1
515,2
516,3
517,3
518,1
519,1
520,1
521,3
522,1
523,2
524,3
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,1
533,1
534,3
535,2
536,1
537,1
538,1
539,3
540,3
541,1
542,2
543,3
544,2
545,3
546,3
547,2
548,2
549,1
550,3
551,2
552,3
553,2
554,1
555,2
556,3
557,3
558,3
559,3
560,3
561,3
562,1
563,2
564,0
565,3
566,2
567,1
568,3
569,2
570,2
571,3
572,1
573,3
574,3
575,2
576,1
577,2
578,2
579,1
580,1
581,2
582,2
583,2
584,3
585,2
586,1
587,1
588,2
589,2
590,0
591,1
592,2
593,3
594,3
595,3
596,3
597,3
598,3
599,1
600,3
601,1
602,3
603,2
604,3
605,2
606,3
607,2
608,2
609,2
610,3
611,1
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,2
620,3
621,2
622,2
623,1
624,2
625,0
626,3
627,3
628,1
629,1
630,3
631,3
632,2
633,3
634,1
635,3
636,2
637,1
638,3
639,3
640,3
641,0
642,3
643,2
644,2
645,1
646,2
647,2
648,1
649,3
650,2
651,3
652,3
653,1
654,1
655,2
656,2
657,3
658,2
659,2
660,1
661,2
662,2
663,2
664,1
665,3
666,1
667,3
668,2
669,3
670,3
671,2
672,0
673,2
674,0
675,1
676,2
677,1
678,2
679,3
680,2
681,1
682,3
683,2
