Id,Prediction
1,2
2,3
3,3
4,2
5,2
6,3
7,2
8,3
9,2
10,3
11,1
12,3
13,3
14,3
15,0
16,3
17,3
18,2
19,3
20,3
21,1
22,2
23,1
24,1
25,0
26,1
27,3
28,3
29,3
30,0
31,2
32,3
33,1
34,1
35,1
36,3
37,3
38,1
39,3
40,1
41,2
42,3
43,3
44,2
45,1
46,1
47,2
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,1
56,3
57,1
58,1
59,1
60,2
61,2
62,3
63,3
64,3
65,1
66,3
67,3
68,3
69,3
70,3
71,3
72,1
73,1
74,1
75,3
76,3
77,1
78,2
79,2
80,2
81,2
82,1
83,1
84,3
85,2
86,3
87,3
88,2
89,1
90,3
91,2
92,3
93,3
94,2
95,2
96,3
97,2
98,3
99,3
100,3
101,2
102,3
103,3
104,2
105,3
106,3
107,3
108,0
109,3
110,0
111,3
112,3
113,2
114,3
115,3
116,1
117,2
118,2
119,3
120,2
121,3
122,3
123,2
124,3
125,2
126,1
127,2
128,3
129,3
130,3
131,3
132,3
133,3
134,2
135,2
136,2
137,3
138,1
139,1
140,2
141,2
142,2
143,3
144,2
145,1
146,3
147,1
148,3
149,3
150,2
151,3
152,2
153,3
154,3
155,2
156,3
157,0
158,3
159,1
160,1
161,3
162,3
163,3
164,1
165,2
166,3
167,2
168,3
169,1
170,0
171,1
172,1
173,3
174,3
175,1
176,3
177,3
178,3
179,3
180,3
181,1
182,1
183,1
184,3
185,3
186,3
187,3
188,2
189,0
190,2
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,1
199,1
200,3
201,1
202,0
203,2
204,1
205,3
206,3
207,0
208,1
209,1
210,1
211,1
212,2
213,0
214,1
215,3
216,3
217,2
218,3
219,1
220,3
221,3
222,3
223,3
224,3
225,3
226,2
227,3
228,2
229,0
230,3
231,2
232,3
233,3
234,3
235,3
236,3
237,1
238,2
239,1
240,0
241,2
242,3
243,1
244,3
245,3
246,3
247,3
248,0
249,1
250,0
251,3
252,1
253,3
254,0
255,1
256,1
257,3
258,2
259,3
260,3
261,3
262,0
263,1
264,3
265,3
266,3
267,2
268,1
269,3
270,3
271,0
272,2
273,3
274,2
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,3
284,0
285,2
286,2
287,1
288,3
289,1
290,1
291,3
292,2
293,1
294,3
295,3
296,1
297,2
298,2
299,2
300,3
301,2
302,3
303,3
304,1
305,3
306,1
307,2
308,2
309,3
310,3
311,3
312,1
313,3
314,3
315,3
316,2
317,3
318,3
319,3
320,0
321,3
322,2
323,3
324,1
325,2
326,3
327,2
328,2
329,3
330,3
331,2
332,2
333,1
334,3
335,1
336,3
337,1
338,2
339,2
340,1
341,2
342,3
343,3
344,3
345,0
346,3
347,3
348,2
349,3
350,3
351,3
352,1
353,3
354,3
355,2
356,1
357,3
358,3
359,3
360,3
361,2
362,3
363,3
364,0
365,1
366,3
367,0
368,3
369,3
370,3
371,3
372,3
373,3
374,2
375,2
376,3
377,2
378,3
379,3
380,3
381,3
382,3
383,3
384,1
385,3
386,2
387,2
388,3
389,3
390,0
391,2
392,3
393,2
394,2
395,3
396,1
397,3
398,3
399,3
400,2
401,2
402,2
403,3
404,3
405,3
406,1
407,3
408,3
409,1
410,1
411,3
412,2
413,3
414,1
415,3
416,3
417,0
418,0
419,3
420,2
421,0
422,3
423,2
424,2
425,3
426,3
427,1
428,2
429,1
430,3
431,3
432,2
433,0
434,3
435,3
436,3
437,3
438,3
439,1
440,1
441,2
442,1
443,3
444,3
445,2
446,3
447,2
448,3
449,3
450,1
451,3
452,2
453,3
454,3
455,3
456,3
457,3
458,3
459,0
460,3
461,3
462,1
463,2
464,3
465,3
466,3
467,1
468,2
469,3
470,3
471,2
472,3
473,3
474,3
475,3
476,3
477,2
478,3
479,0
480,3
481,3
482,3
483,3
484,3
485,3
486,0
487,3
488,2
489,0
490,3
491,2
492,1
493,3
494,3
495,0
496,0
497,2
498,3
499,3
500,3
501,1
502,2
503,3
504,3
505,1
506,3
507,1
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,1
517,3
518,3
519,2
520,3
521,3
522,1
523,1
524,2
525,3
526,3
527,0
528,1
529,3
530,2
531,3
532,1
533,3
534,3
535,3
536,3
537,3
538,1
539,3
540,3
541,1
542,1
543,1
544,2
545,1
546,3
547,3
548,3
549,3
550,3
551,1
552,2
553,3
554,2
555,0
556,3
557,3
558,3
559,3
560,1
561,2
562,3
563,3
564,1
565,3
566,2
567,1
568,3
569,3
570,2
571,3
572,3
573,2
574,3
575,2
576,1
577,1
578,2
579,1
580,3
581,2
582,1
583,2
584,3
585,0
586,3
587,2
588,2
589,2
590,1
591,3
592,2
593,3
594,3
595,2
596,3
597,2
598,2
599,1
600,1
601,1
602,2
603,2
604,3
605,2
606,3
607,3
608,2
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,2
617,2
618,3
619,3
620,3
621,2
622,2
623,3
624,2
625,0
626,3
627,3
628,3
629,3
630,3
631,2
632,3
633,3
634,1
635,3
636,3
637,1
638,2
639,3
640,3
641,3
642,3
643,2
644,3
645,2
646,3
647,3
648,3
649,3
650,3
651,3
652,2
653,1
654,3
655,1
656,3
657,3
658,3
659,3
660,1
661,1
662,3
663,3
664,3
665,1
666,3
667,0
668,2
669,3
670,3
671,2
672,3
673,1
674,1
675,0
676,1
677,1
678,2
679,3
680,2
681,1
682,3
683,2
