Id,Prediction
1,1
2,0
3,3
4,2
5,2
6,3
7,2
8,1
9,3
10,3
11,1
12,1
13,3
14,3
15,0
16,3
17,3
18,2
19,3
20,2
21,2
22,2
23,1
24,1
25,3
26,1
27,0
28,3
29,3
30,3
31,3
32,1
33,2
34,2
35,1
36,2
37,3
38,1
39,1
40,0
41,2
42,3
43,3
44,3
45,2
46,2
47,2
48,1
49,2
50,1
51,3
52,3
53,1
54,3
55,1
56,3
57,2
58,1
59,1
60,2
61,3
62,0
63,3
64,2
65,1
66,3
67,2
68,2
69,3
70,2
71,3
72,1
73,1
74,1
75,2
76,3
77,3
78,3
79,2
80,2
81,3
82,3
83,2
84,3
85,2
86,0
87,3
88,3
89,3
90,3
91,1
92,0
93,3
94,0
95,2
96,3
97,2
98,3
99,3
100,1
101,2
102,3
103,2
104,3
105,3
106,3
107,3
108,1
109,2
110,3
111,2
112,3
113,3
114,3
115,3
116,1
117,2
118,2
119,3
120,2
121,3
122,3
123,2
124,3
125,2
126,0
127,3
128,3
129,2
130,3
131,3
132,2
133,0
134,3
135,2
136,2
137,3
138,2
139,2
140,0
141,2
142,0
143,3
144,3
145,2
146,3
147,1
148,3
149,3
150,2
151,0
152,2
153,3
154,3
155,2
156,3
157,3
158,0
159,2
160,2
161,3
162,2
163,3
164,1
165,2
166,3
167,2
168,2
169,1
170,3
171,2
172,1
173,2
174,2
175,1
176,2
177,3
178,3
179,2
180,3
181,1
182,2
183,2
184,1
185,3
186,3
187,3
188,3
189,3
190,3
191,2
192,3
193,1
194,3
195,3
196,2
197,2
198,0
199,1
200,3
201,3
202,3
203,2
204,1
205,3
206,3
207,3
208,1
209,1
210,1
211,3
212,3
213,2
214,1
215,3
216,3
217,1
218,3
219,1
220,2
221,1
222,3
223,2
224,2
225,3
226,3
227,3
228,2
229,3
230,3
231,2
232,3
233,3
234,3
235,3
236,3
237,0
238,2
239,3
240,3
241,2
242,3
243,1
244,3
245,1
246,3
247,3
248,2
249,1
250,3
251,2
252,3
253,3
254,1
255,3
256,1
257,3
258,3
259,3
260,3
261,1
262,0
263,1
264,0
265,3
266,3
267,1
268,1
269,3
270,2
271,1
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,2
281,3
282,3
283,3
284,1
285,2
286,3
287,2
288,3
289,1
290,1
291,3
292,3
293,1
294,3
295,3
296,3
297,2
298,3
299,3
300,3
301,1
302,2
303,2
304,0
305,3
306,3
307,2
308,2
309,3
310,3
311,3
312,1
313,3
314,3
315,3
316,2
317,2
318,2
319,3
320,2
321,1
322,2
323,3
324,1
325,3
326,3
327,2
328,2
329,3
330,3
331,2
332,2
333,1
334,3
335,0
336,3
337,2
338,2
339,2
340,1
341,2
342,2
343,3
344,3
345,2
346,2
347,2
348,2
349,3
350,2
351,3
352,3
353,1
354,0
355,2
356,2
357,3
358,2
359,0
360,3
361,1
362,3
363,1
364,0
365,1
366,3
367,3
368,3
369,3
370,3
371,2
372,3
373,3
374,3
375,2
376,3
377,2
378,3
379,3
380,2
381,3
382,2
383,3
384,1
385,3
386,2
387,2
388,3
389,1
390,0
391,3
392,3
393,2
394,2
395,3
396,3
397,2
398,3
399,3
400,2
401,3
402,2
403,3
404,2
405,3
406,1
407,3
408,3
409,1
410,3
411,3
412,3
413,3
414,1
415,3
416,2
417,0
418,1
419,2
420,2
421,3
422,2
423,2
424,3
425,3
426,3
427,3
428,3
429,1
430,3
431,0
432,2
433,3
434,3
435,3
436,3
437,2
438,2
439,2
440,2
441,3
442,1
443,2
444,3
445,2
446,3
447,2
448,3
449,3
450,1
451,3
452,1
453,2
454,3
455,3
456,3
457,2
458,2
459,3
460,3
461,2
462,1
463,2
464,3
465,2
466,3
467,2
468,3
469,1
470,2
471,2
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,0
480,3
481,3
482,3
483,2
484,3
485,3
486,0
487,3
488,2
489,1
490,1
491,3
492,1
493,3
494,3
495,3
496,3
497,2
498,3
499,3
500,3
501,2
502,2
503,3
504,3
505,1
506,3
507,2
508,3
509,2
510,3
511,3
512,3
513,1
514,3
515,3
516,3
517,3
518,3
519,3
520,0
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,1
529,3
530,3
531,3
532,0
533,3
534,3
535,3
536,3
537,3
538,1
539,3
540,3
541,1
542,2
543,1
544,2
545,1
546,3
547,2
548,2
549,1
550,3
551,1
552,3
553,3
554,1
555,3
556,2
557,3
558,1
559,3
560,2
561,2
562,2
563,3
564,0
565,2
566,2
567,1
568,2
569,1
570,2
571,3
572,1
573,3
574,3
575,2
576,1
577,3
578,2
579,1
580,2
581,2
582,1
583,2
584,2
585,3
586,1
587,3
588,2
589,1
590,0
591,3
592,2
593,1
594,0
595,2
596,3
597,2
598,2
599,1
600,1
601,1
602,3
603,2
604,3
605,2
606,3
607,3
608,2
609,3
610,3
611,1
612,1
613,3
614,2
615,2
616,2
617,3
618,3
619,3
620,3
621,2
622,3
623,3
624,3
625,0
626,3
627,2
628,0
629,3
630,3
631,2
632,3
633,3
634,2
635,3
636,2
637,1
638,1
639,3
640,2
641,0
642,2
643,2
644,2
645,1
646,0
647,2
648,1
649,3
650,3
651,3
652,3
653,1
654,3
655,0
656,2
657,3
658,2
659,3
660,2
661,2
662,3
663,3
664,3
665,1
666,1
667,2
668,0
669,3
670,3
671,3
672,3
673,1
674,3
675,1
676,2
677,1
678,2
679,2
680,3
681,3
682,3
683,2
