Id,Prediction
1,3
2,3
3,3
4,3
5,2
6,3
7,3
8,2
9,3
10,3
11,1
12,2
13,3
14,3
15,0
16,3
17,3
18,2
19,3
20,2
21,2
22,2
23,2
24,1
25,0
26,1
27,3
28,3
29,3
30,3
31,3
32,1
33,1
34,2
35,1
36,3
37,3
38,1
39,3
40,1
41,0
42,3
43,3
44,1
45,3
46,3
47,3
48,1
49,3
50,3
51,3
52,3
53,3
54,3
55,1
56,2
57,2
58,2
59,1
60,3
61,3
62,2
63,2
64,3
65,1
66,2
67,3
68,3
69,3
70,3
71,3
72,1
73,1
74,2
75,2
76,3
77,1
78,0
79,3
80,3
81,2
82,1
83,2
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,2
95,3
96,3
97,2
98,2
99,3
100,1
101,3
102,3
103,2
104,2
105,3
106,3
107,3
108,1
109,3
110,2
111,3
112,3
113,2
114,2
115,3
116,1
117,2
118,2
119,3
120,2
121,3
122,3
123,3
124,3
125,2
126,3
127,2
128,3
129,2
130,3
131,3
132,3
133,3
134,3
135,2
136,3
137,3
138,1
139,3
140,2
141,2
142,0
143,0
144,2
145,1
146,2
147,1
148,2
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,2
159,2
160,1
161,2
162,0
163,3
164,1
165,2
166,3
167,2
168,2
169,2
170,0
171,3
172,1
173,2
174,2
175,1
176,3
177,3
178,2
179,3
180,2
181,1
182,1
183,1
184,3
185,3
186,3
187,2
188,2
189,3
190,3
191,2
192,3
193,3
194,2
195,3
196,3
197,3
198,1
199,1
200,3
201,3
202,3
203,3
204,1
205,3
206,2
207,3
208,1
209,2
210,1
211,3
212,2
213,3
214,1
215,3
216,3
217,1
218,3
219,1
220,3
221,3
222,3
223,3
224,2
225,1
226,3
227,2
228,2
229,3
230,3
231,2
232,0
233,3
234,3
235,2
236,3
237,1
238,3
239,3
240,3
241,2
242,3
243,2
244,3
245,3
246,3
247,2
248,3
249,2
250,3
251,3
252,1
253,3
254,1
255,3
256,3
257,3
258,1
259,2
260,3
261,3
262,0
263,1
264,3
265,3
266,3
267,1
268,1
269,2
270,3
271,3
272,2
273,3
274,3
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,3
284,1
285,3
286,2
287,3
288,3
289,1
290,2
291,2
292,2
293,1
294,3
295,2
296,3
297,3
298,2
299,3
300,1
301,2
302,2
303,3
304,3
305,2
306,1
307,2
308,3
309,3
310,3
311,3
312,1
313,2
314,3
315,1
316,3
317,3
318,3
319,2
320,2
321,3
322,2
323,2
324,3
325,2
326,0
327,2
328,2
329,3
330,3
331,3
332,2
333,3
334,2
335,1
336,2
337,2
338,3
339,3
340,1
341,3
342,2
343,3
344,3
345,3
346,0
347,3
348,2
349,3
350,3
351,3
352,1
353,3
354,2
355,2
356,1
357,3
358,3
359,2
360,3
361,1
362,3
363,3
364,1
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,2
376,3
377,2
378,1
379,3
380,2
381,3
382,2
383,3
384,1
385,3
386,3
387,3
388,3
389,3
390,0
391,3
392,3
393,3
394,2
395,3
396,1
397,2
398,2
399,3
400,3
401,3
402,1
403,3
404,2
405,3
406,2
407,3
408,3
409,1
410,3
411,2
412,3
413,2
414,1
415,3
416,3
417,0
418,3
419,2
420,2
421,3
422,2
423,2
424,3
425,3
426,3
427,0
428,2
429,1
430,3
431,0
432,2
433,3
434,2
435,3
436,3
437,3
438,3
439,1
440,2
441,3
442,1
443,3
444,3
445,1
446,3
447,3
448,1
449,3
450,1
451,3
452,2
453,2
454,3
455,3
456,2
457,3
458,1
459,2
460,3
461,2
462,2
463,3
464,2
465,3
466,3
467,3
468,2
469,2
470,2
471,2
472,3
473,3
474,0
475,2
476,2
477,3
478,3
479,0
480,3
481,3
482,3
483,3
484,2
485,3
486,3
487,3
488,2
489,2
490,3
491,3
492,1
493,3
494,2
495,1
496,2
497,2
498,3
499,3
500,3
501,1
502,3
503,2
504,3
505,3
506,3
507,2
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,1
517,3
518,3
519,3
520,1
521,3
522,2
523,3
524,3
525,3
526,2
527,0
528,1
529,3
530,2
531,3
532,0
533,3
534,3
535,3
536,3
537,2
538,1
539,2
540,3
541,1
542,2
543,1
544,2
545,1
546,2
547,2
548,2
549,3
550,3
551,1
552,3
553,3
554,1
555,2
556,2
557,1
558,3
559,3
560,3
561,2
562,3
563,2
564,3
565,3
566,2
567,1
568,2
569,2
570,2
571,3
572,1
573,3
574,3
575,2
576,1
577,1
578,3
579,1
580,3
581,2
582,1
583,3
584,3
585,2
586,3
587,2
588,3
589,1
590,0
591,3
592,2
593,3
594,3
595,2
596,3
597,2
598,3
599,1
600,2
601,1
602,2
603,3
604,3
605,2
606,3
607,3
608,2
609,0
610,3
611,3
612,3
613,3
614,3
615,3
616,2
617,2
618,2
619,2
620,3
621,3
622,2
623,3
624,3
625,3
626,3
627,3
628,2
629,1
630,3
631,3
632,3
633,3
634,1
635,3
636,3
637,1
638,2
639,3
640,3
641,3
642,2
643,3
644,2
645,1
646,2
647,3
648,3
649,3
650,3
651,3
652,3
653,3
654,3
655,2
656,2
657,3
658,2
659,2
660,2
661,2
662,2
663,3
664,1
665,1
666,1
667,0
668,1
669,3
670,3
671,3
672,0
673,2
674,1
675,0
676,2
677,0
678,3
679,3
680,2
681,1
682,3
683,2
