Id,Prediction
1,2
2,3
3,3
4,3
5,2
6,3
7,2
8,3
9,3
10,3
11,1
12,3
13,3
14,2
15,0
16,2
17,3
18,2
19,3
20,2
21,3
22,2
23,1
24,1
25,0
26,3
27,2
28,3
29,3
30,0
31,3
32,1
33,1
34,2
35,2
36,3
37,3
38,3
39,3
40,2
41,0
42,3
43,3
44,3
45,2
46,2
47,2
48,2
49,2
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,2
58,3
59,3
60,2
61,2
62,3
63,3
64,3
65,1
66,2
67,2
68,3
69,3
70,3
71,3
72,1
73,3
74,1
75,3
76,3
77,3
78,3
79,0
80,2
81,3
82,1
83,2
84,3
85,3
86,3
87,3
88,2
89,3
90,3
91,2
92,1
93,3
94,2
95,3
96,3
97,2
98,2
99,3
100,1
101,3
102,3
103,2
104,3
105,3
106,3
107,2
108,0
109,1
110,2
111,3
112,3
113,2
114,1
115,2
116,1
117,2
118,2
119,1
120,2
121,3
122,3
123,2
124,3
125,2
126,0
127,3
128,2
129,2
130,3
131,3
132,3
133,3
134,3
135,2
136,3
137,3
138,3
139,1
140,2
141,2
142,0
143,0
144,2
145,2
146,3
147,2
148,3
149,3
150,2
151,2
152,0
153,3
154,3
155,2
156,3
157,2
158,2
159,1
160,2
161,3
162,0
163,3
164,1
165,2
166,3
167,3
168,2
169,1
170,0
171,1
172,1
173,2
174,2
175,1
176,2
177,3
178,2
179,3
180,2
181,1
182,3
183,1
184,3
185,3
186,3
187,2
188,3
189,3
190,2
191,2
192,3
193,3
194,2
195,3
196,3
197,3
198,1
199,1
200,1
201,1
202,2
203,3
204,1
205,3
206,3
207,3
208,1
209,1
210,1
211,3
212,2
213,3
214,1
215,1
216,3
217,3
218,3
219,3
220,2
221,3
222,3
223,2
224,2
225,1
226,3
227,3
228,2
229,3
230,3
231,2
232,0
233,3
234,3
235,2
236,3
237,3
238,3
239,1
240,3
241,2
242,3
243,1
244,2
245,1
246,3
247,3
248,1
249,1
250,3
251,3
252,1
253,3
254,0
255,3
256,0
257,3
258,3
259,3
260,3
261,2
262,3
263,2
264,2
265,3
266,3
267,3
268,1
269,3
270,3
271,0
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,1
280,3
281,3
282,2
283,2
284,1
285,2
286,2
287,3
288,3
289,1
290,2
291,2
292,3
293,1
294,3
295,2
296,1
297,3
298,2
299,3
300,3
301,3
302,2
303,3
304,3
305,3
306,1
307,2
308,2
309,3
310,3
311,3
312,1
313,3
314,3
315,3
316,3
317,3
318,2
319,1
320,1
321,1
322,2
323,3
324,1
325,3
326,0
327,2
328,1
329,2
330,3
331,2
332,2
333,3
334,2
335,1
336,3
337,1
338,2
339,2
340,2
341,2
342,3
343,3
344,3
345,2
346,2
347,2
348,2
349,3
350,2
351,3
352,1
353,3
354,2
355,3
356,1
357,2
358,3
359,2
360,3
361,0
362,3
363,0
364,1
365,1
366,3
367,3
368,2
369,3
370,3
371,3
372,3
373,3
374,3
375,2
376,3
377,3
378,3
379,1
380,2
381,3
382,1
383,3
384,1
385,3
386,3
387,3
388,3
389,3
390,3
391,2
392,3
393,3
394,2
395,3
396,3
397,2
398,3
399,2
400,3
401,3
402,3
403,3
404,3
405,2
406,1
407,3
408,3
409,1
410,3
411,3
412,2
413,3
414,1
415,3
416,2
417,3
418,1
419,3
420,3
421,0
422,2
423,2
424,3
425,3
426,3
427,0
428,3
429,1
430,3
431,3
432,2
433,3
434,1
435,3
436,3
437,3
438,2
439,1
440,1
441,3
442,1
443,1
444,2
445,3
446,3
447,2
448,2
449,3
450,1
451,3
452,3
453,2
454,3
455,3
456,3
457,3
458,2
459,3
460,3
461,3
462,1
463,3
464,3
465,3
466,3
467,1
468,3
469,2
470,2
471,2
472,3
473,3
474,0
475,3
476,2
477,3
478,3
479,0
480,1
481,3
482,3
483,2
484,2
485,3
486,0
487,3
488,3
489,2
490,3
491,3
492,1
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,1
502,3
503,2
504,3
505,1
506,3
507,2
508,3
509,2
510,3
511,0
512,3
513,1
514,3
515,2
516,3
517,3
518,3
519,3
520,0
521,3
522,1
523,1
524,0
525,3
526,3
527,3
528,1
529,3
530,3
531,3
532,1
533,3
534,3
535,3
536,1
537,3
538,1
539,3
540,3
541,1
542,2
543,2
544,2
545,3
546,3
547,3
548,2
549,3
550,3
551,3
552,3
553,3
554,1
555,3
556,2
557,1
558,3
559,3
560,1
561,3
562,3
563,2
564,3
565,3
566,2
567,2
568,3
569,3
570,2
571,3
572,2
573,3
574,3
575,2
576,1
577,2
578,2
579,2
580,3
581,2
582,1
583,2
584,2
585,2
586,1
587,2
588,3
589,0
590,0
591,0
592,3
593,3
594,3
595,2
596,3
597,2
598,3
599,1
600,3
601,0
602,2
603,2
604,2
605,2
606,3
607,3
608,2
609,3
610,3
611,1
612,3
613,3
614,3
615,3
616,2
617,2
618,3
619,3
620,3
621,3
622,1
623,3
624,2
625,3
626,3
627,2
628,3
629,3
630,3
631,3
632,3
633,3
634,0
635,3
636,3
637,1
638,2
639,3
640,3
641,2
642,3
643,3
644,3
645,1
646,2
647,3
648,3
649,3
650,2
651,3
652,3
653,2
654,3
655,2
656,3
657,1
658,3
659,2
660,3
661,2
662,2
663,3
664,3
665,2
666,1
667,3
668,3
669,3
670,0
671,3
672,3
673,3
674,1
675,1
676,3
677,0
678,3
679,3
680,2
681,1
682,3
683,3
