Id,Prediction
1,3
2,3
3,3
4,3
5,2
6,2
7,2
8,3
9,3
10,3
11,1
12,3
13,2
14,3
15,0
16,3
17,3
18,2
19,1
20,2
21,2
22,1
23,2
24,1
25,0
26,2
27,3
28,3
29,3
30,0
31,3
32,3
33,1
34,3
35,1
36,3
37,3
38,1
39,2
40,1
41,0
42,2
43,2
44,0
45,3
46,3
47,2
48,1
49,1
50,3
51,3
52,3
53,1
54,3
55,1
56,3
57,2
58,3
59,1
60,0
61,3
62,2
63,2
64,2
65,1
66,3
67,2
68,3
69,3
70,2
71,3
72,3
73,1
74,2
75,2
76,2
77,3
78,3
79,2
80,2
81,2
82,1
83,1
84,3
85,0
86,3
87,3
88,3
89,1
90,3
91,3
92,0
93,3
94,2
95,3
96,3
97,2
98,3
99,3
100,1
101,2
102,3
103,1
104,3
105,3
106,3
107,3
108,1
109,2
110,3
111,2
112,3
113,3
114,1
115,3
116,1
117,3
118,2
119,3
120,2
121,2
122,3
123,2
124,3
125,2
126,2
127,3
128,2
129,1
130,3
131,3
132,3
133,3
134,1
135,2
136,2
137,3
138,2
139,2
140,3
141,3
142,3
143,0
144,2
145,3
146,3
147,3
148,3
149,3
150,2
151,2
152,3
153,1
154,3
155,2
156,3
157,0
158,3
159,1
160,1
161,2
162,2
163,3
164,1
165,2
166,3
167,2
168,1
169,1
170,1
171,1
172,1
173,2
174,1
175,1
176,3
177,1
178,2
179,3
180,3
181,1
182,3
183,1
184,3
185,2
186,2
187,3
188,3
189,3
190,3
191,2
192,3
193,3
194,3
195,3
196,3
197,3
198,1
199,1
200,3
201,1
202,3
203,3
204,1
205,1
206,3
207,0
208,2
209,2
210,3
211,3
212,2
213,3
214,1
215,1
216,2
217,3
218,1
219,2
220,2
221,3
222,3
223,1
224,2
225,3
226,3
227,3
228,2
229,1
230,3
231,2
232,0
233,3
234,2
235,2
236,3
237,1
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,1
247,2
248,3
249,1
250,3
251,3
252,1
253,3
254,2
255,3
256,1
257,3
258,3
259,2
260,3
261,1
262,3
263,1
264,3
265,3
266,1
267,1
268,3
269,3
270,1
271,1
272,2
273,2
274,3
275,3
276,3
277,3
278,3
279,1
280,2
281,3
282,3
283,3
284,1
285,2
286,3
287,1
288,3
289,1
290,2
291,2
292,2
293,1
294,3
295,3
296,3
297,2
298,1
299,2
300,3
301,1
302,2
303,3
304,0
305,3
306,3
307,2
308,2
309,3
310,3
311,2
312,1
313,2
314,3
315,3
316,2
317,3
318,3
319,1
320,1
321,3
322,2
323,3
324,1
325,2
326,2
327,2
328,3
329,3
330,1
331,2
332,2
333,3
334,1
335,3
336,3
337,3
338,3
339,2
340,3
341,2
342,2
343,3
344,2
345,3
346,0
347,2
348,2
349,3
350,3
351,2
352,1
353,1
354,2
355,3
356,1
357,2
358,3
359,2
360,3
361,3
362,3
363,2
364,0
365,1
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,2
376,3
377,3
378,3
379,3
380,2
381,3
382,3
383,3
384,1
385,3
386,3
387,3
388,2
389,1
390,0
391,3
392,3
393,3
394,2
395,3
396,3
397,3
398,1
399,3
400,2
401,3
402,3
403,3
404,3
405,3
406,1
407,3
408,3
409,1
410,3
411,3
412,3
413,3
414,1
415,2
416,3
417,3
418,2
419,2
420,2
421,3
422,2
423,2
424,2
425,3
426,2
427,0
428,3
429,1
430,2
431,3
432,2
433,2
434,3
435,3
436,2
437,3
438,1
439,3
440,2
441,3
442,1
443,3
444,3
445,1
446,3
447,3
448,3
449,3
450,1
451,2
452,2
453,2
454,0
455,3
456,3
457,3
458,2
459,3
460,3
461,3
462,1
463,2
464,2
465,3
466,3
467,0
468,2
469,1
470,2
471,2
472,2
473,3
474,0
475,3
476,1
477,2
478,3
479,0
480,1
481,3
482,3
483,2
484,1
485,3
486,3
487,2
488,2
489,2
490,3
491,2
492,1
493,3
494,2
495,0
496,2
497,2
498,2
499,2
500,3
501,1
502,2
503,1
504,3
505,1
506,1
507,1
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,1
517,3
518,1
519,3
520,0
521,3
522,3
523,1
524,3
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,0
533,2
534,3
535,2
536,1
537,3
538,1
539,3
540,3
541,1
542,2
543,2
544,2
545,1
546,3
547,3
548,2
549,2
550,3
551,2
552,3
553,3
554,1
555,1
556,3
557,3
558,3
559,3
560,3
561,2
562,3
563,2
564,1
565,3
566,2
567,1
568,3
569,2
570,2
571,3
572,1
573,3
574,2
575,2
576,1
577,3
578,2
579,3
580,1
581,2
582,3
583,3
584,3
585,3
586,1
587,3
588,1
589,1
590,0
591,3
592,3
593,3
594,3
595,2
596,3
597,2
598,3
599,1
600,1
601,0
602,3
603,2
604,3
605,2
606,3
607,2
608,3
609,0
610,3
611,1
612,3
613,3
614,2
615,3
616,2
617,2
618,3
619,3
620,2
621,2
622,2
623,3
624,2
625,3
626,3
627,3
628,3
629,1
630,2
631,3
632,2
633,3
634,1
635,3
636,3
637,1
638,2
639,3
640,3
641,2
642,2
643,3
644,2
645,1
646,3
647,3
648,2
649,3
650,3
651,3
652,3
653,1
654,3
655,1
656,1
657,3
658,1
659,2
660,1
661,2
662,2
663,3
664,3
665,1
666,1
667,3
668,3
669,3
670,3
671,3
672,1
673,2
674,1
675,3
676,2
677,1
678,2
679,3
680,3
681,3
682,3
683,2
