Id,Prediction
1,3
2,3
3,3
4,3
5,2
6,2
7,2
8,2
9,3
10,3
11,1
12,1
13,3
14,3
15,3
16,3
17,3
18,2
19,3
20,1
21,1
22,2
23,1
24,1
25,3
26,1
27,3
28,1
29,3
30,0
31,3
32,1
33,1
34,2
35,1
36,3
37,3
38,3
39,1
40,3
41,0
42,3
43,3
44,0
45,2
46,2
47,2
48,2
49,1
50,3
51,3
52,3
53,2
54,1
55,3
56,3
57,2
58,1
59,1
60,3
61,3
62,2
63,3
64,3
65,1
66,3
67,3
68,3
69,3
70,2
71,3
72,1
73,1
74,1
75,3
76,3
77,3
78,3
79,2
80,2
81,2
82,3
83,1
84,3
85,3
86,3
87,3
88,2
89,2
90,3
91,2
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,1
101,2
102,3
103,2
104,3
105,3
106,3
107,2
108,1
109,1
110,2
111,2
112,2
113,2
114,1
115,3
116,1
117,3
118,2
119,1
120,2
121,3
122,3
123,2
124,3
125,2
126,0
127,2
128,3
129,2
130,3
131,3
132,3
133,3
134,1
135,2
136,2
137,3
138,2
139,0
140,3
141,2
142,3
143,3
144,2
145,2
146,0
147,1
148,3
149,3
150,2
151,2
152,3
153,2
154,3
155,2
156,3
157,1
158,3
159,1
160,2
161,3
162,2
163,3
164,2
165,2
166,3
167,1
168,2
169,1
170,1
171,1
172,1
173,2
174,1
175,1
176,2
177,3
178,2
179,3
180,3
181,1
182,3
183,1
184,2
185,3
186,3
187,2
188,3
189,2
190,3
191,2
192,3
193,3
194,3
195,3
196,3
197,2
198,1
199,1
200,2
201,1
202,2
203,3
204,1
205,3
206,3
207,3
208,1
209,1
210,1
211,3
212,2
213,3
214,1
215,2
216,3
217,1
218,3
219,1
220,2
221,3
222,3
223,3
224,2
225,1
226,3
227,3
228,2
229,3
230,3
231,3
232,3
233,3
234,2
235,3
236,3
237,1
238,3
239,1
240,2
241,2
242,3
243,1
244,3
245,1
246,3
247,3
248,3
249,1
250,1
251,3
252,1
253,3
254,1
255,3
256,1
257,3
258,2
259,2
260,1
261,3
262,3
263,1
264,2
265,3
266,3
267,2
268,1
269,3
270,3
271,1
272,2
273,3
274,2
275,3
276,3
277,3
278,2
279,1
280,2
281,3
282,2
283,3
284,1
285,3
286,3
287,2
288,3
289,1
290,1
291,2
292,3
293,1
294,3
295,2
296,3
297,2
298,2
299,2
300,2
301,1
302,2
303,3
304,3
305,3
306,1
307,2
308,2
309,3
310,3
311,3
312,1
313,3
314,2
315,3
316,3
317,2
318,3
319,1
320,1
321,1
322,2
323,3
324,1
325,3
326,1
327,2
328,2
329,3
330,1
331,2
332,3
333,1
334,2
335,1
336,2
337,1
338,2
339,2
340,3
341,2
342,2
343,3
344,2
345,1
346,1
347,2
348,2
349,2
350,3
351,2
352,1
353,2
354,2
355,2
356,2
357,2
358,2
359,0
360,3
361,1
362,3
363,3
364,1
365,1
366,3
367,0
368,3
369,3
370,3
371,3
372,1
373,2
374,2
375,2
376,2
377,3
378,1
379,2
380,2
381,3
382,3
383,2
384,1
385,2
386,2
387,3
388,2
389,3
390,0
391,3
392,3
393,3
394,2
395,3
396,3
397,3
398,3
399,2
400,2
401,3
402,0
403,3
404,2
405,2
406,1
407,3
408,3
409,1
410,3
411,3
412,2
413,3
414,1
415,3
416,3
417,3
418,1
419,2
420,2
421,3
422,2
423,2
424,3
425,3
426,2
427,1
428,3
429,1
430,3
431,1
432,0
433,3
434,1
435,3
436,3
437,3
438,2
439,1
440,1
441,3
442,1
443,2
444,3
445,1
446,3
447,2
448,2
449,3
450,1
451,3
452,2
453,3
454,2
455,1
456,3
457,2
458,2
459,3
460,3
461,2
462,1
463,2
464,2
465,3
466,3
467,1
468,2
469,2
470,2
471,2
472,2
473,3
474,3
475,3
476,2
477,3
478,3
479,3
480,1
481,3
482,3
483,3
484,1
485,2
486,2
487,3
488,2
489,1
490,3
491,3
492,1
493,3
494,3
495,3
496,3
497,2
498,3
499,3
500,3
501,1
502,3
503,1
504,1
505,1
506,2
507,2
508,3
509,2
510,3
511,3
512,3
513,1
514,2
515,2
516,3
517,3
518,2
519,1
520,2
521,3
522,1
523,1
524,3
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,2
533,3
534,3
535,2
536,3
537,2
538,1
539,3
540,3
541,3
542,2
543,1
544,2
545,3
546,3
547,1
548,3
549,1
550,3
551,2
552,3
553,2
554,1
555,1
556,3
557,3
558,3
559,3
560,1
561,3
562,2
563,2
564,1
565,2
566,2
567,1
568,3
569,2
570,2
571,3
572,1
573,2
574,3
575,2
576,1
577,2
578,2
579,1
580,3
581,2
582,0
583,2
584,3
585,2
586,2
587,2
588,3
589,1
590,1
591,3
592,2
593,3
594,2
595,1
596,2
597,2
598,1
599,1
600,1
601,1
602,2
603,1
604,3
605,2
606,3
607,3
608,3
609,2
610,3
611,3
612,3
613,2
614,3
615,3
616,2
617,2
618,2
619,1
620,2
621,2
622,2
623,3
624,2
625,3
626,3
627,3
628,1
629,1
630,3
631,2
632,2
633,3
634,1
635,3
636,3
637,1
638,2
639,3
640,3
641,1
642,2
643,3
644,3
645,1
646,3
647,2
648,2
649,3
650,2
651,3
652,3
653,1
654,3
655,1
656,2
657,1
658,2
659,3
660,2
661,2
662,3
663,3
664,2
665,3
666,2
667,3
668,2
669,2
670,3
671,2
672,0
673,1
674,1
675,2
676,3
677,2
678,2
679,3
680,3
681,1
682,3
683,2
