Id,Prediction
1,2
2,3
3,3
4,3
5,2
6,3
7,2
8,3
9,3
10,3
11,2
12,1
13,2
14,3
15,1
16,3
17,3
18,2
19,3
20,3
21,2
22,2
23,1
24,1
25,0
26,1
27,3
28,3
29,3
30,2
31,2
32,3
33,1
34,1
35,1
36,2
37,3
38,3
39,3
40,3
41,0
42,3
43,2
44,1
45,0
46,2
47,2
48,3
49,1
50,3
51,2
52,3
53,3
54,2
55,1
56,2
57,2
58,1
59,3
60,2
61,2
62,3
63,3
64,3
65,1
66,3
67,2
68,3
69,3
70,2
71,2
72,1
73,3
74,3
75,2
76,3
77,3
78,1
79,2
80,3
81,2
82,1
83,2
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,2
92,1
93,3
94,2
95,3
96,3
97,2
98,3
99,3
100,1
101,3
102,3
103,1
104,2
105,3
106,3
107,0
108,1
109,3
110,1
111,2
112,3
113,2
114,1
115,3
116,1
117,3
118,2
119,1
120,2
121,3
122,0
123,2
124,0
125,2
126,3
127,2
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,2
136,1
137,2
138,3
139,3
140,3
141,2
142,1
143,3
144,3
145,3
146,2
147,3
148,3
149,3
150,2
151,3
152,3
153,2
154,3
155,2
156,3
157,1
158,3
159,1
160,2
161,3
162,2
163,2
164,1
165,3
166,3
167,2
168,2
169,1
170,3
171,3
172,3
173,2
174,2
175,1
176,3
177,1
178,2
179,2
180,3
181,1
182,1
183,1
184,3
185,3
186,3
187,2
188,3
189,3
190,3
191,3
192,1
193,3
194,3
195,3
196,2
197,3
198,1
199,1
200,3
201,1
202,0
203,2
204,1
205,3
206,1
207,3
208,1
209,1
210,1
211,1
212,3
213,3
214,1
215,1
216,3
217,2
218,3
219,2
220,2
221,3
222,1
223,2
224,2
225,1
226,1
227,3
228,2
229,3
230,1
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,1
240,2
241,2
242,3
243,1
244,3
245,1
246,0
247,3
248,3
249,1
250,1
251,2
252,1
253,3
254,1
255,3
256,1
257,3
258,1
259,3
260,3
261,3
262,3
263,2
264,1
265,3
266,3
267,3
268,1
269,3
270,3
271,1
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,2
281,2
282,3
283,3
284,1
285,3
286,2
287,2
288,3
289,1
290,2
291,3
292,3
293,1
294,3
295,2
296,1
297,2
298,2
299,2
300,3
301,1
302,1
303,3
304,3
305,3
306,3
307,2
308,3
309,3
310,3
311,3
312,1
313,2
314,3
315,3
316,2
317,2
318,3
319,2
320,1
321,1
322,3
323,3
324,1
325,3
326,1
327,2
328,2
329,3
330,3
331,2
332,2
333,1
334,0
335,0
336,3
337,1
338,3
339,2
340,1
341,1
342,2
343,1
344,3
345,3
346,2
347,3
348,2
349,3
350,3
351,1
352,1
353,2
354,2
355,2
356,1
357,3
358,3
359,3
360,3
361,3
362,3
363,3
364,0
365,1
366,3
367,3
368,3
369,3
370,2
371,3
372,3
373,3
374,2
375,2
376,3
377,3
378,3
379,3
380,2
381,3
382,2
383,3
384,1
385,3
386,2
387,2
388,3
389,3
390,1
391,1
392,2
393,2
394,2
395,3
396,3
397,3
398,0
399,3
400,3
401,3
402,2
403,1
404,2
405,2
406,1
407,3
408,3
409,1
410,2
411,3
412,3
413,2
414,1
415,3
416,1
417,0
418,1
419,3
420,3
421,1
422,3
423,2
424,3
425,3
426,2
427,1
428,3
429,1
430,3
431,3
432,2
433,3
434,2
435,3
436,3
437,3
438,3
439,1
440,2
441,3
442,1
443,3
444,2
445,3
446,3
447,2
448,1
449,3
450,1
451,3
452,2
453,3
454,0
455,3
456,3
457,3
458,1
459,3
460,3
461,2
462,1
463,2
464,2
465,3
466,3
467,0
468,2
469,2
470,2
471,2
472,3
473,3
474,3
475,3
476,2
477,3
478,2
479,0
480,1
481,3
482,3
483,3
484,2
485,3
486,0
487,3
488,2
489,3
490,3
491,3
492,1
493,2
494,3
495,1
496,3
497,2
498,1
499,3
500,3
501,1
502,3
503,1
504,3
505,1
506,0
507,3
508,3
509,2
510,3
511,3
512,3
513,0
514,3
515,2
516,3
517,2
518,1
519,3
520,1
521,3
522,1
523,3
524,3
525,1
526,3
527,3
528,1
529,3
530,3
531,3
532,3
533,1
534,3
535,3
536,1
537,3
538,3
539,3
540,3
541,1
542,3
543,3
544,3
545,3
546,3
547,1
548,2
549,3
550,3
551,3
552,3
553,3
554,1
555,3
556,2
557,2
558,3
559,3
560,1
561,3
562,3
563,3
564,0
565,3
566,2
567,0
568,2
569,3
570,2
571,3
572,2
573,3
574,3
575,2
576,1
577,3
578,2
579,2
580,1
581,2
582,3
583,3
584,3
585,3
586,1
587,2
588,3
589,0
590,1
591,3
592,3
593,3
594,0
595,3
596,2
597,2
598,2
599,1
600,1
601,1
602,3
603,3
604,3
605,2
606,1
607,3
608,2
609,2
610,3
611,1
612,3
613,3
614,3
615,2
616,2
617,2
618,2
619,3
620,3
621,2
622,2
623,1
624,2
625,1
626,3
627,3
628,1
629,1
630,3
631,2
632,2
633,3
634,1
635,1
636,2
637,1
638,1
639,3
640,3
641,1
642,3
643,3
644,3
645,1
646,3
647,3
648,3
649,3
650,2
651,3
652,2
653,2
654,3
655,2
656,2
657,1
658,2
659,2
660,2
661,3
662,3
663,3
664,2
665,1
666,3
667,3
668,0
669,3
670,3
671,2
672,3
673,1
674,1
675,1
676,3
677,1
678,2
679,2
680,3
681,1
682,3
683,2
