Id,Prediction
1,2
2,3
3,2
4,3
5,2
6,3
7,2
8,2
9,2
10,3
11,1
12,3
13,0
14,2
15,0
16,3
17,3
18,2
19,0
20,2
21,0
22,2
23,2
24,0
25,0
26,3
27,0
28,2
29,2
30,1
31,0
32,0
33,3
34,2
35,1
36,2
37,0
38,1
39,0
40,1
41,0
42,0
43,2
44,1
45,2
46,2
47,2
48,1
49,1
50,2
51,2
52,3
53,3
54,3
55,1
56,3
57,2
58,0
59,0
60,2
61,2
62,1
63,3
64,3
65,0
66,3
67,3
68,3
69,2
70,0
71,0
72,2
73,0
74,0
75,3
76,2
77,2
78,0
79,2
80,2
81,2
82,1
83,0
84,1
85,0
86,3
87,3
88,2
89,3
90,3
91,2
92,0
93,3
94,2
95,0
96,3
97,3
98,1
99,3
100,2
101,0
102,3
103,2
104,2
105,3
106,1
107,0
108,2
109,1
110,2
111,0
112,1
113,1
114,1
115,3
116,1
117,3
118,2
119,1
120,2
121,3
122,0
123,2
124,0
125,2
126,3
127,2
128,3
129,2
130,0
131,0
132,2
133,3
134,0
135,2
136,0
137,3
138,0
139,3
140,3
141,2
142,0
143,0
144,3
145,2
146,2
147,0
148,1
149,3
150,2
151,0
152,0
153,0
154,0
155,3
156,3
157,0
158,0
159,2
160,2
161,3
162,3
163,3
164,0
165,2
166,3
167,2
168,1
169,2
170,2
171,0
172,1
173,2
174,1
175,0
176,2
177,1
178,2
179,2
180,0
181,1
182,3
183,2
184,0
185,2
186,3
187,1
188,3
189,3
190,3
191,0
192,0
193,3
194,3
195,3
196,0
197,3
198,1
199,1
200,0
201,1
202,0
203,2
204,1
205,0
206,3
207,2
208,0
209,0
210,1
211,0
212,3
213,3
214,1
215,1
216,3
217,0
218,3
219,2
220,3
221,0
222,3
223,0
224,1
225,0
226,0
227,3
228,2
229,2
230,0
231,3
232,1
233,0
234,0
235,3
236,3
237,1
238,0
239,1
240,3
241,2
242,3
243,1
244,3
245,0
246,0
247,2
248,0
249,1
250,3
251,3
252,1
253,3
254,1
255,3
256,0
257,3
258,3
259,3
260,0
261,0
262,0
263,0
264,3
265,1
266,3
267,2
268,1
269,3
270,3
271,0
272,0
273,1
274,0
275,3
276,0
277,3
278,3
279,0
280,2
281,3
282,3
283,0
284,1
285,3
286,0
287,2
288,3
289,1
290,3
291,0
292,2
293,1
294,2
295,0
296,0
297,2
298,2
299,2
300,0
301,2
302,2
303,3
304,0
305,3
306,1
307,2
308,2
309,3
310,3
311,3
312,1
313,0
314,3
315,3
316,2
317,2
318,3
319,2
320,3
321,1
322,2
323,3
324,2
325,3
326,2
327,2
328,2
329,0
330,3
331,2
332,2
333,0
334,1
335,0
336,3
337,0
338,2
339,0
340,0
341,2
342,0
343,0
344,3
345,2
346,0
347,2
348,2
349,3
350,0
351,0
352,1
353,3
354,2
355,2
356,1
357,3
358,2
359,2
360,0
361,1
362,1
363,0
364,0
365,1
366,3
367,0
368,0
369,3
370,0
371,3
372,3
373,3
374,2
375,2
376,3
377,0
378,0
379,0
380,2
381,3
382,3
383,2
384,1
385,0
386,2
387,2
388,2
389,0
390,0
391,0
392,2
393,2
394,2
395,3
396,3
397,2
398,0
399,0
400,2
401,0
402,0
403,0
404,0
405,3
406,2
407,0
408,0
409,3
410,0
411,3
412,3
413,3
414,1
415,0
416,2
417,3
418,0
419,3
420,2
421,3
422,2
423,0
424,3
425,3
426,0
427,1
428,2
429,1
430,2
431,0
432,0
433,2
434,0
435,0
436,3
437,1
438,2
439,2
440,2
441,3
442,1
443,3
444,3
445,1
446,0
447,2
448,0
449,3
450,1
451,0
452,2
453,0
454,0
455,3
456,3
457,0
458,2
459,2
460,0
461,0
462,2
463,2
464,2
465,3
466,2
467,3
468,3
469,1
470,2
471,2
472,0
473,0
474,0
475,3
476,3
477,3
478,3
479,0
480,1
481,3
482,0
483,0
484,2
485,0
486,0
487,3
488,2
489,2
490,0
491,2
492,1
493,3
494,1
495,0
496,3
497,0
498,3
499,0
500,0
501,1
502,2
503,2
504,1
505,2
506,1
507,3
508,3
509,2
510,3
511,0
512,3
513,1
514,0
515,0
516,0
517,3
518,0
519,0
520,2
521,0
522,2
523,3
524,0
525,3
526,3
527,0
528,1
529,3
530,0
531,2
532,2
533,1
534,3
535,2
536,1
537,2
538,0
539,3
540,3
541,1
542,2
543,3
544,2
545,3
546,2
547,2
548,2
549,3
550,3
551,0
552,3
553,2
554,1
555,0
556,0
557,2
558,1
559,3
560,3
561,2
562,0
563,2
564,2
565,3
566,2
567,1
568,0
569,0
570,3
571,0
572,1
573,3
574,0
575,2
576,0
577,2
578,2
579,0
580,0
581,2
582,0
583,3
584,3
585,3
586,0
587,0
588,2
589,2
590,0
591,0
592,3
593,3
594,2
595,0
596,2
597,2
598,3
599,1
600,0
601,1
602,0
603,2
604,3
605,2
606,0
607,3
608,2
609,0
610,3
611,0
612,0
613,3
614,3
615,3
616,2
617,2
618,2
619,2
620,0
621,2
622,2
623,3
624,1
625,0
626,3
627,3
628,0
629,1
630,3
631,3
632,0
633,3
634,2
635,2
636,3
637,2
638,0
639,0
640,3
641,3
642,3
643,2
644,2
645,2
646,3
647,0
648,0
649,3
650,2
651,0
652,0
653,2
654,3
655,1
656,0
657,1
658,3
659,2
660,0
661,2
662,2
663,0
664,2
665,1
666,0
667,3
668,0
669,3
670,0
671,2
672,1
673,1
674,3
675,1
676,2
677,0
678,2
679,3
680,0
681,1
682,3
683,2
