Id,Prediction
1,2
2,3
3,3
4,3
5,2
6,3
7,2
8,2
9,3
10,3
11,1
12,1
13,2
14,3
15,0
16,3
17,3
18,2
19,3
20,3
21,2
22,3
23,0
24,1
25,3
26,0
27,2
28,3
29,3
30,2
31,2
32,0
33,1
34,1
35,1
36,2
37,3
38,3
39,2
40,1
41,0
42,3
43,2
44,1
45,0
46,1
47,2
48,1
49,1
50,3
51,3
52,3
53,2
54,0
55,1
56,3
57,3
58,3
59,2
60,2
61,3
62,3
63,2
64,2
65,1
66,3
67,2
68,2
69,3
70,1
71,3
72,1
73,3
74,3
75,2
76,3
77,2
78,3
79,2
80,2
81,3
82,1
83,1
84,1
85,0
86,3
87,3
88,2
89,3
90,3
91,2
92,0
93,3
94,2
95,2
96,3
97,2
98,3
99,3
100,0
101,2
102,3
103,2
104,3
105,2
106,3
107,2
108,1
109,2
110,1
111,3
112,1
113,1
114,1
115,3
116,1
117,2
118,2
119,1
120,2
121,3
122,3
123,2
124,3
125,2
126,0
127,3
128,3
129,2
130,3
131,2
132,3
133,2
134,2
135,2
136,2
137,3
138,2
139,1
140,2
141,2
142,0
143,0
144,2
145,3
146,1
147,1
148,3
149,0
150,2
151,0
152,2
153,1
154,3
155,3
156,3
157,3
158,0
159,2
160,2
161,0
162,3
163,3
164,1
165,2
166,3
167,2
168,1
169,1
170,0
171,0
172,1
173,2
174,2
175,1
176,3
177,1
178,2
179,2
180,3
181,1
182,1
183,3
184,2
185,3
186,3
187,3
188,2
189,3
190,2
191,2
192,2
193,3
194,3
195,3
196,3
197,2
198,2
199,1
200,3
201,0
202,3
203,3
204,1
205,3
206,2
207,2
208,2
209,2
210,1
211,1
212,2
213,3
214,1
215,2
216,0
217,3
218,3
219,0
220,3
221,3
222,3
223,3
224,2
225,3
226,0
227,3
228,2
229,1
230,2
231,3
232,1
233,3
234,2
235,3
236,2
237,1
238,2
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,2
247,3
248,0
249,1
250,0
251,3
252,1
253,3
254,0
255,2
256,1
257,2
258,3
259,3
260,3
261,2
262,3
263,2
264,3
265,3
266,3
267,1
268,1
269,3
270,2
271,1
272,0
273,3
274,3
275,0
276,3
277,3
278,3
279,0
280,2
281,3
282,2
283,2
284,1
285,2
286,2
287,1
288,3
289,1
290,2
291,2
292,2
293,1
294,3
295,2
296,3
297,0
298,2
299,2
300,1
301,3
302,2
303,2
304,0
305,3
306,2
307,2
308,3
309,0
310,3
311,3
312,1
313,3
314,3
315,3
316,2
317,2
318,2
319,1
320,3
321,2
322,2
323,2
324,1
325,0
326,2
327,3
328,3
329,3
330,3
331,2
332,2
333,1
334,2
335,1
336,3
337,1
338,2
339,1
340,1
341,0
342,2
343,3
344,3
345,0
346,2
347,2
348,2
349,2
350,3
351,0
352,1
353,3
354,2
355,2
356,1
357,2
358,0
359,1
360,2
361,1
362,2
363,3
364,0
365,3
366,3
367,0
368,3
369,2
370,3
371,3
372,3
373,3
374,2
375,2
376,3
377,3
378,3
379,2
380,2
381,3
382,3
383,2
384,1
385,3
386,3
387,3
388,1
389,3
390,0
391,3
392,3
393,3
394,2
395,3
396,1
397,2
398,0
399,3
400,2
401,2
402,0
403,3
404,2
405,3
406,1
407,0
408,3
409,1
410,3
411,0
412,3
413,3
414,1
415,2
416,0
417,0
418,1
419,0
420,2
421,3
422,2
423,2
424,3
425,3
426,2
427,1
428,2
429,1
430,3
431,3
432,2
433,2
434,2
435,0
436,3
437,3
438,2
439,1
440,1
441,3
442,1
443,3
444,2
445,1
446,3
447,2
448,2
449,3
450,2
451,3
452,2
453,3
454,0
455,3
456,3
457,3
458,2
459,2
460,3
461,2
462,1
463,3
464,3
465,3
466,3
467,3
468,3
469,1
470,2
471,0
472,2
473,2
474,3
475,3
476,3
477,3
478,2
479,0
480,1
481,0
482,3
483,3
484,1
485,3
486,0
487,2
488,2
489,1
490,3
491,2
492,1
493,3
494,2
495,3
496,3
497,2
498,3
499,3
500,3
501,1
502,2
503,1
504,2
505,1
506,1
507,1
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,3
518,2
519,3
520,0
521,3
522,1
523,3
524,3
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,1
533,0
534,3
535,3
536,1
537,3
538,1
539,3
540,3
541,1
542,1
543,1
544,3
545,3
546,2
547,2
548,1
549,0
550,3
551,1
552,3
553,2
554,1
555,3
556,2
557,2
558,2
559,3
560,3
561,3
562,3
563,2
564,2
565,3
566,2
567,1
568,3
569,0
570,0
571,3
572,1
573,3
574,1
575,2
576,3
577,2
578,3
579,1
580,1
581,2
582,1
583,2
584,3
585,2
586,0
587,2
588,3
589,2
590,3
591,3
592,2
593,3
594,2
595,1
596,2
597,2
598,3
599,1
600,3
601,1
602,3
603,2
604,3
605,2
606,2
607,2
608,2
609,2
610,3
611,2
612,2
613,3
614,3
615,2
616,2
617,2
618,2
619,3
620,3
621,2
622,2
623,3
624,2
625,0
626,2
627,3
628,0
629,1
630,3
631,3
632,3
633,3
634,1
635,3
636,3
637,1
638,1
639,2
640,3
641,0
642,2
643,2
644,2
645,1
646,3
647,2
648,3
649,3
650,2
651,3
652,2
653,2
654,2
655,2
656,3
657,3
658,3
659,3
660,3
661,2
662,2
663,3
664,1
665,2
666,2
667,3
668,2
669,2
670,3
671,0
672,1
673,2
674,3
675,1
676,1
677,1
678,2
679,3
680,2
681,1
682,3
683,3
