Id,Prediction
1,0
2,3
3,3
4,3
5,2
6,0
7,2
8,1
9,3
10,3
11,0
12,3
13,0
14,3
15,1
16,3
17,3
18,2
19,3
20,2
21,0
22,2
23,2
24,1
25,0
26,2
27,0
28,0
29,3
30,1
31,2
32,0
33,1
34,2
35,1
36,2
37,3
38,0
39,0
40,0
41,0
42,3
43,0
44,0
45,0
46,2
47,2
48,3
49,0
50,0
51,3
52,3
53,3
54,0
55,0
56,3
57,1
58,1
59,0
60,2
61,3
62,2
63,2
64,3
65,0
66,0
67,0
68,3
69,2
70,0
71,3
72,1
73,0
74,2
75,3
76,0
77,1
78,0
79,2
80,2
81,2
82,1
83,0
84,1
85,0
86,3
87,0
88,3
89,3
90,3
91,2
92,0
93,3
94,2
95,3
96,3
97,2
98,3
99,3
100,1
101,3
102,3
103,1
104,2
105,3
106,0
107,1
108,1
109,1
110,1
111,0
112,3
113,2
114,1
115,3
116,2
117,3
118,2
119,1
120,2
121,1
122,3
123,2
124,0
125,2
126,3
127,2
128,3
129,2
130,3
131,2
132,3
133,2
134,1
135,2
136,0
137,3
138,2
139,2
140,0
141,3
142,2
143,0
144,2
145,3
146,2
147,1
148,3
149,3
150,2
151,0
152,2
153,0
154,0
155,2
156,3
157,0
158,0
159,1
160,2
161,3
162,0
163,3
164,1
165,2
166,0
167,3
168,2
169,3
170,0
171,2
172,0
173,2
174,2
175,1
176,0
177,1
178,2
179,0
180,1
181,0
182,2
183,1
184,0
185,2
186,0
187,1
188,2
189,3
190,3
191,2
192,0
193,3
194,3
195,3
196,3
197,3
198,2
199,1
200,2
201,0
202,0
203,0
204,1
205,0
206,3
207,3
208,1
209,2
210,0
211,1
212,3
213,3
214,1
215,1
216,0
217,0
218,0
219,2
220,3
221,0
222,3
223,1
224,2
225,0
226,0
227,3
228,2
229,2
230,3
231,2
232,0
233,3
234,0
235,0
236,3
237,1
238,3
239,1
240,0
241,2
242,1
243,1
244,3
245,1
246,0
247,1
248,0
249,1
250,0
251,3
252,1
253,2
254,2
255,3
256,0
257,3
258,3
259,2
260,0
261,0
262,0
263,2
264,3
265,1
266,0
267,1
268,0
269,3
270,3
271,0
272,0
273,0
274,0
275,2
276,3
277,3
278,3
279,1
280,2
281,2
282,0
283,3
284,1
285,2
286,3
287,2
288,0
289,1
290,2
291,0
292,3
293,1
294,0
295,3
296,0
297,2
298,2
299,2
300,3
301,1
302,2
303,3
304,0
305,0
306,1
307,2
308,0
309,3
310,3
311,3
312,1
313,0
314,0
315,0
316,3
317,3
318,0
319,1
320,3
321,1
322,2
323,0
324,1
325,0
326,2
327,2
328,2
329,3
330,3
331,2
332,2
333,1
334,1
335,0
336,3
337,1
338,2
339,1
340,0
341,1
342,3
343,0
344,0
345,0
346,0
347,2
348,2
349,0
350,3
351,2
352,1
353,2
354,2
355,2
356,1
357,2
358,0
359,2
360,2
361,0
362,3
363,0
364,0
365,3
366,2
367,0
368,3
369,3
370,3
371,0
372,3
373,3
374,3
375,2
376,3
377,2
378,3
379,0
380,2
381,3
382,3
383,2
384,2
385,0
386,0
387,2
388,0
389,1
390,2
391,3
392,3
393,2
394,2
395,0
396,2
397,2
398,0
399,3
400,2
401,0
402,1
403,3
404,3
405,2
406,1
407,3
408,0
409,1
410,2
411,3
412,0
413,0
414,1
415,2
416,1
417,0
418,3
419,2
420,2
421,3
422,3
423,2
424,1
425,3
426,0
427,0
428,2
429,0
430,0
431,0
432,2
433,3
434,2
435,2
436,0
437,1
438,2
439,1
440,2
441,3
442,1
443,0
444,3
445,2
446,1
447,3
448,2
449,3
450,0
451,3
452,2
453,1
454,0
455,3
456,2
457,3
458,2
459,2
460,0
461,1
462,2
463,3
464,2
465,0
466,0
467,3
468,3
469,1
470,3
471,1
472,0
473,3
474,0
475,3
476,3
477,3
478,3
479,0
480,1
481,3
482,0
483,0
484,1
485,0
486,0
487,3
488,2
489,2
490,0
491,2
492,0
493,3
494,3
495,0
496,3
497,3
498,2
499,0
500,0
501,1
502,0
503,1
504,3
505,0
506,2
507,2
508,3
509,2
510,2
511,3
512,3
513,1
514,0
515,0
516,3
517,0
518,2
519,3
520,1
521,0
522,2
523,3
524,0
525,1
526,0
527,3
528,2
529,3
530,0
531,3
532,0
533,0
534,3
535,3
536,1
537,0
538,1
539,3
540,3
541,1
542,2
543,2
544,2
545,1
546,3
547,2
548,2
549,2
550,3
551,2
552,2
553,0
554,2
555,0
556,3
557,3
558,1
559,3
560,3
561,3
562,0
563,0
564,3
565,3
566,2
567,1
568,0
569,2
570,2
571,3
572,1
573,3
574,0
575,2
576,0
577,2
578,2
579,1
580,2
581,2
582,1
583,0
584,2
585,3
586,0
587,2
588,2
589,0
590,0
591,0
592,2
593,3
594,2
595,0
596,2
597,2
598,3
599,1
600,0
601,1
602,1
603,2
604,2
605,2
606,2
607,1
608,2
609,0
610,3
611,0
612,3
613,0
614,3
615,3
616,2
617,2
618,2
619,2
620,0
621,2
622,2
623,3
624,2
625,0
626,3
627,2
628,3
629,1
630,3
631,3
632,0
633,3
634,1
635,3
636,3
637,2
638,1
639,0
640,2
641,1
642,3
643,3
644,2
645,2
646,3
647,2
648,0
649,0
650,0
651,3
652,2
653,0
654,1
655,1
656,2
657,3
658,0
659,2
660,2
661,2
662,2
663,0
664,1
665,2
666,1
667,3
668,1
669,3
670,3
671,2
672,1
673,1
674,3
675,1
676,1
677,0
678,2
679,3
680,2
681,3
682,3
683,2
