Id,Prediction
1,3
2,3
3,1
4,2
5,2
6,2
7,2
8,3
9,3
10,3
11,1
12,3
13,2
14,3
15,0
16,3
17,3
18,3
19,3
20,2
21,2
22,2
23,3
24,1
25,0
26,3
27,3
28,1
29,3
30,0
31,3
32,0
33,1
34,1
35,1
36,3
37,3
38,3
39,3
40,3
41,0
42,2
43,2
44,0
45,2
46,1
47,2
48,3
49,1
50,3
51,2
52,3
53,3
54,3
55,1
56,3
57,2
58,1
59,3
60,3
61,3
62,3
63,3
64,3
65,1
66,3
67,3
68,1
69,3
70,3
71,3
72,1
73,3
74,2
75,2
76,3
77,2
78,3
79,2
80,2
81,2
82,1
83,1
84,3
85,3
86,3
87,3
88,3
89,0
90,3
91,3
92,2
93,3
94,2
95,3
96,3
97,2
98,3
99,3
100,1
101,3
102,3
103,1
104,2
105,3
106,3
107,3
108,1
109,3
110,2
111,3
112,2
113,2
114,3
115,3
116,1
117,3
118,2
119,3
120,2
121,3
122,3
123,2
124,2
125,2
126,0
127,2
128,2
129,3
130,0
131,3
132,3
133,3
134,3
135,2
136,3
137,3
138,3
139,3
140,3
141,2
142,3
143,0
144,2
145,3
146,3
147,1
148,3
149,3
150,2
151,3
152,3
153,2
154,3
155,3
156,3
157,0
158,3
159,2
160,2
161,3
162,2
163,3
164,1
165,3
166,2
167,2
168,3
169,1
170,0
171,2
172,1
173,2
174,2
175,1
176,3
177,3
178,3
179,3
180,3
181,1
182,1
183,1
184,3
185,2
186,3
187,2
188,2
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,2
197,2
198,1
199,1
200,2
201,3
202,0
203,3
204,1
205,3
206,3
207,3
208,1
209,2
210,1
211,3
212,2
213,3
214,1
215,3
216,3
217,2
218,3
219,2
220,3
221,3
222,3
223,3
224,2
225,1
226,3
227,3
228,2
229,3
230,3
231,2
232,0
233,3
234,3
235,2
236,3
237,1
238,2
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,0
247,3
248,3
249,1
250,3
251,3
252,1
253,3
254,3
255,3
256,0
257,3
258,0
259,3
260,3
261,3
262,0
263,3
264,1
265,3
266,3
267,3
268,1
269,3
270,2
271,1
272,0
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,2
281,3
282,3
283,3
284,1
285,3
286,2
287,3
288,3
289,1
290,2
291,0
292,3
293,1
294,3
295,3
296,1
297,3
298,2
299,3
300,3
301,1
302,2
303,0
304,0
305,3
306,3
307,2
308,2
309,2
310,2
311,3
312,1
313,3
314,3
315,3
316,3
317,2
318,3
319,2
320,1
321,1
322,2
323,3
324,1
325,3
326,3
327,2
328,2
329,3
330,3
331,2
332,2
333,1
334,3
335,0
336,3
337,1
338,3
339,2
340,1
341,2
342,3
343,3
344,3
345,3
346,0
347,3
348,2
349,3
350,2
351,3
352,1
353,3
354,2
355,2
356,1
357,3
358,1
359,2
360,3
361,1
362,3
363,3
364,3
365,1
366,3
367,3
368,3
369,3
370,3
371,2
372,3
373,3
374,3
375,3
376,3
377,3
378,3
379,3
380,2
381,3
382,1
383,3
384,1
385,3
386,2
387,3
388,3
389,3
390,1
391,0
392,3
393,3
394,2
395,3
396,1
397,2
398,3
399,3
400,3
401,3
402,0
403,2
404,2
405,3
406,2
407,3
408,3
409,1
410,2
411,3
412,2
413,3
414,1
415,3
416,3
417,3
418,3
419,2
420,2
421,3
422,2
423,2
424,2
425,3
426,3
427,0
428,3
429,1
430,3
431,3
432,2
433,3
434,3
435,1
436,2
437,3
438,3
439,1
440,1
441,2
442,1
443,3
444,3
445,1
446,3
447,2
448,2
449,3
450,1
451,3
452,1
453,2
454,3
455,3
456,3
457,2
458,2
459,2
460,3
461,3
462,1
463,2
464,2
465,3
466,3
467,3
468,2
469,3
470,2
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,0
480,1
481,3
482,3
483,3
484,2
485,3
486,0
487,3
488,2
489,2
490,3
491,3
492,1
493,3
494,3
495,0
496,3
497,2
498,3
499,3
500,3
501,1
502,3
503,0
504,3
505,1
506,3
507,1
508,3
509,3
510,3
511,3
512,3
513,1
514,2
515,2
516,3
517,3
518,3
519,3
520,0
521,3
522,1
523,3
524,3
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,0
533,3
534,3
535,3
536,3
537,1
538,3
539,3
540,3
541,1
542,2
543,1
544,2
545,1
546,3
547,2
548,2
549,2
550,3
551,2
552,2
553,3
554,1
555,0
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,2
567,1
568,3
569,2
570,2
571,3
572,2
573,3
574,3
575,2
576,1
577,2
578,2
579,2
580,2
581,2
582,3
583,0
584,3
585,3
586,3
587,2
588,3
589,3
590,0
591,3
592,2
593,3
594,0
595,1
596,3
597,3
598,3
599,1
600,3
601,1
602,3
603,2
604,2
605,2
606,3
607,3
608,2
609,0
610,3
611,1
612,3
613,3
614,2
615,2
616,2
617,2
618,3
619,3
620,0
621,3
622,3
623,3
624,3
625,0
626,2
627,2
628,2
629,1
630,3
631,3
632,3
633,3
634,1
635,3
636,3
637,1
638,3
639,3
640,3
641,1
642,2
643,3
644,2
645,1
646,3
647,3
648,2
649,3
650,2
651,3
652,2
653,3
654,3
655,1
656,3
657,1
658,3
659,2
660,2
661,2
662,3
663,3
664,2
665,3
666,1
667,3
668,1
669,3
670,3
671,2
672,0
673,1
674,1
675,1
676,3
677,0
678,3
679,2
680,3
681,3
682,3
683,2
