Id,Prediction
1,3
2,3
3,2
4,3
5,2
6,0
7,3
8,0
9,3
10,3
11,1
12,0
13,0
14,3
15,0
16,2
17,3
18,2
19,3
20,2
21,2
22,2
23,2
24,1
25,0
26,3
27,0
28,0
29,0
30,1
31,2
32,0
33,1
34,1
35,1
36,2
37,3
38,1
39,2
40,0
41,0
42,0
43,2
44,0
45,3
46,2
47,3
48,2
49,2
50,3
51,3
52,3
53,0
54,3
55,1
56,3
57,2
58,0
59,0
60,2
61,3
62,3
63,3
64,3
65,0
66,0
67,0
68,0
69,3
70,0
71,2
72,1
73,3
74,0
75,3
76,2
77,1
78,0
79,0
80,0
81,2
82,0
83,0
84,1
85,0
86,0
87,3
88,0
89,3
90,3
91,2
92,0
93,3
94,2
95,3
96,2
97,2
98,0
99,3
100,2
101,3
102,3
103,2
104,2
105,2
106,0
107,2
108,1
109,1
110,3
111,3
112,0
113,0
114,1
115,0
116,1
117,2
118,2
119,0
120,2
121,3
122,3
123,2
124,0
125,2
126,0
127,2
128,3
129,2
130,3
131,0
132,3
133,0
134,0
135,2
136,3
137,2
138,3
139,0
140,2
141,3
142,0
143,2
144,2
145,2
146,2
147,0
148,0
149,0
150,0
151,0
152,3
153,3
154,3
155,2
156,3
157,0
158,0
159,2
160,1
161,2
162,2
163,2
164,1
165,2
166,3
167,2
168,2
169,1
170,2
171,1
172,1
173,2
174,3
175,0
176,2
177,0
178,3
179,0
180,0
181,1
182,0
183,1
184,2
185,3
186,2
187,3
188,3
189,3
190,3
191,2
192,3
193,1
194,2
195,3
196,0
197,3
198,2
199,1
200,0
201,0
202,3
203,2
204,2
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,3
214,2
215,0
216,3
217,2
218,3
219,2
220,3
221,2
222,3
223,0
224,2
225,1
226,0
227,3
228,2
229,1
230,3
231,2
232,0
233,3
234,0
235,3
236,2
237,1
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,0
246,2
247,2
248,0
249,1
250,0
251,2
252,1
253,2
254,1
255,3
256,1
257,1
258,3
259,0
260,2
261,3
262,0
263,2
264,3
265,3
266,2
267,0
268,0
269,3
270,2
271,1
272,0
273,1
274,0
275,0
276,3
277,3
278,1
279,0
280,2
281,3
282,2
283,3
284,1
285,3
286,0
287,1
288,3
289,1
290,2
291,3
292,0
293,1
294,0
295,0
296,0
297,0
298,2
299,1
300,2
301,2
302,2
303,2
304,3
305,0
306,1
307,2
308,3
309,3
310,1
311,3
312,1
313,2
314,3
315,3
316,2
317,3
318,3
319,1
320,0
321,0
322,2
323,0
324,1
325,2
326,3
327,2
328,2
329,0
330,1
331,2
332,2
333,0
334,1
335,0
336,0
337,0
338,2
339,1
340,0
341,2
342,0
343,0
344,0
345,1
346,2
347,0
348,2
349,3
350,2
351,3
352,1
353,0
354,2
355,2
356,1
357,0
358,3
359,2
360,3
361,1
362,0
363,0
364,0
365,3
366,3
367,0
368,3
369,3
370,3
371,0
372,3
373,0
374,0
375,3
376,3
377,2
378,0
379,0
380,2
381,0
382,0
383,3
384,1
385,0
386,3
387,2
388,0
389,1
390,0
391,3
392,3
393,2
394,2
395,2
396,0
397,2
398,3
399,3
400,2
401,3
402,0
403,3
404,2
405,3
406,1
407,2
408,3
409,1
410,1
411,2
412,3
413,0
414,0
415,2
416,2
417,2
418,1
419,2
420,3
421,3
422,0
423,1
424,3
425,3
426,0
427,1
428,2
429,1
430,3
431,0
432,0
433,3
434,0
435,0
436,3
437,3
438,2
439,2
440,0
441,2
442,1
443,0
444,3
445,1
446,3
447,2
448,2
449,3
450,1
451,3
452,2
453,2
454,0
455,3
456,3
457,3
458,1
459,0
460,3
461,0
462,1
463,2
464,2
465,2
466,0
467,3
468,0
469,1
470,2
471,2
472,3
473,0
474,0
475,3
476,0
477,1
478,3
479,0
480,1
481,0
482,0
483,3
484,2
485,3
486,0
487,2
488,1
489,1
490,3
491,3
492,0
493,3
494,0
495,0
496,3
497,2
498,3
499,3
500,0
501,1
502,2
503,2
504,2
505,1
506,0
507,2
508,3
509,0
510,3
511,3
512,2
513,1
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,3
522,0
523,3
524,0
525,3
526,3
527,2
528,1
529,3
530,3
531,3
532,2
533,0
534,2
535,3
536,0
537,0
538,1
539,3
540,3
541,0
542,2
543,3
544,2
545,3
546,1
547,2
548,2
549,0
550,3
551,1
552,3
553,0
554,2
555,0
556,3
557,0
558,0
559,3
560,3
561,3
562,1
563,2
564,0
565,3
566,2
567,2
568,2
569,2
570,3
571,3
572,0
573,3
574,0
575,2
576,1
577,3
578,3
579,3
580,1
581,2
582,0
583,2
584,2
585,3
586,0
587,1
588,2
589,0
590,0
591,0
592,2
593,3
594,3
595,2
596,3
597,3
598,0
599,2
600,3
601,0
602,3
603,2
604,3
605,2
606,3
607,3
608,2
609,0
610,3
611,0
612,0
613,0
614,0
615,2
616,2
617,2
618,2
619,0
620,0
621,2
622,2
623,3
624,2
625,0
626,3
627,0
628,1
629,1
630,0
631,2
632,0
633,3
634,1
635,1
636,3
637,2
638,3
639,0
640,2
641,0
642,2
643,2
644,2
645,2
646,3
647,0
648,0
649,0
650,2
651,3
652,3
653,1
654,0
655,1
656,0
657,1
658,2
659,2
660,0
661,0
662,3
663,0
664,2
665,1
666,3
667,3
668,1
669,2
670,3
671,2
672,1
673,2
674,0
675,1
676,0
677,2
678,2
679,3
680,2
681,0
682,3
683,2
