Id,Prediction
1,0
2,3
3,3
4,3
5,2
6,3
7,2
8,0
9,3
10,0
11,3
12,0
13,0
14,3
15,0
16,2
17,0
18,2
19,3
20,0
21,0
22,2
23,2
24,1
25,0
26,0
27,0
28,2
29,0
30,0
31,3
32,0
33,1
34,2
35,0
36,3
37,0
38,0
39,0
40,0
41,0
42,0
43,3
44,0
45,1
46,2
47,2
48,3
49,1
50,3
51,3
52,3
53,3
54,0
55,1
56,2
57,0
58,1
59,1
60,2
61,3
62,2
63,0
64,3
65,1
66,3
67,0
68,0
69,2
70,0
71,2
72,1
73,3
74,0
75,3
76,0
77,2
78,1
79,2
80,2
81,0
82,0
83,2
84,1
85,0
86,3
87,3
88,2
89,2
90,0
91,2
92,1
93,2
94,2
95,0
96,3
97,0
98,3
99,3
100,1
101,3
102,3
103,2
104,3
105,3
106,0
107,1
108,0
109,0
110,0
111,2
112,0
113,2
114,1
115,3
116,3
117,2
118,0
119,1
120,2
121,0
122,0
123,2
124,2
125,2
126,1
127,2
128,3
129,0
130,3
131,0
132,0
133,0
134,0
135,2
136,2
137,2
138,3
139,1
140,0
141,2
142,2
143,0
144,3
145,2
146,0
147,1
148,2
149,3
150,2
151,3
152,0
153,0
154,0
155,3
156,0
157,1
158,0
159,1
160,2
161,3
162,2
163,3
164,1
165,2
166,3
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,2
175,1
176,1
177,0
178,2
179,0
180,0
181,1
182,0
183,1
184,0
185,2
186,2
187,0
188,3
189,3
190,3
191,3
192,0
193,3
194,2
195,3
196,3
197,3
198,1
199,1
200,3
201,0
202,0
203,0
204,1
205,3
206,3
207,0
208,1
209,1
210,1
211,1
212,2
213,3
214,0
215,3
216,3
217,0
218,0
219,1
220,0
221,0
222,2
223,3
224,1
225,2
226,0
227,3
228,2
229,1
230,3
231,2
232,2
233,3
234,0
235,2
236,2
237,0
238,2
239,1
240,0
241,2
242,3
243,1
244,3
245,1
246,0
247,3
248,0
249,1
250,3
251,3
252,1
253,3
254,1
255,3
256,0
257,0
258,0
259,3
260,0
261,3
262,3
263,0
264,3
265,0
266,1
267,0
268,1
269,3
270,3
271,3
272,0
273,0
274,0
275,0
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,0
284,1
285,3
286,0
287,1
288,3
289,0
290,0
291,0
292,3
293,1
294,0
295,3
296,1
297,0
298,0
299,2
300,0
301,0
302,2
303,3
304,3
305,3
306,0
307,2
308,0
309,0
310,2
311,3
312,1
313,2
314,2
315,0
316,1
317,2
318,0
319,0
320,0
321,2
322,2
323,3
324,0
325,0
326,0
327,2
328,2
329,3
330,0
331,2
332,2
333,0
334,3
335,0
336,2
337,1
338,3
339,3
340,1
341,1
342,0
343,0
344,3
345,0
346,2
347,0
348,2
349,0
350,2
351,0
352,1
353,0
354,2
355,2
356,0
357,3
358,3
359,0
360,3
361,1
362,3
363,0
364,0
365,0
366,3
367,0
368,2
369,3
370,3
371,3
372,0
373,3
374,0
375,2
376,0
377,0
378,0
379,0
380,2
381,0
382,3
383,3
384,1
385,0
386,0
387,3
388,3
389,0
390,0
391,3
392,2
393,0
394,0
395,3
396,0
397,0
398,0
399,3
400,0
401,0
402,3
403,3
404,2
405,2
406,1
407,0
408,3
409,1
410,3
411,3
412,2
413,0
414,1
415,2
416,3
417,3
418,0
419,3
420,2
421,3
422,2
423,2
424,0
425,3
426,0
427,1
428,0
429,3
430,0
431,0
432,0
433,3
434,1
435,2
436,3
437,3
438,2
439,1
440,2
441,3
442,1
443,0
444,3
445,1
446,0
447,2
448,0
449,3
450,1
451,0
452,0
453,0
454,0
455,1
456,3
457,3
458,2
459,2
460,0
461,0
462,1
463,3
464,2
465,0
466,0
467,1
468,2
469,2
470,2
471,3
472,0
473,2
474,2
475,3
476,1
477,3
478,0
479,0
480,0
481,2
482,3
483,2
484,0
485,1
486,0
487,3
488,2
489,1
490,0
491,2
492,0
493,3
494,3
495,1
496,0
497,0
498,3
499,0
500,3
501,1
502,2
503,0
504,3
505,1
506,2
507,2
508,3
509,3
510,3
511,3
512,3
513,1
514,0
515,2
516,3
517,3
518,1
519,1
520,2
521,3
522,2
523,1
524,0
525,1
526,0
527,3
528,1
529,3
530,2
531,3
532,2
533,1
534,3
535,3
536,1
537,2
538,1
539,3
540,0
541,1
542,2
543,2
544,2
545,1
546,3
547,1
548,2
549,0
550,1
551,1
552,3
553,2
554,1
555,0
556,3
557,2
558,1
559,3
560,3
561,2
562,0
563,2
564,0
565,0
566,2
567,1
568,3
569,2
570,0
571,3
572,1
573,0
574,0
575,2
576,0
577,2
578,2
579,1
580,1
581,2
582,1
583,1
584,0
585,3
586,0
587,1
588,2
589,2
590,0
591,0
592,2
593,3
594,0
595,2
596,2
597,2
598,0
599,1
600,1
601,1
602,1
603,0
604,3
605,2
606,1
607,3
608,2
609,0
610,3
611,3
612,3
613,3
614,3
615,2
616,2
617,0
618,3
619,0
620,0
621,2
622,2
623,0
624,2
625,0
626,3
627,3
628,0
629,1
630,3
631,3
632,0
633,3
634,1
635,3
636,3
637,1
638,3
639,1
640,3
641,3
642,2
643,3
644,3
645,1
646,0
647,0
648,0
649,3
650,2
651,0
652,2
653,1
654,0
655,1
656,0
657,3
658,3
659,2
660,0
661,0
662,0
663,3
664,0
665,0
666,1
667,3
668,1
669,2
670,3
671,0
672,0
673,1
674,0
675,1
676,3
677,0
678,2
679,3
680,0
681,1
682,3
683,2
