Id,Prediction
1,2
2,3
3,0
4,2
5,2
6,2
7,2
8,3
9,2
10,1
11,1
12,3
13,2
14,3
15,0
16,3
17,3
18,2
19,0
20,0
21,2
22,2
23,0
24,1
25,0
26,2
27,2
28,2
29,2
30,0
31,3
32,3
33,3
34,1
35,1
36,2
37,3
38,1
39,3
40,1
41,0
42,3
43,3
44,0
45,0
46,2
47,2
48,2
49,2
50,3
51,2
52,3
53,0
54,3
55,0
56,3
57,2
58,2
59,3
60,2
61,3
62,2
63,3
64,3
65,1
66,3
67,2
68,0
69,2
70,0
71,2
72,1
73,0
74,2
75,3
76,2
77,2
78,0
79,2
80,2
81,1
82,0
83,2
84,1
85,1
86,0
87,3
88,2
89,3
90,3
91,2
92,1
93,3
94,2
95,2
96,3
97,2
98,3
99,3
100,1
101,2
102,3
103,2
104,2
105,0
106,0
107,3
108,1
109,1
110,1
111,0
112,3
113,0
114,2
115,3
116,3
117,2
118,2
119,0
120,2
121,3
122,3
123,2
124,0
125,2
126,3
127,2
128,3
129,2
130,3
131,3
132,2
133,3
134,1
135,2
136,3
137,2
138,0
139,0
140,3
141,2
142,0
143,3
144,2
145,0
146,2
147,1
148,3
149,2
150,2
151,0
152,2
153,3
154,0
155,3
156,0
157,1
158,0
159,2
160,2
161,2
162,3
163,3
164,1
165,2
166,0
167,2
168,2
169,1
170,2
171,0
172,1
173,2
174,1
175,1
176,3
177,3
178,2
179,0
180,0
181,1
182,0
183,1
184,0
185,2
186,3
187,2
188,2
189,3
190,3
191,2
192,0
193,3
194,2
195,3
196,2
197,2
198,2
199,1
200,1
201,3
202,0
203,3
204,2
205,1
206,0
207,0
208,1
209,2
210,0
211,1
212,0
213,3
214,0
215,1
216,3
217,2
218,2
219,1
220,2
221,3
222,3
223,2
224,1
225,2
226,0
227,3
228,2
229,2
230,3
231,3
232,0
233,3
234,0
235,2
236,3
237,1
238,0
239,1
240,0
241,2
242,3
243,1
244,3
245,1
246,3
247,2
248,0
249,1
250,3
251,3
252,1
253,3
254,3
255,3
256,1
257,3
258,1
259,2
260,2
261,3
262,3
263,2
264,3
265,1
266,1
267,1
268,1
269,3
270,1
271,3
272,3
273,3
274,0
275,0
276,3
277,3
278,3
279,2
280,2
281,3
282,3
283,1
284,1
285,3
286,2
287,2
288,3
289,1
290,2
291,0
292,3
293,1
294,3
295,3
296,0
297,2
298,1
299,1
300,1
301,0
302,0
303,3
304,0
305,2
306,0
307,2
308,0
309,3
310,2
311,2
312,1
313,2
314,2
315,3
316,2
317,3
318,3
319,3
320,1
321,1
322,2
323,3
324,1
325,3
326,2
327,2
328,2
329,0
330,2
331,2
332,2
333,0
334,1
335,3
336,2
337,1
338,3
339,3
340,0
341,2
342,3
343,0
344,0
345,1
346,0
347,1
348,2
349,3
350,2
351,0
352,1
353,3
354,2
355,2
356,1
357,3
358,3
359,2
360,3
361,1
362,3
363,0
364,2
365,1
366,3
367,0
368,3
369,3
370,3
371,2
372,0
373,3
374,2
375,2
376,3
377,0
378,0
379,3
380,3
381,3
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,2
390,2
391,3
392,3
393,2
394,2
395,3
396,3
397,2
398,0
399,3
400,3
401,0
402,2
403,3
404,1
405,3
406,1
407,3
408,3
409,1
410,0
411,3
412,2
413,3
414,1
415,0
416,2
417,3
418,1
419,2
420,2
421,2
422,2
423,2
424,0
425,2
426,2
427,0
428,0
429,0
430,3
431,0
432,0
433,0
434,0
435,1
436,3
437,2
438,2
439,0
440,2
441,3
442,1
443,3
444,0
445,0
446,3
447,2
448,2
449,3
450,1
451,3
452,2
453,2
454,0
455,3
456,3
457,2
458,1
459,0
460,0
461,1
462,1
463,2
464,2
465,3
466,3
467,3
468,2
469,1
470,2
471,1
472,2
473,3
474,0
475,3
476,3
477,3
478,0
479,0
480,1
481,2
482,3
483,0
484,2
485,3
486,0
487,3
488,1
489,1
490,3
491,2
492,0
493,3
494,1
495,2
496,2
497,3
498,3
499,3
500,0
501,1
502,2
503,1
504,3
505,3
506,0
507,1
508,3
509,2
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,3
518,2
519,1
520,1
521,0
522,2
523,3
524,0
525,1
526,3
527,3
528,1
529,3
530,2
531,3
532,1
533,0
534,3
535,0
536,1
537,2
538,0
539,3
540,3
541,1
542,2
543,1
544,3
545,3
546,2
547,0
548,2
549,0
550,3
551,1
552,3
553,0
554,2
555,2
556,3
557,0
558,3
559,2
560,3
561,3
562,1
563,0
564,2
565,0
566,2
567,1
568,3
569,1
570,2
571,3
572,1
573,1
574,0
575,2
576,0
577,2
578,2
579,1
580,1
581,1
582,3
583,3
584,3
585,2
586,0
587,2
588,3
589,0
590,1
591,3
592,2
593,0
594,2
595,3
596,2
597,2
598,0
599,1
600,1
601,1
602,2
603,3
604,0
605,2
606,3
607,2
608,2
609,0
610,3
611,1
612,0
613,3
614,2
615,3
616,2
617,2
618,2
619,0
620,0
621,3
622,2
623,3
624,2
625,0
626,3
627,3
628,0
629,1
630,3
631,2
632,0
633,1
634,0
635,3
636,0
637,1
638,2
639,0
640,0
641,0
642,2
643,2
644,2
645,3
646,2
647,2
648,0
649,3
650,0
651,0
652,3
653,2
654,0
655,1
656,3
657,3
658,3
659,2
660,0
661,2
662,2
663,0
664,0
665,0
666,2
667,3
668,1
669,2
670,0
671,0
672,1
673,1
674,0
675,0
676,2
677,0
678,2
679,2
680,2
681,1
682,1
683,2
