Id,Prediction
1,2
2,3
3,1
4,2
5,2
6,2
7,3
8,1
9,2
10,0
11,0
12,2
13,0
14,2
15,0
16,3
17,3
18,3
19,1
20,2
21,1
22,2
23,2
24,1
25,3
26,1
27,0
28,2
29,3
30,1
31,2
32,0
33,1
34,2
35,1
36,2
37,2
38,1
39,0
40,0
41,0
42,2
43,3
44,0
45,0
46,1
47,2
48,3
49,1
50,0
51,3
52,3
53,2
54,3
55,1
56,2
57,2
58,2
59,0
60,2
61,2
62,2
63,2
64,3
65,2
66,3
67,3
68,3
69,2
70,0
71,3
72,1
73,3
74,0
75,2
76,0
77,2
78,3
79,3
80,2
81,2
82,1
83,2
84,0
85,1
86,2
87,3
88,3
89,3
90,3
91,2
92,2
93,3
94,2
95,2
96,2
97,2
98,3
99,3
100,2
101,2
102,3
103,2
104,3
105,3
106,1
107,1
108,2
109,0
110,1
111,0
112,1
113,0
114,1
115,3
116,2
117,2
118,2
119,3
120,1
121,3
122,3
123,2
124,2
125,2
126,0
127,2
128,3
129,0
130,0
131,3
132,0
133,3
134,0
135,2
136,0
137,2
138,0
139,0
140,1
141,0
142,0
143,0
144,2
145,2
146,0
147,0
148,2
149,3
150,2
151,2
152,2
153,1
154,0
155,3
156,1
157,3
158,0
159,2
160,2
161,3
162,1
163,3
164,1
165,2
166,3
167,2
168,1
169,1
170,0
171,0
172,0
173,2
174,3
175,3
176,2
177,1
178,2
179,3
180,1
181,1
182,0
183,2
184,0
185,2
186,2
187,2
188,3
189,3
190,3
191,2
192,0
193,3
194,2
195,2
196,3
197,2
198,0
199,1
200,0
201,3
202,3
203,2
204,0
205,3
206,3
207,0
208,1
209,2
210,1
211,1
212,2
213,3
214,0
215,1
216,3
217,0
218,3
219,1
220,3
221,3
222,3
223,1
224,3
225,1
226,0
227,3
228,2
229,1
230,3
231,2
232,0
233,3
234,0
235,2
236,0
237,1
238,0
239,0
240,0
241,2
242,3
243,1
244,3
245,1
246,3
247,0
248,2
249,1
250,3
251,3
252,1
253,3
254,0
255,1
256,0
257,3
258,1
259,3
260,0
261,2
262,3
263,2
264,0
265,0
266,1
267,3
268,3
269,3
270,3
271,1
272,3
273,3
274,0
275,0
276,0
277,3
278,3
279,1
280,2
281,3
282,3
283,3
284,1
285,3
286,2
287,1
288,3
289,1
290,2
291,0
292,2
293,1
294,2
295,2
296,2
297,2
298,1
299,2
300,0
301,3
302,2
303,3
304,0
305,3
306,0
307,2
308,3
309,0
310,3
311,2
312,1
313,2
314,3
315,3
316,1
317,2
318,3
319,1
320,2
321,1
322,2
323,0
324,1
325,2
326,0
327,2
328,2
329,3
330,0
331,3
332,2
333,3
334,0
335,2
336,2
337,0
338,3
339,2
340,0
341,2
342,3
343,0
344,0
345,1
346,0
347,2
348,2
349,2
350,3
351,2
352,1
353,0
354,2
355,2
356,1
357,2
358,3
359,2
360,3
361,1
362,3
363,2
364,0
365,2
366,2
367,0
368,3
369,0
370,2
371,3
372,3
373,1
374,0
375,2
376,3
377,2
378,0
379,3
380,2
381,3
382,0
383,2
384,1
385,1
386,3
387,2
388,3
389,2
390,0
391,2
392,1
393,3
394,3
395,3
396,3
397,0
398,3
399,2
400,2
401,2
402,3
403,2
404,2
405,3
406,1
407,1
408,3
409,1
410,2
411,3
412,1
413,0
414,1
415,2
416,2
417,2
418,1
419,2
420,3
421,3
422,2
423,2
424,0
425,3
426,3
427,1
428,2
429,0
430,3
431,0
432,2
433,3
434,1
435,2
436,3
437,3
438,2
439,2
440,2
441,2
442,1
443,1
444,0
445,0
446,3
447,2
448,2
449,0
450,2
451,3
452,3
453,2
454,0
455,2
456,3
457,3
458,1
459,2
460,3
461,0
462,1
463,2
464,2
465,3
466,3
467,2
468,3
469,1
470,2
471,2
472,0
473,3
474,0
475,3
476,1
477,3
478,3
479,0
480,1
481,2
482,3
483,3
484,3
485,3
486,0
487,3
488,2
489,2
490,3
491,2
492,0
493,3
494,0
495,0
496,3
497,0
498,3
499,3
500,3
501,1
502,1
503,2
504,3
505,1
506,1
507,2
508,3
509,2
510,3
511,3
512,3
513,1
514,0
515,0
516,0
517,2
518,3
519,3
520,2
521,2
522,2
523,3
524,2
525,3
526,2
527,3
528,2
529,3
530,2
531,3
532,0
533,0
534,0
535,3
536,0
537,1
538,1
539,3
540,3
541,3
542,2
543,1
544,2
545,2
546,3
547,2
548,2
549,0
550,3
551,1
552,0
553,2
554,1
555,3
556,3
557,0
558,3
559,3
560,0
561,3
562,0
563,2
564,2
565,3
566,2
567,2
568,3
569,3
570,3
571,1
572,1
573,0
574,0
575,2
576,3
577,2
578,3
579,0
580,0
581,2
582,1
583,0
584,2
585,2
586,1
587,1
588,2
589,2
590,3
591,0
592,2
593,3
594,0
595,1
596,3
597,2
598,3
599,1
600,3
601,1
602,1
603,2
604,2
605,2
606,3
607,1
608,2
609,0
610,3
611,1
612,0
613,2
614,2
615,3
616,2
617,2
618,2
619,1
620,0
621,3
622,2
623,2
624,3
625,0
626,3
627,2
628,0
629,1
630,3
631,2
632,2
633,3
634,2
635,3
636,3
637,1
638,1
639,0
640,2
641,1
642,3
643,3
644,2
645,1
646,2
647,2
648,0
649,3
650,0
651,0
652,3
653,1
654,0
655,1
656,3
657,3
658,3
659,2
660,1
661,2
662,3
663,0
664,2
665,2
666,0
667,3
668,0
669,2
670,3
671,3
672,0
673,2
674,1
675,0
676,2
677,0
678,2
679,2
680,2
681,1
682,3
683,2
