Id,Prediction
1,3
2,3
3,2
4,2
5,2
6,2
7,2
8,1
9,3
10,3
11,1
12,1
13,2
14,1
15,0
16,1
17,3
18,2
19,1
20,1
21,2
22,1
23,2
24,2
25,1
26,1
27,1
28,1
29,3
30,1
31,2
32,1
33,3
34,1
35,1
36,2
37,2
38,2
39,1
40,1
41,1
42,1
43,2
44,1
45,2
46,1
47,2
48,2
49,1
50,1
51,2
52,3
53,1
54,3
55,1
56,3
57,2
58,2
59,1
60,2
61,1
62,3
63,3
64,3
65,1
66,3
67,0
68,2
69,1
70,1
71,3
72,1
73,1
74,1
75,2
76,1
77,3
78,3
79,2
80,1
81,0
82,1
83,1
84,1
85,3
86,3
87,3
88,3
89,3
90,3
91,2
92,0
93,0
94,2
95,1
96,3
97,0
98,2
99,3
100,1
101,2
102,3
103,3
104,2
105,3
106,3
107,1
108,0
109,1
110,1
111,3
112,1
113,2
114,3
115,3
116,1
117,3
118,2
119,1
120,0
121,1
122,3
123,2
124,2
125,2
126,2
127,2
128,3
129,1
130,3
131,2
132,3
133,2
134,1
135,2
136,2
137,3
138,1
139,0
140,2
141,2
142,1
143,0
144,2
145,2
146,2
147,1
148,3
149,3
150,2
151,1
152,1
153,1
154,1
155,2
156,3
157,0
158,3
159,3
160,2
161,3
162,1
163,3
164,2
165,2
166,2
167,3
168,2
169,1
170,0
171,1
172,1
173,2
174,1
175,1
176,1
177,1
178,2
179,1
180,0
181,1
182,0
183,2
184,1
185,1
186,3
187,2
188,1
189,3
190,3
191,1
192,1
193,3
194,3
195,3
196,3
197,2
198,1
199,1
200,2
201,1
202,0
203,2
204,1
205,1
206,1
207,2
208,1
209,0
210,1
211,1
212,2
213,3
214,1
215,1
216,1
217,1
218,1
219,1
220,2
221,2
222,3
223,1
224,2
225,1
226,0
227,3
228,2
229,1
230,3
231,3
232,0
233,1
234,2
235,3
236,2
237,1
238,3
239,1
240,1
241,2
242,2
243,3
244,3
245,1
246,2
247,3
248,3
249,1
250,1
251,2
252,2
253,1
254,2
255,1
256,0
257,2
258,1
259,2
260,1
261,1
262,3
263,1
264,3
265,1
266,1
267,2
268,1
269,3
270,3
271,0
272,0
273,3
274,2
275,3
276,3
277,3
278,1
279,3
280,2
281,3
282,3
283,0
284,1
285,1
286,3
287,2
288,3
289,1
290,2
291,0
292,3
293,1
294,1
295,1
296,3
297,2
298,3
299,1
300,2
301,1
302,3
303,3
304,0
305,3
306,3
307,2
308,2
309,3
310,3
311,2
312,2
313,2
314,0
315,1
316,2
317,1
318,1
319,1
320,3
321,1
322,2
323,3
324,0
325,1
326,2
327,2
328,2
329,2
330,3
331,2
332,2
333,0
334,0
335,1
336,1
337,1
338,2
339,1
340,1
341,2
342,2
343,3
344,3
345,1
346,3
347,1
348,2
349,3
350,3
351,2
352,1
353,1
354,2
355,2
356,1
357,3
358,1
359,2
360,1
361,1
362,1
363,1
364,0
365,1
366,3
367,3
368,1
369,3
370,3
371,2
372,1
373,3
374,3
375,2
376,3
377,2
378,1
379,2
380,2
381,3
382,0
383,1
384,1
385,1
386,1
387,2
388,1
389,2
390,1
391,1
392,1
393,3
394,0
395,1
396,1
397,1
398,0
399,1
400,2
401,3
402,2
403,3
404,2
405,3
406,1
407,3
408,3
409,1
410,1
411,3
412,2
413,2
414,1
415,2
416,2
417,0
418,2
419,2
420,3
421,1
422,2
423,2
424,1
425,3
426,2
427,1
428,0
429,1
430,3
431,0
432,2
433,1
434,1
435,0
436,3
437,1
438,2
439,1
440,2
441,1
442,1
443,3
444,3
445,2
446,3
447,2
448,1
449,3
450,1
451,3
452,2
453,1
454,0
455,2
456,2
457,2
458,2
459,2
460,1
461,2
462,1
463,3
464,2
465,1
466,3
467,3
468,1
469,1
470,2
471,2
472,1
473,1
474,1
475,0
476,1
477,3
478,3
479,0
480,1
481,3
482,2
483,2
484,2
485,3
486,0
487,3
488,2
489,1
490,3
491,2
492,1
493,3
494,1
495,1
496,3
497,0
498,2
499,2
500,3
501,2
502,2
503,2
504,3
505,1
506,1
507,2
508,3
509,3
510,0
511,3
512,3
513,2
514,2
515,2
516,3
517,3
518,1
519,1
520,1
521,3
522,2
523,3
524,2
525,3
526,3
527,3
528,2
529,3
530,2
531,3
532,1
533,1
534,1
535,2
536,3
537,1
538,1
539,3
540,1
541,2
542,2
543,3
544,3
545,1
546,3
547,1
548,2
549,1
550,3
551,1
552,3
553,2
554,1
555,2
556,2
557,3
558,1
559,3
560,1
561,2
562,1
563,2
564,1
565,0
566,2
567,1
568,3
569,1
570,1
571,3
572,1
573,1
574,1
575,2
576,0
577,3
578,3
579,1
580,1
581,2
582,1
583,1
584,2
585,2
586,0
587,1
588,3
589,1
590,2
591,2
592,2
593,0
594,2
595,0
596,3
597,3
598,1
599,1
600,3
601,1
602,3
603,2
604,3
605,2
606,0
607,1
608,2
609,2
610,3
611,2
612,3
613,2
614,3
615,3
616,2
617,2
618,3
619,1
620,2
621,3
622,2
623,0
624,2
625,1
626,3
627,1
628,3
629,1
630,3
631,2
632,1
633,3
634,1
635,0
636,3
637,1
638,2
639,3
640,2
641,0
642,2
643,3
644,1
645,2
646,3
647,3
648,2
649,3
650,0
651,0
652,3
653,2
654,2
655,2
656,1
657,3
658,2
659,2
660,2
661,2
662,3
663,3
664,1
665,2
666,1
667,3
668,2
669,1
670,3
671,1
672,0
673,1
674,2
675,0
676,2
677,0
678,2
679,3
680,2
681,1
682,3
683,2
