Id,Prediction
1,3
2,3
3,3
4,3
5,2
6,3
7,2
8,1
9,3
10,3
11,1
12,3
13,2
14,3
15,0
16,2
17,3
18,3
19,1
20,1
21,2
22,3
23,1
24,1
25,1
26,1
27,0
28,2
29,1
30,0
31,3
32,1
33,1
34,1
35,1
36,2
37,3
38,0
39,1
40,2
41,3
42,1
43,2
44,1
45,2
46,2
47,2
48,2
49,1
50,3
51,1
52,3
53,0
54,3
55,1
56,3
57,1
58,2
59,3
60,2
61,2
62,3
63,2
64,3
65,1
66,2
67,3
68,2
69,3
70,2
71,3
72,1
73,1
74,2
75,3
76,1
77,2
78,1
79,2
80,2
81,2
82,1
83,2
84,2
85,0
86,3
87,3
88,1
89,3
90,3
91,2
92,0
93,2
94,2
95,3
96,3
97,2
98,3
99,3
100,1
101,2
102,3
103,2
104,1
105,3
106,2
107,2
108,1
109,1
110,1
111,3
112,2
113,1
114,1
115,3
116,1
117,2
118,2
119,1
120,2
121,3
122,3
123,2
124,0
125,3
126,2
127,1
128,3
129,2
130,3
131,2
132,3
133,2
134,1
135,2
136,3
137,3
138,2
139,0
140,3
141,2
142,1
143,3
144,2
145,2
146,2
147,1
148,0
149,3
150,2
151,1
152,2
153,2
154,2
155,0
156,1
157,2
158,1
159,1
160,2
161,3
162,2
163,3
164,0
165,1
166,3
167,2
168,2
169,0
170,0
171,0
172,1
173,0
174,2
175,2
176,2
177,1
178,2
179,2
180,3
181,1
182,2
183,1
184,2
185,3
186,3
187,2
188,2
189,3
190,3
191,3
192,2
193,3
194,3
195,2
196,3
197,3
198,1
199,1
200,1
201,1
202,0
203,3
204,1
205,1
206,2
207,3
208,1
209,2
210,1
211,1
212,2
213,2
214,1
215,1
216,3
217,2
218,2
219,2
220,1
221,3
222,3
223,1
224,2
225,1
226,1
227,3
228,2
229,2
230,3
231,3
232,0
233,3
234,3
235,3
236,1
237,1
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,0
247,0
248,0
249,1
250,0
251,3
252,1
253,1
254,0
255,3
256,0
257,3
258,1
259,2
260,2
261,1
262,0
263,3
264,3
265,0
266,2
267,0
268,1
269,1
270,3
271,0
272,0
273,3
274,0
275,0
276,3
277,3
278,3
279,1
280,2
281,3
282,1
283,1
284,1
285,2
286,3
287,2
288,3
289,1
290,1
291,2
292,2
293,1
294,1
295,3
296,1
297,2
298,1
299,2
300,1
301,2
302,2
303,1
304,3
305,3
306,1
307,2
308,3
309,3
310,3
311,2
312,3
313,2
314,3
315,1
316,2
317,3
318,2
319,1
320,2
321,1
322,1
323,2
324,1
325,3
326,0
327,3
328,3
329,3
330,1
331,2
332,2
333,1
334,2
335,1
336,2
337,1
338,2
339,3
340,1
341,2
342,1
343,1
344,3
345,2
346,2
347,2
348,2
349,3
350,3
351,2
352,3
353,0
354,2
355,2
356,1
357,3
358,3
359,2
360,1
361,1
362,2
363,3
364,0
365,1
366,1
367,0
368,2
369,3
370,2
371,0
372,1
373,3
374,0
375,0
376,3
377,1
378,1
379,3
380,2
381,3
382,2
383,3
384,2
385,3
386,1
387,2
388,1
389,2
390,1
391,1
392,2
393,2
394,3
395,3
396,1
397,2
398,1
399,2
400,1
401,2
402,2
403,3
404,1
405,3
406,1
407,3
408,3
409,1
410,2
411,3
412,2
413,1
414,1
415,3
416,1
417,2
418,2
419,3
420,2
421,0
422,2
423,2
424,2
425,3
426,2
427,0
428,1
429,2
430,3
431,3
432,2
433,3
434,2
435,1
436,3
437,3
438,2
439,2
440,2
441,2
442,1
443,1
444,3
445,2
446,3
447,2
448,1
449,3
450,1
451,3
452,2
453,2
454,0
455,2
456,2
457,2
458,1
459,1
460,2
461,0
462,1
463,2
464,3
465,3
466,2
467,3
468,2
469,1
470,1
471,2
472,1
473,3
474,0
475,3
476,3
477,3
478,3
479,0
480,1
481,3
482,3
483,3
484,2
485,2
486,0
487,3
488,2
489,2
490,2
491,2
492,1
493,3
494,3
495,3
496,3
497,1
498,2
499,2
500,1
501,1
502,2
503,2
504,3
505,1
506,2
507,0
508,2
509,2
510,3
511,3
512,3
513,1
514,3
515,1
516,3
517,2
518,3
519,3
520,0
521,2
522,1
523,3
524,3
525,3
526,3
527,3
528,3
529,3
530,2
531,2
532,2
533,1
534,2
535,1
536,2
537,1
538,2
539,3
540,2
541,1
542,2
543,1
544,2
545,1
546,2
547,2
548,2
549,2
550,3
551,1
552,3
553,3
554,1
555,2
556,3
557,1
558,3
559,3
560,2
561,3
562,0
563,2
564,1
565,3
566,2
567,2
568,3
569,2
570,1
571,2
572,1
573,2
574,2
575,2
576,1
577,2
578,3
579,1
580,0
581,2
582,1
583,2
584,2
585,3
586,2
587,2
588,3
589,1
590,0
591,2
592,2
593,3
594,2
595,0
596,3
597,3
598,2
599,1
600,1
601,0
602,1
603,3
604,2
605,2
606,3
607,0
608,2
609,2
610,3
611,1
612,1
613,0
614,3
615,3
616,2
617,2
618,1
619,1
620,2
621,3
622,2
623,3
624,2
625,1
626,3
627,3
628,0
629,1
630,3
631,3
632,2
633,2
634,1
635,3
636,2
637,1
638,2
639,0
640,0
641,2
642,3
643,2
644,1
645,2
646,2
647,2
648,2
649,3
650,2
651,0
652,3
653,2
654,1
655,2
656,2
657,3
658,1
659,1
660,2
661,2
662,2
663,3
664,1
665,2
666,1
667,2
668,0
669,3
670,1
671,2
672,0
673,1
674,1
675,0
676,2
677,2
678,2
679,3
680,2
681,1
682,3
683,2
