Id,Prediction
1,0
2,3
3,3
4,2
5,2
6,3
7,2
8,3
9,2
10,3
11,1
12,1
13,3
14,2
15,0
16,3
17,3
18,2
19,3
20,2
21,2
22,2
23,1
24,1
25,0
26,3
27,2
28,2
29,2
30,0
31,2
32,1
33,1
34,2
35,1
36,3
37,3
38,1
39,2
40,0
41,0
42,3
43,2
44,0
45,2
46,1
47,2
48,3
49,1
50,2
51,3
52,3
53,1
54,3
55,1
56,3
57,2
58,3
59,1
60,2
61,0
62,2
63,3
64,3
65,0
66,3
67,2
68,3
69,2
70,0
71,3
72,1
73,2
74,2
75,3
76,3
77,2
78,0
79,0
80,2
81,2
82,0
83,2
84,3
85,2
86,3
87,3
88,3
89,3
90,3
91,2
92,1
93,3
94,2
95,3
96,3
97,2
98,3
99,3
100,1
101,2
102,3
103,1
104,2
105,3
106,3
107,3
108,1
109,3
110,2
111,3
112,3
113,3
114,1
115,3
116,1
117,2
118,2
119,3
120,2
121,3
122,3
123,2
124,3
125,2
126,3
127,2
128,3
129,3
130,3
131,3
132,3
133,2
134,3
135,2
136,2
137,3
138,2
139,0
140,3
141,2
142,0
143,0
144,2
145,2
146,2
147,2
148,3
149,3
150,2
151,1
152,2
153,1
154,3
155,2
156,3
157,1
158,0
159,0
160,1
161,3
162,0
163,3
164,3
165,2
166,3
167,3
168,2
169,1
170,0
171,1
172,1
173,2
174,1
175,1
176,0
177,2
178,2
179,2
180,3
181,1
182,3
183,1
184,3
185,3
186,3
187,2
188,3
189,3
190,3
191,1
192,2
193,3
194,3
195,3
196,3
197,3
198,1
199,1
200,2
201,1
202,3
203,3
204,1
205,3
206,3
207,2
208,2
209,1
210,1
211,1
212,3
213,3
214,1
215,2
216,3
217,1
218,3
219,1
220,2
221,3
222,3
223,3
224,2
225,3
226,3
227,3
228,3
229,2
230,3
231,2
232,0
233,2
234,1
235,2
236,3
237,1
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,2
247,2
248,3
249,1
250,3
251,3
252,1
253,3
254,1
255,3
256,0
257,3
258,3
259,1
260,3
261,3
262,0
263,2
264,0
265,1
266,1
267,1
268,3
269,1
270,3
271,0
272,3
273,1
274,2
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,2
284,1
285,2
286,2
287,2
288,3
289,1
290,2
291,2
292,2
293,1
294,3
295,2
296,1
297,2
298,3
299,3
300,1
301,1
302,2
303,3
304,0
305,3
306,3
307,2
308,2
309,3
310,3
311,3
312,1
313,3
314,3
315,1
316,2
317,3
318,3
319,3
320,2
321,1
322,2
323,3
324,2
325,2
326,0
327,2
328,0
329,3
330,3
331,2
332,2
333,1
334,0
335,0
336,3
337,2
338,3
339,2
340,1
341,2
342,3
343,3
344,3
345,1
346,1
347,3
348,2
349,3
350,2
351,0
352,1
353,2
354,2
355,2
356,2
357,3
358,3
359,3
360,1
361,2
362,3
363,0
364,0
365,0
366,3
367,0
368,3
369,3
370,3
371,2
372,3
373,0
374,2
375,2
376,3
377,0
378,1
379,3
380,3
381,0
382,3
383,3
384,1
385,3
386,2
387,2
388,3
389,2
390,3
391,3
392,0
393,2
394,2
395,3
396,3
397,2
398,3
399,2
400,2
401,3
402,3
403,3
404,3
405,3
406,1
407,0
408,3
409,1
410,3
411,3
412,3
413,3
414,0
415,2
416,1
417,2
418,1
419,0
420,3
421,0
422,2
423,2
424,3
425,3
426,3
427,1
428,2
429,3
430,3
431,3
432,2
433,2
434,2
435,1
436,3
437,3
438,2
439,2
440,2
441,3
442,1
443,2
444,3
445,2
446,3
447,2
448,1
449,3
450,1
451,3
452,0
453,2
454,0
455,3
456,3
457,3
458,1
459,3
460,3
461,1
462,1
463,3
464,2
465,3
466,2
467,2
468,2
469,2
470,2
471,2
472,3
473,2
474,0
475,2
476,2
477,3
478,3
479,0
480,1
481,3
482,3
483,3
484,3
485,3
486,0
487,3
488,2
489,0
490,0
491,2
492,1
493,3
494,0
495,3
496,2
497,3
498,3
499,2
500,3
501,1
502,1
503,1
504,0
505,1
506,1
507,1
508,3
509,3
510,3
511,0
512,3
513,1
514,3
515,1
516,3
517,3
518,0
519,3
520,0
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,1
533,1
534,3
535,3
536,1
537,2
538,1
539,3
540,2
541,3
542,2
543,1
544,3
545,1
546,3
547,2
548,3
549,2
550,3
551,2
552,3
553,3
554,1
555,3
556,3
557,3
558,3
559,2
560,3
561,3
562,2
563,2
564,1
565,3
566,2
567,1
568,2
569,2
570,0
571,3
572,3
573,0
574,3
575,2
576,2
577,0
578,2
579,1
580,1
581,2
582,3
583,0
584,2
585,2
586,1
587,2
588,3
589,0
590,0
591,0
592,2
593,3
594,3
595,1
596,2
597,2
598,1
599,2
600,3
601,0
602,2
603,2
604,3
605,2
606,3
607,2
608,2
609,3
610,3
611,3
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,3
620,0
621,2
622,2
623,3
624,2
625,3
626,3
627,0
628,0
629,1
630,3
631,2
632,0
633,3
634,1
635,3
636,0
637,1
638,1
639,3
640,0
641,3
642,3
643,3
644,2
645,1
646,3
647,2
648,2
649,3
650,2
651,2
652,2
653,1
654,1
655,1
656,3
657,3
658,3
659,2
660,2
661,2
662,2
663,2
664,2
665,2
666,1
667,2
668,1
669,3
670,3
671,2
672,0
673,1
674,3
675,1
676,3
677,0
678,2
679,2
680,2
681,3
682,3
683,2
