Id,Prediction
1,3
2,3
3,1
4,2
5,2
6,3
7,3
8,3
9,3
10,3
11,1
12,3
13,3
14,2
15,0
16,3
17,2
18,2
19,3
20,2
21,2
22,3
23,2
24,1
25,0
26,2
27,3
28,3
29,3
30,1
31,3
32,0
33,1
34,1
35,1
36,2
37,3
38,1
39,0
40,1
41,0
42,3
43,2
44,3
45,0
46,2
47,1
48,1
49,1
50,3
51,3
52,3
53,3
54,3
55,1
56,2
57,2
58,1
59,1
60,2
61,3
62,3
63,2
64,3
65,1
66,3
67,3
68,3
69,3
70,3
71,3
72,1
73,1
74,1
75,3
76,2
77,2
78,2
79,2
80,3
81,1
82,1
83,1
84,3
85,1
86,3
87,3
88,3
89,3
90,3
91,2
92,0
93,3
94,2
95,3
96,3
97,2
98,3
99,3
100,1
101,2
102,3
103,2
104,2
105,3
106,1
107,3
108,0
109,3
110,2
111,0
112,2
113,2
114,1
115,3
116,1
117,2
118,2
119,3
120,2
121,3
122,3
123,2
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,2
134,1
135,2
136,2
137,3
138,1
139,1
140,2
141,3
142,3
143,0
144,2
145,2
146,2
147,1
148,3
149,3
150,3
151,0
152,3
153,1
154,2
155,0
156,3
157,3
158,2
159,1
160,2
161,3
162,3
163,3
164,1
165,2
166,3
167,2
168,1
169,1
170,0
171,1
172,1
173,2
174,2
175,0
176,0
177,1
178,2
179,3
180,3
181,3
182,0
183,1
184,3
185,3
186,2
187,2
188,3
189,2
190,3
191,2
192,3
193,3
194,3
195,3
196,3
197,2
198,1
199,2
200,3
201,3
202,3
203,3
204,1
205,3
206,3
207,3
208,1
209,1
210,1
211,1
212,2
213,3
214,1
215,1
216,3
217,3
218,3
219,1
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,2
229,1
230,3
231,3
232,0
233,3
234,3
235,2
236,3
237,1
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,0
247,3
248,3
249,1
250,3
251,3
252,1
253,3
254,1
255,3
256,1
257,3
258,3
259,2
260,1
261,3
262,0
263,1
264,3
265,1
266,3
267,1
268,1
269,3
270,2
271,0
272,0
273,3
274,0
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,3
284,1
285,3
286,3
287,3
288,3
289,1
290,2
291,0
292,3
293,1
294,2
295,3
296,3
297,3
298,1
299,2
300,0
301,1
302,2
303,0
304,1
305,3
306,1
307,2
308,3
309,3
310,2
311,3
312,1
313,3
314,3
315,3
316,2
317,3
318,3
319,1
320,1
321,3
322,2
323,3
324,1
325,3
326,1
327,2
328,2
329,2
330,1
331,2
332,2
333,3
334,2
335,0
336,3
337,1
338,2
339,2
340,1
341,2
342,3
343,3
344,3
345,1
346,3
347,2
348,2
349,3
350,3
351,2
352,1
353,3
354,2
355,2
356,0
357,3
358,3
359,1
360,3
361,1
362,3
363,1
364,0
365,1
366,3
367,0
368,3
369,3
370,3
371,2
372,3
373,3
374,3
375,2
376,3
377,2
378,3
379,1
380,2
381,3
382,3
383,3
384,1
385,2
386,2
387,3
388,3
389,3
390,3
391,2
392,3
393,3
394,3
395,2
396,3
397,3
398,3
399,3
400,3
401,3
402,2
403,3
404,2
405,3
406,1
407,2
408,3
409,1
410,3
411,3
412,3
413,3
414,1
415,2
416,1
417,0
418,1
419,3
420,2
421,3
422,2
423,2
424,3
425,3
426,3
427,0
428,3
429,1
430,3
431,2
432,2
433,3
434,3
435,3
436,3
437,3
438,3
439,1
440,2
441,3
442,1
443,3
444,3
445,3
446,3
447,2
448,3
449,3
450,1
451,3
452,2
453,0
454,3
455,1
456,3
457,3
458,2
459,3
460,3
461,1
462,1
463,2
464,3
465,3
466,0
467,3
468,3
469,1
470,3
471,2
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,0
480,1
481,3
482,3
483,3
484,2
485,3
486,0
487,3
488,2
489,2
490,3
491,2
492,1
493,3
494,1
495,3
496,3
497,2
498,3
499,1
500,1
501,1
502,1
503,2
504,3
505,1
506,1
507,1
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,3
518,3
519,1
520,3
521,3
522,1
523,3
524,3
525,3
526,3
527,0
528,0
529,3
530,2
531,3
532,1
533,3
534,3
535,3
536,3
537,3
538,1
539,3
540,3
541,1
542,1
543,1
544,2
545,3
546,3
547,2
548,3
549,3
550,3
551,2
552,3
553,3
554,1
555,3
556,2
557,1
558,3
559,3
560,3
561,2
562,2
563,3
564,3
565,3
566,2
567,2
568,3
569,3
570,2
571,3
572,1
573,2
574,1
575,2
576,1
577,3
578,2
579,3
580,1
581,2
582,1
583,2
584,2
585,3
586,1
587,2
588,3
589,1
590,0
591,1
592,2
593,3
594,3
595,1
596,3
597,2
598,3
599,1
600,1
601,0
602,2
603,3
604,3
605,2
606,3
607,0
608,3
609,3
610,3
611,1
612,3
613,3
614,3
615,0
616,2
617,2
618,3
619,1
620,3
621,2
622,2
623,3
624,2
625,1
626,3
627,3
628,3
629,1
630,3
631,2
632,1
633,3
634,1
635,3
636,3
637,1
638,1
639,3
640,2
641,1
642,3
643,2
644,2
645,1
646,3
647,3
648,3
649,3
650,2
651,1
652,3
653,2
654,2
655,2
656,2
657,1
658,3
659,2
660,0
661,2
662,3
663,3
664,2
665,1
666,2
667,0
668,1
669,3
670,1
671,0
672,1
673,2
674,1
675,0
676,2
677,0
678,3
679,3
680,3
681,1
682,3
683,0
