Id,Prediction
1,2
2,3
3,3
4,3
5,2
6,2
7,2
8,3
9,3
10,3
11,1
12,3
13,1
14,2
15,3
16,3
17,3
18,2
19,3
20,1
21,2
22,3
23,1
24,2
25,2
26,2
27,1
28,2
29,3
30,2
31,3
32,2
33,1
34,3
35,1
36,2
37,2
38,3
39,2
40,2
41,1
42,3
43,3
44,2
45,1
46,3
47,2
48,3
49,2
50,3
51,3
52,3
53,3
54,3
55,2
56,3
57,2
58,2
59,1
60,3
61,3
62,3
63,3
64,3
65,1
66,3
67,3
68,3
69,3
70,1
71,3
72,2
73,3
74,2
75,3
76,2
77,2
78,3
79,2
80,2
81,2
82,3
83,1
84,3
85,3
86,3
87,3
88,2
89,2
90,3
91,3
92,3
93,2
94,2
95,3
96,3
97,3
98,3
99,3
100,1
101,2
102,3
103,1
104,3
105,3
106,1
107,2
108,1
109,2
110,3
111,3
112,3
113,3
114,2
115,3
116,3
117,2
118,2
119,2
120,2
121,3
122,3
123,2
124,3
125,2
126,2
127,2
128,3
129,2
130,3
131,2
132,3
133,3
134,2
135,2
136,2
137,3
138,3
139,1
140,3
141,2
142,3
143,3
144,3
145,2
146,2
147,1
148,3
149,3
150,2
151,3
152,2
153,2
154,2
155,2
156,1
157,1
158,3
159,2
160,2
161,3
162,3
163,3
164,1
165,2
166,2
167,3
168,2
169,1
170,1
171,1
172,1
173,3
174,2
175,1
176,3
177,2
178,2
179,1
180,2
181,1
182,1
183,1
184,2
185,3
186,3
187,3
188,2
189,3
190,3
191,2
192,3
193,3
194,1
195,3
196,3
197,2
198,1
199,1
200,3
201,1
202,3
203,3
204,1
205,3
206,3
207,2
208,1
209,1
210,1
211,2
212,2
213,3
214,1
215,3
216,3
217,3
218,1
219,1
220,3
221,3
222,3
223,3
224,2
225,3
226,3
227,3
228,3
229,3
230,3
231,2
232,1
233,3
234,3
235,3
236,2
237,1
238,3
239,2
240,2
241,2
242,3
243,1
244,3
245,1
246,1
247,2
248,3
249,2
250,2
251,3
252,1
253,3
254,2
255,2
256,2
257,3
258,1
259,2
260,3
261,3
262,3
263,1
264,2
265,3
266,2
267,1
268,1
269,3
270,3
271,1
272,2
273,3
274,3
275,3
276,3
277,3
278,3
279,1
280,1
281,3
282,3
283,3
284,1
285,2
286,2
287,2
288,3
289,1
290,2
291,2
292,3
293,1
294,3
295,3
296,3
297,2
298,3
299,2
300,3
301,1
302,3
303,1
304,3
305,3
306,1
307,2
308,2
309,3
310,2
311,3
312,1
313,3
314,3
315,3
316,2
317,3
318,2
319,2
320,1
321,3
322,2
323,3
324,1
325,2
326,2
327,3
328,3
329,3
330,3
331,2
332,3
333,1
334,1
335,1
336,3
337,2
338,3
339,3
340,3
341,2
342,3
343,3
344,2
345,2
346,1
347,2
348,2
349,2
350,3
351,3
352,1
353,3
354,3
355,2
356,2
357,2
358,3
359,3
360,3
361,2
362,2
363,2
364,1
365,2
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,2
374,3
375,3
376,2
377,2
378,3
379,2
380,2
381,3
382,2
383,2
384,1
385,3
386,1
387,3
388,3
389,2
390,1
391,3
392,3
393,3
394,2
395,3
396,3
397,2
398,3
399,2
400,3
401,1
402,3
403,3
404,2
405,2
406,2
407,3
408,3
409,1
410,2
411,3
412,2
413,3
414,1
415,3
416,3
417,3
418,1
419,2
420,3
421,2
422,2
423,2
424,1
425,3
426,2
427,1
428,3
429,1
430,3
431,2
432,1
433,3
434,1
435,3
436,3
437,3
438,2
439,1
440,1
441,3
442,1
443,3
444,3
445,2
446,3
447,2
448,2
449,3
450,1
451,3
452,2
453,2
454,2
455,3
456,3
457,2
458,2
459,2
460,3
461,2
462,1
463,3
464,3
465,1
466,2
467,1
468,2
469,2
470,2
471,2
472,2
473,3
474,1
475,3
476,1
477,3
478,3
479,2
480,2
481,3
482,3
483,3
484,1
485,3
486,2
487,3
488,3
489,2
490,3
491,3
492,1
493,3
494,2
495,3
496,3
497,3
498,2
499,2
500,1
501,1
502,2
503,1
504,3
505,1
506,3
507,2
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,3
518,3
519,3
520,2
521,3
522,3
523,1
524,2
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,2
533,3
534,3
535,3
536,1
537,3
538,1
539,3
540,2
541,1
542,3
543,1
544,2
545,1
546,3
547,1
548,3
549,3
550,3
551,1
552,3
553,2
554,1
555,1
556,3
557,2
558,3
559,3
560,2
561,2
562,3
563,2
564,1
565,3
566,2
567,1
568,3
569,2
570,2
571,3
572,1
573,2
574,1
575,2
576,1
577,2
578,3
579,1
580,2
581,3
582,1
583,2
584,2
585,3
586,2
587,1
588,3
589,1
590,1
591,3
592,2
593,1
594,2
595,1
596,3
597,2
598,2
599,1
600,2
601,2
602,2
603,2
604,3
605,3
606,2
607,2
608,2
609,2
610,3
611,3
612,1
613,3
614,3
615,3
616,2
617,2
618,2
619,3
620,2
621,3
622,2
623,3
624,2
625,1
626,2
627,3
628,3
629,1
630,3
631,1
632,2
633,3
634,1
635,3
636,3
637,1
638,2
639,3
640,3
641,2
642,2
643,3
644,2
645,1
646,3
647,2
648,2
649,3
650,2
651,3
652,2
653,1
654,2
655,1
656,3
657,3
658,3
659,3
660,2
661,2
662,3
663,2
664,3
665,1
666,2
667,3
668,1
669,3
670,3
671,2
672,3
673,1
674,2
675,3
676,3
677,1
678,3
679,3
680,3
681,3
682,3
683,2
