Id,Prediction
1,2
2,3
3,1
4,3
5,2
6,2
7,2
8,1
9,3
10,1
11,0
12,3
13,2
14,2
15,0
16,3
17,3
18,2
19,3
20,2
21,2
22,2
23,1
24,1
25,3
26,2
27,3
28,2
29,3
30,2
31,2
32,1
33,1
34,2
35,1
36,2
37,0
38,1
39,2
40,0
41,2
42,3
43,2
44,2
45,2
46,1
47,2
48,2
49,1
50,3
51,3
52,3
53,2
54,3
55,1
56,2
57,2
58,2
59,1
60,0
61,3
62,2
63,3
64,3
65,1
66,3
67,3
68,3
69,3
70,2
71,2
72,2
73,1
74,2
75,3
76,2
77,2
78,3
79,2
80,2
81,2
82,1
83,2
84,2
85,1
86,3
87,3
88,3
89,2
90,3
91,2
92,0
93,3
94,2
95,2
96,3
97,2
98,3
99,3
100,1
101,3
102,3
103,1
104,2
105,3
106,0
107,2
108,1
109,2
110,1
111,3
112,1
113,1
114,1
115,3
116,2
117,2
118,2
119,0
120,2
121,3
122,3
123,2
124,3
125,2
126,2
127,3
128,3
129,2
130,3
131,3
132,3
133,2
134,1
135,2
136,3
137,3
138,2
139,1
140,3
141,2
142,0
143,2
144,3
145,2
146,2
147,1
148,3
149,3
150,2
151,2
152,2
153,2
154,2
155,3
156,2
157,1
158,2
159,2
160,2
161,2
162,2
163,3
164,3
165,3
166,3
167,2
168,2
169,2
170,1
171,2
172,2
173,2
174,2
175,1
176,3
177,1
178,2
179,2
180,2
181,1
182,1
183,1
184,2
185,3
186,3
187,2
188,2
189,3
190,3
191,2
192,3
193,3
194,2
195,3
196,3
197,3
198,1
199,1
200,1
201,2
202,3
203,3
204,2
205,1
206,3
207,3
208,1
209,1
210,1
211,2
212,2
213,3
214,1
215,1
216,3
217,1
218,3
219,1
220,2
221,3
222,3
223,3
224,2
225,1
226,3
227,3
228,1
229,3
230,3
231,2
232,3
233,3
234,3
235,2
236,0
237,1
238,3
239,2
240,2
241,2
242,2
243,2
244,3
245,1
246,0
247,2
248,3
249,3
250,3
251,3
252,1
253,3
254,1
255,2
256,1
257,3
258,2
259,3
260,3
261,3
262,3
263,1
264,2
265,1
266,2
267,2
268,1
269,3
270,2
271,2
272,0
273,3
274,0
275,3
276,3
277,3
278,1
279,0
280,2
281,3
282,3
283,2
284,1
285,2
286,3
287,2
288,3
289,1
290,2
291,2
292,2
293,1
294,3
295,3
296,3
297,2
298,3
299,2
300,2
301,2
302,2
303,1
304,3
305,2
306,1
307,2
308,3
309,3
310,2
311,3
312,1
313,3
314,3
315,3
316,2
317,2
318,3
319,3
320,2
321,2
322,2
323,3
324,1
325,2
326,0
327,2
328,3
329,1
330,3
331,2
332,1
333,0
334,1
335,1
336,3
337,2
338,3
339,2
340,3
341,2
342,1
343,3
344,2
345,2
346,2
347,2
348,2
349,3
350,2
351,2
352,1
353,3
354,2
355,2
356,2
357,2
358,3
359,1
360,3
361,2
362,2
363,3
364,2
365,1
366,2
367,3
368,3
369,3
370,3
371,2
372,1
373,3
374,2
375,2
376,3
377,3
378,2
379,2
380,2
381,3
382,1
383,3
384,1
385,3
386,2
387,3
388,3
389,1
390,1
391,2
392,3
393,1
394,2
395,3
396,3
397,2
398,3
399,2
400,3
401,2
402,3
403,3
404,2
405,3
406,2
407,3
408,3
409,0
410,2
411,3
412,3
413,3
414,1
415,2
416,1
417,1
418,2
419,3
420,2
421,2
422,2
423,2
424,2
425,3
426,2
427,0
428,3
429,2
430,3
431,2
432,2
433,3
434,2
435,1
436,0
437,3
438,2
439,1
440,1
441,3
442,1
443,1
444,3
445,1
446,3
447,2
448,2
449,3
450,1
451,3
452,3
453,2
454,2
455,2
456,3
457,2
458,2
459,2
460,3
461,3
462,2
463,3
464,2
465,3
466,3
467,2
468,2
469,2
470,2
471,2
472,1
473,0
474,2
475,3
476,2
477,3
478,3
479,2
480,1
481,3
482,3
483,3
484,2
485,3
486,2
487,3
488,2
489,2
490,3
491,3
492,1
493,3
494,2
495,3
496,3
497,1
498,3
499,2
500,3
501,1
502,2
503,1
504,3
505,1
506,1
507,2
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,3
516,3
517,3
518,3
519,1
520,1
521,3
522,2
523,1
524,2
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,2
533,1
534,2
535,1
536,2
537,2
538,1
539,3
540,2
541,1
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,3
550,3
551,2
552,3
553,2
554,1
555,1
556,3
557,2
558,3
559,3
560,2
561,3
562,3
563,3
564,2
565,3
566,2
567,1
568,2
569,2
570,2
571,3
572,1
573,3
574,1
575,2
576,1
577,2
578,2
579,1
580,2
581,2
582,2
583,2
584,2
585,3
586,1
587,2
588,3
589,0
590,2
591,3
592,3
593,1
594,3
595,2
596,2
597,2
598,2
599,1
600,2
601,2
602,2
603,2
604,3
605,2
606,2
607,1
608,2
609,3
610,3
611,3
612,2
613,3
614,2
615,3
616,2
617,2
618,2
619,3
620,0
621,3
622,2
623,0
624,2
625,0
626,3
627,3
628,2
629,1
630,2
631,2
632,1
633,2
634,1
635,3
636,3
637,1
638,2
639,3
640,3
641,2
642,2
643,3
644,2
645,1
646,3
647,2
648,2
649,3
650,2
651,3
652,2
653,2
654,1
655,2
656,2
657,3
658,2
659,2
660,2
661,2
662,3
663,3
664,3
665,0
666,3
667,3
668,1
669,3
670,3
671,3
672,1
673,1
674,1
675,1
676,3
677,3
678,2
679,3
680,3
681,1
682,3
683,2
