Id,Prediction
1,3
2,3
3,1
4,3
5,2
6,3
7,2
8,1
9,3
10,2
11,1
12,1
13,0
14,3
15,0
16,3
17,3
18,2
19,2
20,2
21,2
22,3
23,0
24,2
25,0
26,2
27,3
28,3
29,2
30,0
31,2
32,0
33,1
34,2
35,1
36,2
37,0
38,2
39,2
40,1
41,0
42,3
43,3
44,1
45,0
46,3
47,2
48,2
49,2
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,2
59,3
60,1
61,3
62,3
63,3
64,3
65,1
66,3
67,3
68,3
69,3
70,0
71,3
72,1
73,0
74,0
75,3
76,1
77,2
78,3
79,2
80,1
81,2
82,2
83,1
84,1
85,1
86,3
87,3
88,0
89,3
90,3
91,3
92,0
93,3
94,2
95,2
96,3
97,2
98,3
99,2
100,1
101,2
102,3
103,2
104,3
105,3
106,3
107,3
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,2
116,1
117,3
118,1
119,0
120,3
121,3
122,3
123,2
124,3
125,2
126,2
127,3
128,3
129,3
130,0
131,0
132,2
133,2
134,3
135,2
136,2
137,3
138,0
139,0
140,1
141,2
142,0
143,1
144,3
145,3
146,2
147,1
148,3
149,3
150,0
151,0
152,0
153,2
154,3
155,3
156,3
157,1
158,3
159,3
160,2
161,3
162,3
163,3
164,3
165,2
166,3
167,2
168,3
169,1
170,1
171,1
172,1
173,2
174,2
175,1
176,3
177,3
178,2
179,2
180,2
181,1
182,0
183,1
184,2
185,3
186,3
187,2
188,3
189,1
190,3
191,2
192,1
193,3
194,3
195,3
196,3
197,3
198,1
199,1
200,3
201,1
202,2
203,3
204,1
205,3
206,3
207,3
208,1
209,0
210,1
211,1
212,2
213,3
214,1
215,3
216,3
217,2
218,0
219,1
220,3
221,3
222,3
223,3
224,2
225,3
226,3
227,3
228,2
229,3
230,3
231,3
232,0
233,3
234,2
235,2
236,0
237,0
238,3
239,1
240,3
241,2
242,2
243,1
244,3
245,1
246,0
247,3
248,3
249,1
250,0
251,1
252,1
253,3
254,1
255,3
256,0
257,3
258,3
259,3
260,3
261,0
262,1
263,1
264,3
265,3
266,3
267,2
268,0
269,2
270,3
271,0
272,1
273,1
274,3
275,3
276,3
277,3
278,2
279,0
280,3
281,3
282,2
283,3
284,1
285,2
286,3
287,2
288,3
289,3
290,1
291,0
292,3
293,1
294,3
295,3
296,1
297,2
298,2
299,0
300,3
301,1
302,2
303,3
304,0
305,3
306,0
307,2
308,3
309,3
310,2
311,3
312,1
313,2
314,3
315,3
316,0
317,2
318,2
319,3
320,0
321,1
322,2
323,3
324,2
325,2
326,2
327,2
328,0
329,2
330,3
331,2
332,3
333,2
334,2
335,1
336,3
337,1
338,3
339,3
340,1
341,2
342,2
343,3
344,0
345,3
346,1
347,2
348,2
349,0
350,2
351,0
352,1
353,3
354,3
355,2
356,1
357,3
358,3
359,3
360,3
361,2
362,3
363,3
364,0
365,1
366,0
367,3
368,3
369,3
370,3
371,3
372,2
373,3
374,3
375,2
376,3
377,3
378,1
379,2
380,0
381,3
382,2
383,2
384,1
385,0
386,3
387,2
388,3
389,3
390,0
391,3
392,3
393,2
394,2
395,3
396,3
397,2
398,0
399,2
400,3
401,3
402,2
403,2
404,2
405,3
406,1
407,3
408,3
409,1
410,1
411,3
412,3
413,0
414,1
415,0
416,2
417,0
418,1
419,2
420,2
421,1
422,2
423,2
424,3
425,3
426,1
427,0
428,1
429,1
430,0
431,0
432,0
433,3
434,1
435,0
436,3
437,3
438,2
439,1
440,1
441,3
442,1
443,1
444,3
445,3
446,2
447,2
448,1
449,3
450,1
451,3
452,3
453,3
454,2
455,3
456,3
457,0
458,2
459,2
460,3
461,2
462,1
463,3
464,2
465,1
466,3
467,0
468,2
469,2
470,3
471,2
472,2
473,3
474,0
475,3
476,0
477,3
478,3
479,0
480,0
481,3
482,1
483,3
484,3
485,3
486,0
487,3
488,2
489,2
490,3
491,3
492,0
493,2
494,3
495,1
496,3
497,3
498,3
499,2
500,0
501,1
502,2
503,2
504,3
505,1
506,2
507,3
508,2
509,2
510,3
511,3
512,3
513,1
514,3
515,3
516,3
517,3
518,3
519,3
520,0
521,3
522,2
523,0
524,3
525,3
526,3
527,3
528,1
529,3
530,3
531,3
532,3
533,3
534,2
535,2
536,1
537,3
538,0
539,3
540,3
541,0
542,2
543,3
544,2
545,3
546,2
547,1
548,2
549,0
550,3
551,1
552,3
553,2
554,1
555,3
556,3
557,2
558,3
559,3
560,2
561,3
562,2
563,3
564,1
565,3
566,2
567,1
568,3
569,1
570,2
571,3
572,2
573,3
574,2
575,2
576,1
577,2
578,3
579,1
580,3
581,2
582,1
583,2
584,3
585,3
586,0
587,1
588,3
589,1
590,0
591,1
592,3
593,3
594,0
595,0
596,3
597,1
598,0
599,1
600,3
601,0
602,2
603,2
604,3
605,2
606,2
607,3
608,2
609,3
610,3
611,0
612,3
613,3
614,2
615,3
616,2
617,2
618,2
619,2
620,0
621,2
622,2
623,3
624,3
625,0
626,3
627,1
628,2
629,1
630,3
631,3
632,2
633,3
634,0
635,3
636,0
637,1
638,2
639,3
640,3
641,2
642,2
643,2
644,2
645,1
646,2
647,2
648,2
649,3
650,2
651,3
652,2
653,1
654,1
655,1
656,3
657,3
658,1
659,3
660,2
661,2
662,3
663,3
664,1
665,1
666,3
667,3
668,1
669,3
670,1
671,3
672,3
673,1
674,0
675,2
676,3
677,1
678,2
679,0
680,2
681,2
682,3
683,3
