Id,Prediction
1,2
2,3
3,1
4,2
5,1
6,3
7,2
8,1
9,3
10,1
11,1
12,3
13,1
14,1
15,0
16,3
17,3
18,1
19,3
20,0
21,2
22,1
23,1
24,1
25,1
26,1
27,0
28,2
29,3
30,2
31,0
32,1
33,1
34,0
35,1
36,3
37,3
38,1
39,3
40,2
41,0
42,1
43,3
44,0
45,1
46,3
47,2
48,2
49,2
50,3
51,3
52,3
53,2
54,2
55,2
56,3
57,1
58,2
59,2
60,2
61,3
62,1
63,1
64,3
65,1
66,3
67,2
68,3
69,2
70,3
71,3
72,1
73,2
74,2
75,2
76,1
77,2
78,3
79,2
80,1
81,2
82,2
83,1
84,3
85,2
86,3
87,3
88,2
89,3
90,3
91,2
92,0
93,3
94,2
95,2
96,3
97,2
98,3
99,2
100,1
101,3
102,3
103,2
104,2
105,3
106,1
107,3
108,1
109,2
110,0
111,3
112,3
113,1
114,1
115,2
116,0
117,3
118,1
119,3
120,2
121,3
122,1
123,2
124,3
125,2
126,2
127,2
128,3
129,2
130,2
131,0
132,3
133,0
134,3
135,3
136,2
137,3
138,2
139,1
140,3
141,2
142,0
143,0
144,3
145,1
146,2
147,1
148,1
149,3
150,3
151,0
152,2
153,3
154,1
155,3
156,1
157,0
158,3
159,3
160,2
161,3
162,3
163,3
164,0
165,3
166,2
167,3
168,2
169,1
170,2
171,1
172,1
173,1
174,2
175,1
176,3
177,2
178,3
179,2
180,0
181,2
182,2
183,1
184,1
185,2
186,3
187,3
188,3
189,2
190,3
191,3
192,1
193,3
194,1
195,3
196,3
197,3
198,3
199,1
200,1
201,1
202,3
203,2
204,1
205,0
206,3
207,2
208,1
209,1
210,1
211,0
212,2
213,3
214,1
215,2
216,3
217,2
218,0
219,1
220,3
221,3
222,3
223,1
224,3
225,1
226,3
227,3
228,2
229,3
230,1
231,3
232,1
233,3
234,1
235,1
236,0
237,1
238,3
239,2
240,3
241,2
242,3
243,1
244,3
245,2
246,2
247,3
248,3
249,1
250,0
251,3
252,1
253,3
254,1
255,3
256,0
257,2
258,3
259,3
260,3
261,0
262,0
263,1
264,0
265,1
266,3
267,1
268,1
269,2
270,1
271,0
272,0
273,1
274,0
275,2
276,0
277,0
278,3
279,1
280,2
281,3
282,1
283,1
284,1
285,2
286,2
287,2
288,3
289,0
290,1
291,0
292,3
293,1
294,1
295,0
296,1
297,2
298,2
299,3
300,1
301,1
302,2
303,0
304,0
305,3
306,3
307,2
308,2
309,3
310,2
311,1
312,1
313,1
314,3
315,3
316,3
317,2
318,2
319,2
320,0
321,2
322,1
323,3
324,1
325,2
326,2
327,2
328,0
329,0
330,3
331,2
332,1
333,1
334,0
335,2
336,3
337,2
338,3
339,0
340,1
341,2
342,3
343,3
344,2
345,3
346,1
347,3
348,1
349,3
350,3
351,0
352,1
353,2
354,1
355,2
356,1
357,1
358,3
359,3
360,3
361,2
362,3
363,2
364,0
365,1
366,3
367,3
368,3
369,3
370,3
371,2
372,2
373,3
374,2
375,0
376,2
377,2
378,0
379,3
380,2
381,2
382,2
383,2
384,1
385,0
386,1
387,0
388,2
389,2
390,1
391,3
392,3
393,2
394,1
395,3
396,1
397,3
398,0
399,2
400,3
401,3
402,2
403,2
404,2
405,3
406,1
407,1
408,3
409,1
410,1
411,3
412,2
413,2
414,1
415,0
416,2
417,0
418,2
419,2
420,2
421,0
422,2
423,2
424,2
425,3
426,1
427,3
428,3
429,1
430,3
431,3
432,3
433,2
434,0
435,0
436,3
437,3
438,1
439,1
440,1
441,0
442,1
443,1
444,3
445,2
446,2
447,2
448,1
449,3
450,1
451,2
452,2
453,2
454,1
455,3
456,2
457,2
458,1
459,3
460,3
461,2
462,1
463,2
464,2
465,2
466,3
467,1
468,2
469,2
470,2
471,2
472,3
473,2
474,2
475,2
476,3
477,3
478,3
479,0
480,1
481,1
482,2
483,3
484,2
485,2
486,2
487,3
488,2
489,2
490,3
491,2
492,1
493,2
494,2
495,0
496,3
497,1
498,1
499,2
500,2
501,1
502,2
503,1
504,3
505,1
506,1
507,2
508,2
509,2
510,2
511,3
512,2
513,1
514,2
515,3
516,3
517,2
518,1
519,1
520,0
521,2
522,2
523,1
524,0
525,3
526,1
527,3
528,3
529,3
530,2
531,3
532,1
533,1
534,2
535,1
536,2
537,2
538,2
539,3
540,3
541,1
542,2
543,1
544,2
545,3
546,2
547,1
548,2
549,0
550,3
551,3
552,3
553,2
554,1
555,1
556,0
557,2
558,3
559,3
560,0
561,2
562,0
563,2
564,1
565,3
566,2
567,1
568,3
569,2
570,2
571,3
572,1
573,3
574,3
575,2
576,1
577,3
578,3
579,1
580,3
581,2
582,2
583,2
584,0
585,3
586,2
587,1
588,2
589,3
590,1
591,2
592,3
593,2
594,1
595,1
596,3
597,2
598,2
599,1
600,2
601,1
602,2
603,2
604,3
605,2
606,2
607,2
608,2
609,2
610,3
611,0
612,0
613,0
614,2
615,3
616,2
617,2
618,3
619,2
620,3
621,2
622,2
623,0
624,1
625,0
626,3
627,2
628,3
629,1
630,3
631,3
632,0
633,3
634,1
635,3
636,3
637,1
638,2
639,1
640,2
641,2
642,3
643,3
644,0
645,1
646,2
647,2
648,2
649,3
650,2
651,3
652,3
653,1
654,1
655,0
656,2
657,0
658,3
659,3
660,2
661,2
662,2
663,3
664,3
665,0
666,3
667,3
668,1
669,3
670,2
671,3
672,0
673,1
674,2
675,3
676,2
677,1
678,2
679,2
680,2
681,1
682,3
683,2
