Id,Prediction
1,2
2,3
3,3
4,2
5,2
6,3
7,2
8,1
9,3
10,3
11,1
12,3
13,0
14,3
15,0
16,3
17,3
18,2
19,3
20,1
21,2
22,2
23,1
24,0
25,0
26,2
27,0
28,3
29,3
30,0
31,2
32,1
33,1
34,3
35,1
36,2
37,3
38,1
39,2
40,3
41,0
42,3
43,3
44,0
45,0
46,2
47,2
48,3
49,2
50,3
51,3
52,3
53,3
54,2
55,3
56,0
57,2
58,2
59,3
60,0
61,3
62,2
63,3
64,3
65,0
66,3
67,3
68,3
69,3
70,3
71,3
72,1
73,3
74,1
75,3
76,2
77,2
78,3
79,3
80,0
81,2
82,1
83,1
84,3
85,0
86,3
87,3
88,2
89,3
90,3
91,2
92,0
93,3
94,2
95,2
96,3
97,2
98,3
99,3
100,1
101,3
102,3
103,3
104,3
105,3
106,3
107,2
108,1
109,2
110,0
111,3
112,2
113,3
114,1
115,3
116,3
117,2
118,2
119,2
120,2
121,3
122,3
123,2
124,3
125,3
126,2
127,3
128,3
129,2
130,3
131,3
132,2
133,0
134,3
135,2
136,3
137,3
138,2
139,0
140,3
141,2
142,0
143,3
144,3
145,2
146,2
147,0
148,3
149,3
150,2
151,3
152,2
153,2
154,0
155,0
156,3
157,1
158,3
159,2
160,2
161,3
162,2
163,3
164,1
165,3
166,2
167,2
168,3
169,1
170,0
171,1
172,1
173,2
174,2
175,1
176,3
177,3
178,2
179,3
180,2
181,1
182,0
183,1
184,2
185,3
186,3
187,2
188,3
189,3
190,2
191,2
192,0
193,3
194,2
195,3
196,3
197,3
198,1
199,1
200,0
201,2
202,3
203,3
204,1
205,3
206,3
207,0
208,1
209,1
210,1
211,0
212,2
213,3
214,1
215,2
216,3
217,3
218,2
219,1
220,2
221,3
222,3
223,3
224,2
225,3
226,3
227,3
228,3
229,1
230,3
231,2
232,3
233,2
234,3
235,3
236,3
237,1
238,3
239,1
240,0
241,2
242,2
243,1
244,3
245,1
246,3
247,3
248,3
249,1
250,3
251,3
252,1
253,3
254,1
255,3
256,3
257,3
258,2
259,3
260,3
261,3
262,3
263,2
264,3
265,0
266,3
267,1
268,1
269,3
270,3
271,1
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,1
280,3
281,3
282,3
283,3
284,1
285,2
286,2
287,2
288,3
289,3
290,2
291,2
292,2
293,1
294,3
295,3
296,3
297,0
298,2
299,0
300,1
301,1
302,2
303,3
304,0
305,3
306,1
307,2
308,0
309,3
310,2
311,3
312,1
313,0
314,3
315,3
316,2
317,2
318,2
319,1
320,2
321,2
322,2
323,3
324,1
325,3
326,0
327,2
328,3
329,1
330,3
331,2
332,3
333,0
334,0
335,0
336,3
337,1
338,0
339,3
340,3
341,1
342,1
343,3
344,0
345,0
346,1
347,1
348,2
349,3
350,3
351,3
352,1
353,0
354,0
355,2
356,3
357,3
358,3
359,2
360,3
361,2
362,3
363,3
364,2
365,2
366,3
367,3
368,3
369,3
370,3
371,2
372,1
373,3
374,2
375,2
376,3
377,2
378,0
379,2
380,3
381,2
382,1
383,2
384,1
385,3
386,2
387,3
388,3
389,1
390,1
391,2
392,3
393,3
394,2
395,2
396,3
397,2
398,3
399,2
400,3
401,3
402,2
403,3
404,2
405,3
406,1
407,3
408,3
409,1
410,3
411,3
412,2
413,3
414,1
415,3
416,2
417,3
418,1
419,0
420,2
421,3
422,2
423,2
424,2
425,3
426,2
427,1
428,3
429,1
430,3
431,0
432,2
433,0
434,2
435,0
436,0
437,3
438,3
439,1
440,1
441,3
442,1
443,0
444,3
445,1
446,2
447,2
448,3
449,3
450,1
451,3
452,2
453,1
454,0
455,3
456,3
457,3
458,2
459,0
460,3
461,2
462,1
463,3
464,2
465,3
466,3
467,0
468,2
469,2
470,3
471,2
472,2
473,3
474,3
475,3
476,3
477,3
478,3
479,0
480,1
481,3
482,3
483,3
484,1
485,3
486,0
487,3
488,2
489,1
490,3
491,3
492,1
493,3
494,2
495,3
496,3
497,3
498,3
499,2
500,3
501,1
502,2
503,1
504,3
505,1
506,2
507,2
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,3
516,3
517,2
518,2
519,2
520,0
521,3
522,2
523,1
524,3
525,3
526,3
527,3
528,1
529,0
530,2
531,3
532,3
533,3
534,3
535,2
536,0
537,3
538,1
539,3
540,3
541,3
542,2
543,0
544,2
545,3
546,2
547,2
548,2
549,3
550,3
551,2
552,3
553,3
554,1
555,1
556,3
557,2
558,3
559,3
560,3
561,3
562,3
563,2
564,2
565,3
566,3
567,1
568,3
569,2
570,2
571,3
572,1
573,3
574,2
575,2
576,1
577,2
578,3
579,1
580,3
581,2
582,1
583,2
584,2
585,3
586,3
587,2
588,3
589,1
590,1
591,0
592,3
593,3
594,3
595,2
596,2
597,2
598,2
599,1
600,1
601,1
602,2
603,2
604,3
605,2
606,1
607,3
608,2
609,2
610,3
611,3
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,3
620,0
621,2
622,2
623,0
624,3
625,0
626,3
627,3
628,3
629,1
630,2
631,3
632,3
633,3
634,1
635,3
636,3
637,1
638,2
639,3
640,3
641,2
642,3
643,3
644,2
645,1
646,3
647,2
648,2
649,3
650,0
651,3
652,2
653,1
654,0
655,1
656,2
657,3
658,3
659,2
660,2
661,2
662,3
663,3
664,2
665,3
666,3
667,3
668,0
669,3
670,3
671,3
672,0
673,1
674,1
675,1
676,3
677,2
678,2
679,3
680,2
681,2
682,3
683,3
