Id,Prediction
1,2
2,3
3,3
4,3
5,2
6,3
7,3
8,2
9,3
10,3
11,1
12,1
13,3
14,3
15,0
16,3
17,3
18,1
19,3
20,0
21,2
22,2
23,2
24,1
25,0
26,1
27,0
28,3
29,2
30,1
31,2
32,0
33,1
34,2
35,1
36,3
37,3
38,1
39,2
40,0
41,0
42,2
43,3
44,1
45,0
46,2
47,2
48,3
49,1
50,3
51,2
52,3
53,3
54,3
55,1
56,3
57,0
58,2
59,0
60,2
61,3
62,2
63,3
64,1
65,1
66,3
67,3
68,3
69,2
70,1
71,3
72,1
73,3
74,2
75,3
76,1
77,2
78,3
79,2
80,0
81,2
82,2
83,2
84,1
85,2
86,3
87,3
88,3
89,0
90,3
91,2
92,0
93,3
94,2
95,2
96,3
97,3
98,2
99,3
100,1
101,2
102,3
103,2
104,3
105,3
106,0
107,1
108,0
109,1
110,2
111,2
112,3
113,2
114,1
115,2
116,1
117,3
118,2
119,2
120,2
121,1
122,3
123,2
124,3
125,2
126,0
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,1
135,2
136,2
137,3
138,2
139,1
140,1
141,2
142,3
143,0
144,2
145,2
146,3
147,1
148,0
149,3
150,2
151,0
152,2
153,3
154,0
155,2
156,3
157,3
158,3
159,2
160,2
161,3
162,1
163,3
164,1
165,3
166,3
167,2
168,2
169,1
170,0
171,1
172,1
173,2
174,2
175,1
176,3
177,2
178,2
179,3
180,0
181,1
182,1
183,1
184,1
185,3
186,3
187,2
188,1
189,2
190,2
191,2
192,2
193,1
194,2
195,0
196,3
197,3
198,1
199,1
200,0
201,1
202,3
203,3
204,0
205,2
206,3
207,2
208,1
209,1
210,1
211,3
212,3
213,3
214,1
215,3
216,3
217,1
218,3
219,0
220,2
221,3
222,3
223,2
224,2
225,2
226,0
227,3
228,2
229,1
230,2
231,2
232,1
233,3
234,3
235,3
236,3
237,1
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,3
247,3
248,3
249,1
250,1
251,2
252,1
253,3
254,0
255,3
256,1
257,3
258,1
259,0
260,2
261,2
262,0
263,0
264,3
265,1
266,0
267,1
268,1
269,3
270,2
271,0
272,3
273,1
274,2
275,3
276,1
277,3
278,3
279,0
280,2
281,3
282,0
283,3
284,1
285,1
286,3
287,2
288,3
289,1
290,1
291,2
292,3
293,1
294,1
295,1
296,3
297,2
298,2
299,1
300,1
301,2
302,2
303,2
304,0
305,3
306,1
307,2
308,3
309,3
310,3
311,3
312,1
313,3
314,0
315,3
316,1
317,3
318,3
319,3
320,1
321,1
322,2
323,3
324,0
325,2
326,2
327,2
328,2
329,3
330,3
331,2
332,2
333,0
334,0
335,1
336,3
337,1
338,3
339,3
340,3
341,2
342,3
343,3
344,3
345,1
346,1
347,3
348,2
349,3
350,2
351,0
352,1
353,0
354,0
355,2
356,2
357,2
358,2
359,2
360,3
361,3
362,0
363,0
364,0
365,1
366,1
367,3
368,3
369,3
370,3
371,1
372,3
373,3
374,3
375,0
376,3
377,3
378,3
379,1
380,2
381,2
382,2
383,2
384,1
385,1
386,1
387,3
388,3
389,2
390,3
391,3
392,3
393,2
394,0
395,3
396,3
397,3
398,1
399,2
400,3
401,3
402,3
403,1
404,2
405,3
406,1
407,0
408,2
409,0
410,2
411,3
412,2
413,3
414,1
415,2
416,2
417,1
418,3
419,2
420,2
421,2
422,2
423,2
424,2
425,3
426,1
427,0
428,1
429,2
430,3
431,2
432,0
433,3
434,2
435,2
436,3
437,0
438,2
439,1
440,1
441,3
442,1
443,3
444,3
445,2
446,3
447,2
448,3
449,3
450,1
451,3
452,2
453,2
454,0
455,3
456,3
457,3
458,2
459,3
460,3
461,2
462,0
463,3
464,3
465,3
466,3
467,1
468,3
469,2
470,3
471,1
472,0
473,2
474,0
475,0
476,1
477,3
478,3
479,3
480,2
481,0
482,3
483,2
484,3
485,1
486,0
487,3
488,2
489,1
490,3
491,2
492,1
493,3
494,2
495,0
496,3
497,3
498,3
499,1
500,0
501,1
502,3
503,2
504,3
505,1
506,3
507,1
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,2
518,0
519,1
520,1
521,2
522,0
523,1
524,0
525,3
526,2
527,3
528,1
529,3
530,3
531,3
532,1
533,0
534,0
535,3
536,3
537,2
538,1
539,3
540,3
541,0
542,2
543,1
544,2
545,0
546,2
547,2
548,3
549,3
550,3
551,1
552,3
553,3
554,1
555,0
556,1
557,0
558,3
559,0
560,1
561,3
562,3
563,2
564,1
565,3
566,2
567,1
568,0
569,2
570,2
571,1
572,1
573,0
574,3
575,2
576,0
577,2
578,3
579,1
580,3
581,2
582,3
583,3
584,3
585,3
586,3
587,1
588,3
589,2
590,1
591,0
592,3
593,0
594,2
595,0
596,2
597,2
598,1
599,1
600,2
601,2
602,2
603,3
604,3
605,2
606,3
607,3
608,2
609,2
610,3
611,3
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,3
620,3
621,3
622,1
623,1
624,2
625,0
626,3
627,3
628,1
629,3
630,3
631,3
632,2
633,1
634,0
635,0
636,3
637,1
638,2
639,1
640,3
641,0
642,2
643,2
644,2
645,1
646,3
647,3
648,2
649,3
650,0
651,3
652,3
653,1
654,1
655,1
656,2
657,1
658,2
659,2
660,0
661,0
662,2
663,0
664,3
665,0
666,2
667,0
668,1
669,0
670,3
671,2
672,1
673,2
674,1
675,3
676,3
677,0
678,2
679,3
680,3
681,2
682,1
683,2
