Id,Prediction
1,2
2,3
3,1
4,3
5,2
6,3
7,3
8,2
9,3
10,3
11,1
12,1
13,2
14,3
15,2
16,3
17,3
18,2
19,2
20,2
21,2
22,3
23,2
24,1
25,2
26,2
27,3
28,2
29,2
30,1
31,2
32,3
33,1
34,2
35,1
36,2
37,3
38,2
39,3
40,1
41,1
42,3
43,2
44,3
45,0
46,2
47,2
48,2
49,2
50,3
51,3
52,3
53,1
54,1
55,2
56,2
57,2
58,1
59,2
60,2
61,1
62,3
63,3
64,3
65,1
66,1
67,3
68,2
69,2
70,0
71,3
72,2
73,3
74,3
75,3
76,2
77,2
78,3
79,0
80,2
81,2
82,2
83,1
84,2
85,3
86,3
87,0
88,2
89,3
90,2
91,1
92,1
93,3
94,2
95,2
96,3
97,0
98,3
99,3
100,1
101,2
102,3
103,2
104,3
105,3
106,3
107,2
108,1
109,3
110,3
111,3
112,1
113,2
114,2
115,3
116,0
117,3
118,1
119,2
120,2
121,3
122,3
123,2
124,3
125,2
126,2
127,2
128,2
129,2
130,3
131,3
132,3
133,1
134,3
135,2
136,3
137,3
138,2
139,0
140,3
141,0
142,3
143,0
144,3
145,2
146,1
147,1
148,3
149,0
150,2
151,3
152,2
153,0
154,0
155,0
156,3
157,1
158,3
159,3
160,2
161,3
162,2
163,3
164,1
165,2
166,3
167,2
168,2
169,1
170,0
171,1
172,1
173,3
174,2
175,1
176,1
177,0
178,1
179,3
180,3
181,1
182,1
183,1
184,3
185,3
186,3
187,2
188,3
189,2
190,3
191,1
192,1
193,3
194,1
195,2
196,3
197,3
198,1
199,1
200,2
201,1
202,3
203,2
204,1
205,3
206,3
207,2
208,1
209,1
210,1
211,2
212,2
213,3
214,1
215,1
216,3
217,2
218,1
219,1
220,3
221,3
222,3
223,3
224,1
225,1
226,3
227,2
228,3
229,3
230,3
231,2
232,1
233,3
234,2
235,3
236,3
237,1
238,3
239,3
240,3
241,2
242,1
243,1
244,3
245,1
246,3
247,3
248,3
249,3
250,2
251,2
252,1
253,3
254,2
255,3
256,3
257,3
258,1
259,1
260,3
261,3
262,2
263,1
264,3
265,3
266,2
267,2
268,1
269,3
270,1
271,1
272,1
273,2
274,2
275,3
276,3
277,3
278,3
279,1
280,2
281,3
282,2
283,3
284,1
285,3
286,0
287,2
288,3
289,1
290,1
291,2
292,2
293,1
294,3
295,2
296,1
297,2
298,2
299,2
300,2
301,1
302,2
303,0
304,2
305,3
306,1
307,2
308,2
309,3
310,2
311,3
312,1
313,3
314,2
315,3
316,1
317,2
318,2
319,1
320,0
321,3
322,2
323,2
324,1
325,2
326,2
327,2
328,2
329,3
330,2
331,2
332,3
333,2
334,1
335,2
336,3
337,2
338,3
339,3
340,1
341,2
342,2
343,3
344,3
345,1
346,2
347,2
348,2
349,2
350,2
351,1
352,1
353,2
354,2
355,2
356,2
357,2
358,0
359,3
360,3
361,2
362,2
363,3
364,0
365,3
366,3
367,2
368,3
369,3
370,3
371,2
372,2
373,3
374,3
375,2
376,3
377,0
378,3
379,3
380,2
381,3
382,2
383,3
384,1
385,3
386,2
387,2
388,3
389,2
390,1
391,3
392,3
393,3
394,2
395,2
396,1
397,2
398,0
399,2
400,3
401,3
402,2
403,3
404,2
405,3
406,3
407,3
408,3
409,1
410,1
411,3
412,2
413,0
414,1
415,1
416,2
417,2
418,1
419,3
420,2
421,2
422,3
423,2
424,2
425,3
426,3
427,1
428,3
429,1
430,3
431,3
432,2
433,3
434,0
435,2
436,3
437,3
438,2
439,1
440,1
441,2
442,1
443,3
444,2
445,1
446,3
447,2
448,0
449,1
450,1
451,3
452,2
453,2
454,1
455,3
456,3
457,2
458,2
459,3
460,3
461,1
462,1
463,2
464,2
465,3
466,2
467,0
468,2
469,2
470,3
471,2
472,1
473,3
474,2
475,3
476,3
477,3
478,3
479,1
480,2
481,3
482,3
483,3
484,2
485,3
486,1
487,3
488,2
489,2
490,3
491,3
492,1
493,3
494,2
495,2
496,3
497,3
498,2
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,2
507,2
508,2
509,3
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,3
518,3
519,2
520,1
521,3
522,3
523,0
524,1
525,3
526,3
527,2
528,2
529,3
530,1
531,3
532,1
533,2
534,2
535,1
536,3
537,1
538,1
539,3
540,3
541,1
542,2
543,2
544,2
545,1
546,3
547,2
548,1
549,2
550,3
551,1
552,3
553,3
554,1
555,1
556,3
557,2
558,3
559,3
560,3
561,3
562,3
563,3
564,1
565,3
566,2
567,1
568,3
569,1
570,2
571,2
572,1
573,3
574,2
575,2
576,1
577,2
578,2
579,1
580,2
581,2
582,2
583,2
584,2
585,1
586,3
587,1
588,3
589,1
590,1
591,3
592,3
593,3
594,3
595,1
596,3
597,2
598,2
599,1
600,1
601,2
602,2
603,3
604,3
605,2
606,3
607,1
608,2
609,2
610,2
611,2
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,3
620,3
621,3
622,1
623,2
624,1
625,1
626,3
627,3
628,3
629,2
630,3
631,2
632,1
633,3
634,1
635,3
636,3
637,1
638,2
639,3
640,3
641,2
642,2
643,3
644,2
645,1
646,3
647,2
648,2
649,3
650,2
651,3
652,1
653,1
654,2
655,0
656,2
657,2
658,3
659,2
660,1
661,2
662,2
663,3
664,2
665,1
666,2
667,3
668,2
669,3
670,3
671,0
672,3
673,1
674,2
675,2
676,3
677,1
678,2
679,3
680,2
681,2
682,3
683,0
