Id,Prediction
1,2
2,3
3,2
4,3
5,2
6,2
7,2
8,2
9,3
10,3
11,0
12,1
13,2
14,2
15,3
16,3
17,3
18,2
19,3
20,2
21,2
22,3
23,3
24,1
25,3
26,2
27,0
28,3
29,2
30,2
31,3
32,1
33,1
34,3
35,1
36,2
37,3
38,2
39,2
40,2
41,3
42,3
43,3
44,3
45,2
46,3
47,2
48,3
49,1
50,3
51,2
52,3
53,2
54,1
55,3
56,2
57,0
58,2
59,1
60,2
61,3
62,3
63,3
64,2
65,1
66,3
67,3
68,3
69,3
70,1
71,3
72,2
73,1
74,2
75,3
76,3
77,3
78,2
79,3
80,3
81,2
82,1
83,1
84,2
85,1
86,3
87,3
88,2
89,2
90,2
91,2
92,1
93,3
94,3
95,2
96,1
97,2
98,2
99,3
100,1
101,2
102,3
103,3
104,0
105,3
106,2
107,1
108,1
109,1
110,0
111,3
112,2
113,1
114,1
115,3
116,2
117,3
118,2
119,0
120,2
121,1
122,3
123,2
124,3
125,2
126,2
127,0
128,3
129,2
130,3
131,3
132,3
133,3
134,1
135,2
136,3
137,3
138,2
139,1
140,1
141,2
142,3
143,2
144,2
145,2
146,2
147,1
148,3
149,3
150,2
151,2
152,2
153,0
154,2
155,2
156,2
157,3
158,3
159,2
160,3
161,3
162,2
163,3
164,0
165,3
166,3
167,2
168,2
169,2
170,1
171,2
172,1
173,2
174,3
175,1
176,3
177,1
178,2
179,2
180,2
181,1
182,0
183,1
184,0
185,3
186,3
187,2
188,2
189,3
190,3
191,1
192,3
193,3
194,3
195,3
196,3
197,2
198,1
199,1
200,2
201,2
202,3
203,3
204,1
205,3
206,3
207,3
208,1
209,1
210,1
211,2
212,2
213,3
214,1
215,2
216,3
217,1
218,2
219,1
220,3
221,3
222,3
223,2
224,1
225,1
226,3
227,3
228,2
229,3
230,3
231,3
232,3
233,2
234,3
235,2
236,0
237,1
238,3
239,2
240,3
241,2
242,3
243,2
244,3
245,1
246,3
247,2
248,3
249,3
250,3
251,3
252,1
253,3
254,1
255,2
256,1
257,3
258,3
259,3
260,1
261,2
262,3
263,1
264,1
265,2
266,1
267,2
268,1
269,3
270,3
271,2
272,2
273,3
274,1
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,2
284,1
285,3
286,2
287,2
288,3
289,1
290,2
291,2
292,3
293,1
294,0
295,3
296,3
297,2
298,3
299,2
300,2
301,2
302,2
303,1
304,3
305,3
306,1
307,1
308,3
309,3
310,1
311,3
312,1
313,3
314,2
315,3
316,2
317,2
318,2
319,3
320,2
321,3
322,2
323,3
324,1
325,3
326,2
327,1
328,2
329,3
330,2
331,2
332,3
333,0
334,3
335,1
336,3
337,2
338,3
339,3
340,3
341,2
342,3
343,2
344,2
345,2
346,2
347,2
348,2
349,3
350,3
351,1
352,1
353,0
354,2
355,2
356,2
357,2
358,3
359,1
360,3
361,2
362,3
363,3
364,1
365,1
366,1
367,0
368,3
369,3
370,2
371,0
372,2
373,3
374,2
375,3
376,3
377,3
378,1
379,2
380,2
381,3
382,1
383,2
384,1
385,2
386,2
387,2
388,2
389,1
390,1
391,3
392,3
393,2
394,2
395,3
396,3
397,0
398,1
399,3
400,3
401,3
402,0
403,3
404,2
405,3
406,2
407,3
408,3
409,0
410,2
411,3
412,3
413,3
414,1
415,3
416,1
417,1
418,2
419,3
420,2
421,2
422,1
423,2
424,2
425,3
426,2
427,0
428,3
429,2
430,3
431,2
432,2
433,3
434,2
435,3
436,3
437,3
438,2
439,1
440,1
441,3
442,1
443,1
444,3
445,3
446,3
447,2
448,2
449,3
450,1
451,3
452,2
453,2
454,2
455,3
456,2
457,2
458,2
459,0
460,2
461,1
462,2
463,2
464,3
465,3
466,3
467,2
468,3
469,2
470,2
471,2
472,1
473,3
474,1
475,3
476,0
477,3
478,3
479,1
480,1
481,3
482,3
483,3
484,2
485,1
486,1
487,3
488,2
489,2
490,3
491,3
492,1
493,3
494,2
495,2
496,2
497,1
498,3
499,1
500,0
501,1
502,2
503,1
504,3
505,1
506,1
507,1
508,3
509,0
510,3
511,3
512,0
513,1
514,3
515,2
516,3
517,3
518,2
519,1
520,1
521,3
522,2
523,1
524,3
525,3
526,2
527,3
528,1
529,3
530,2
531,3
532,2
533,3
534,3
535,1
536,3
537,2
538,1
539,3
540,2
541,1
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,3
550,3
551,2
552,3
553,3
554,1
555,1
556,0
557,2
558,2
559,3
560,2
561,3
562,1
563,2
564,2
565,3
566,2
567,1
568,3
569,2
570,2
571,3
572,1
573,3
574,1
575,2
576,1
577,2
578,3
579,1
580,2
581,2
582,1
583,1
584,3
585,3
586,1
587,2
588,3
589,2
590,1
591,3
592,2
593,1
594,3
595,1
596,2
597,2
598,3
599,1
600,2
601,2
602,3
603,3
604,3
605,2
606,2
607,1
608,2
609,2
610,3
611,1
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,3
620,3
621,3
622,2
623,3
624,2
625,0
626,3
627,3
628,3
629,1
630,2
631,2
632,2
633,0
634,1
635,2
636,3
637,1
638,2
639,3
640,2
641,2
642,2
643,3
644,3
645,1
646,3
647,3
648,2
649,3
650,1
651,2
652,2
653,2
654,1
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,3
663,3
664,2
665,3
666,3
667,3
668,1
669,3
670,3
671,3
672,3
673,1
674,1
675,2
676,3
677,1
678,2
679,3
680,3
681,2
682,3
683,2
