Id,Prediction
1,2
2,2
3,0
4,3
5,2
6,3
7,0
8,1
9,3
10,3
11,1
12,3
13,2
14,3
15,0
16,3
17,3
18,2
19,3
20,1
21,2
22,2
23,0
24,1
25,0
26,1
27,3
28,3
29,3
30,1
31,2
32,1
33,1
34,3
35,1
36,3
37,3
38,3
39,3
40,1
41,0
42,2
43,2
44,1
45,1
46,1
47,1
48,3
49,2
50,3
51,2
52,1
53,0
54,1
55,1
56,3
57,2
58,2
59,3
60,3
61,3
62,3
63,0
64,3
65,1
66,2
67,3
68,0
69,0
70,0
71,2
72,1
73,1
74,3
75,3
76,2
77,3
78,1
79,2
80,0
81,2
82,1
83,2
84,3
85,0
86,0
87,1
88,3
89,3
90,3
91,2
92,1
93,3
94,2
95,2
96,3
97,2
98,3
99,3
100,1
101,2
102,3
103,2
104,3
105,3
106,1
107,3
108,1
109,2
110,0
111,0
112,0
113,0
114,1
115,2
116,1
117,2
118,2
119,1
120,2
121,3
122,3
123,2
124,3
125,2
126,0
127,2
128,0
129,2
130,1
131,0
132,0
133,2
134,1
135,2
136,3
137,3
138,1
139,0
140,3
141,3
142,0
143,3
144,2
145,2
146,2
147,1
148,3
149,3
150,0
151,0
152,3
153,1
154,0
155,3
156,3
157,3
158,3
159,1
160,2
161,3
162,2
163,3
164,1
165,3
166,2
167,2
168,1
169,1
170,1
171,1
172,1
173,2
174,3
175,1
176,3
177,3
178,2
179,3
180,2
181,1
182,0
183,1
184,0
185,3
186,2
187,2
188,0
189,3
190,3
191,3
192,0
193,3
194,2
195,3
196,2
197,1
198,1
199,1
200,3
201,1
202,2
203,2
204,1
205,3
206,3
207,0
208,1
209,1
210,1
211,0
212,3
213,3
214,1
215,3
216,3
217,2
218,3
219,1
220,2
221,2
222,3
223,2
224,2
225,1
226,3
227,3
228,3
229,3
230,3
231,3
232,0
233,2
234,3
235,3
236,2
237,1
238,2
239,1
240,3
241,2
242,3
243,0
244,3
245,1
246,2
247,0
248,3
249,1
250,0
251,2
252,1
253,3
254,1
255,3
256,0
257,3
258,2
259,1
260,1
261,3
262,0
263,3
264,1
265,3
266,1
267,3
268,2
269,2
270,3
271,0
272,2
273,1
274,0
275,3
276,3
277,3
278,3
279,1
280,3
281,3
282,3
283,3
284,1
285,3
286,3
287,3
288,0
289,2
290,1
291,0
292,3
293,1
294,2
295,3
296,1
297,2
298,3
299,2
300,3
301,1
302,2
303,3
304,0
305,2
306,1
307,2
308,2
309,2
310,3
311,3
312,1
313,2
314,2
315,3
316,2
317,3
318,1
319,1
320,1
321,0
322,2
323,3
324,1
325,3
326,0
327,2
328,3
329,3
330,3
331,2
332,2
333,0
334,0
335,1
336,2
337,2
338,3
339,2
340,1
341,2
342,3
343,1
344,1
345,2
346,1
347,3
348,2
349,3
350,2
351,1
352,1
353,1
354,2
355,2
356,2
357,2
358,1
359,3
360,3
361,3
362,3
363,1
364,1
365,2
366,3
367,2
368,3
369,2
370,2
371,2
372,3
373,3
374,2
375,2
376,3
377,1
378,1
379,2
380,2
381,3
382,2
383,3
384,1
385,0
386,2
387,2
388,2
389,2
390,1
391,3
392,0
393,3
394,2
395,3
396,3
397,3
398,1
399,2
400,1
401,3
402,2
403,3
404,1
405,3
406,1
407,3
408,3
409,1
410,2
411,0
412,3
413,2
414,1
415,2
416,2
417,0
418,1
419,2
420,3
421,1
422,2
423,3
424,2
425,3
426,2
427,1
428,1
429,2
430,3
431,0
432,2
433,0
434,2
435,0
436,3
437,3
438,0
439,2
440,1
441,3
442,1
443,1
444,0
445,1
446,3
447,2
448,2
449,3
450,1
451,3
452,2
453,3
454,0
455,2
456,3
457,2
458,0
459,2
460,3
461,2
462,1
463,2
464,0
465,3
466,3
467,3
468,2
469,3
470,3
471,2
472,0
473,2
474,0
475,3
476,3
477,3
478,0
479,0
480,1
481,3
482,0
483,3
484,1
485,3
486,0
487,3
488,2
489,0
490,3
491,2
492,0
493,3
494,2
495,0
496,0
497,2
498,3
499,0
500,3
501,1
502,2
503,1
504,3
505,1
506,1
507,3
508,2
509,2
510,3
511,0
512,3
513,1
514,2
515,1
516,1
517,3
518,1
519,1
520,1
521,2
522,3
523,1
524,2
525,3
526,3
527,3
528,0
529,1
530,0
531,2
532,3
533,1
534,3
535,3
536,0
537,2
538,0
539,3
540,3
541,0
542,0
543,2
544,2
545,2
546,2
547,1
548,2
549,0
550,0
551,1
552,0
553,1
554,1
555,1
556,2
557,2
558,2
559,3
560,1
561,3
562,0
563,3
564,2
565,0
566,3
567,2
568,2
569,2
570,2
571,2
572,2
573,0
574,1
575,2
576,0
577,2
578,3
579,0
580,1
581,2
582,2
583,2
584,2
585,0
586,2
587,2
588,3
589,0
590,2
591,0
592,2
593,3
594,2
595,3
596,3
597,2
598,2
599,1
600,1
601,0
602,3
603,2
604,3
605,3
606,2
607,1
608,2
609,2
610,3
611,0
612,3
613,1
614,3
615,2
616,1
617,2
618,2
619,3
620,0
621,3
622,2
623,3
624,2
625,0
626,2
627,3
628,0
629,2
630,3
631,2
632,0
633,3
634,0
635,0
636,2
637,1
638,2
639,1
640,0
641,1
642,0
643,3
644,2
645,1
646,3
647,3
648,2
649,3
650,0
651,3
652,2
653,1
654,3
655,1
656,2
657,3
658,2
659,2
660,3
661,2
662,3
663,0
664,0
665,1
666,3
667,3
668,0
669,3
670,0
671,3
672,3
673,1
674,0
675,0
676,2
677,0
678,2
679,3
680,2
681,3
682,0
683,2
