Id,Prediction
1,2
2,3
3,1
4,3
5,2
6,3
7,0
8,3
9,0
10,2
11,0
12,1
13,0
14,3
15,0
16,3
17,3
18,2
19,3
20,1
21,2
22,1
23,0
24,1
25,3
26,0
27,0
28,2
29,3
30,2
31,3
32,2
33,1
34,3
35,1
36,3
37,3
38,1
39,3
40,2
41,0
42,3
43,3
44,0
45,1
46,1
47,3
48,2
49,1
50,0
51,2
52,3
53,0
54,3
55,1
56,1
57,2
58,0
59,3
60,2
61,1
62,3
63,3
64,3
65,0
66,3
67,0
68,3
69,0
70,0
71,2
72,2
73,3
74,2
75,0
76,2
77,2
78,0
79,2
80,0
81,2
82,1
83,1
84,3
85,0
86,3
87,3
88,3
89,3
90,3
91,2
92,1
93,3
94,3
95,3
96,3
97,2
98,3
99,3
100,1
101,2
102,3
103,1
104,2
105,3
106,3
107,3
108,1
109,2
110,0
111,0
112,0
113,0
114,2
115,3
116,2
117,2
118,2
119,3
120,2
121,3
122,3
123,2
124,3
125,2
126,2
127,2
128,3
129,2
130,0
131,2
132,3
133,0
134,3
135,2
136,0
137,1
138,2
139,0
140,0
141,3
142,2
143,0
144,3
145,2
146,2
147,2
148,3
149,3
150,2
151,0
152,0
153,0
154,3
155,3
156,3
157,2
158,2
159,1
160,3
161,3
162,1
163,3
164,0
165,2
166,0
167,2
168,1
169,1
170,2
171,1
172,2
173,2
174,2
175,2
176,0
177,0
178,2
179,1
180,2
181,1
182,0
183,1
184,0
185,3
186,2
187,2
188,3
189,0
190,3
191,3
192,0
193,3
194,2
195,3
196,2
197,0
198,1
199,1
200,3
201,1
202,2
203,3
204,2
205,3
206,3
207,3
208,1
209,0
210,1
211,1
212,3
213,0
214,1
215,3
216,1
217,3
218,3
219,0
220,2
221,0
222,0
223,2
224,2
225,1
226,3
227,3
228,2
229,2
230,3
231,3
232,0
233,3
234,3
235,3
236,0
237,3
238,2
239,0
240,3
241,2
242,3
243,1
244,0
245,1
246,0
247,1
248,3
249,2
250,3
251,3
252,1
253,3
254,0
255,3
256,3
257,3
258,2
259,0
260,3
261,1
262,1
263,2
264,2
265,1
266,0
267,3
268,2
269,3
270,3
271,0
272,0
273,1
274,3
275,3
276,3
277,3
278,3
279,2
280,2
281,3
282,1
283,2
284,1
285,3
286,3
287,3
288,2
289,2
290,2
291,0
292,3
293,1
294,3
295,3
296,1
297,2
298,2
299,2
300,1
301,1
302,2
303,3
304,0
305,3
306,1
307,2
308,3
309,3
310,3
311,3
312,1
313,2
314,3
315,3
316,2
317,3
318,3
319,2
320,1
321,2
322,2
323,3
324,1
325,3
326,0
327,2
328,2
329,0
330,0
331,2
332,3
333,3
334,0
335,0
336,2
337,1
338,2
339,0
340,2
341,1
342,1
343,0
344,0
345,0
346,0
347,0
348,2
349,3
350,3
351,0
352,2
353,1
354,1
355,0
356,0
357,3
358,1
359,0
360,3
361,0
362,3
363,0
364,2
365,3
366,3
367,0
368,3
369,3
370,2
371,2
372,3
373,3
374,1
375,2
376,3
377,2
378,3
379,2
380,2
381,0
382,0
383,2
384,1
385,0
386,2
387,3
388,3
389,2
390,0
391,3
392,0
393,3
394,2
395,3
396,3
397,0
398,0
399,3
400,1
401,0
402,0
403,3
404,2
405,3
406,2
407,3
408,3
409,1
410,2
411,1
412,2
413,2
414,1
415,0
416,1
417,2
418,0
419,2
420,3
421,2
422,2
423,1
424,3
425,1
426,2
427,1
428,2
429,3
430,2
431,1
432,3
433,0
434,1
435,0
436,3
437,3
438,0
439,1
440,1
441,1
442,1
443,2
444,3
445,2
446,3
447,2
448,2
449,3
450,1
451,3
452,2
453,0
454,2
455,3
456,3
457,2
458,2
459,2
460,3
461,0
462,1
463,2
464,2
465,3
466,3
467,0
468,2
469,0
470,3
471,2
472,2
473,3
474,0
475,3
476,0
477,3
478,3
479,0
480,2
481,2
482,3
483,3
484,3
485,3
486,0
487,3
488,3
489,1
490,3
491,2
492,1
493,0
494,2
495,2
496,3
497,2
498,3
499,3
500,1
501,1
502,2
503,1
504,3
505,1
506,2
507,3
508,2
509,2
510,3
511,3
512,3
513,1
514,0
515,1
516,3
517,2
518,0
519,1
520,3
521,2
522,1
523,1
524,2
525,3
526,3
527,3
528,1
529,3
530,2
531,2
532,0
533,2
534,3
535,3
536,0
537,1
538,1
539,3
540,3
541,0
542,2
543,0
544,2
545,2
546,2
547,0
548,0
549,0
550,3
551,2
552,0
553,2
554,1
555,1
556,2
557,3
558,0
559,3
560,2
561,3
562,3
563,2
564,0
565,3
566,2
567,1
568,2
569,2
570,2
571,1
572,1
573,3
574,0
575,2
576,2
577,3
578,3
579,2
580,0
581,2
582,3
583,2
584,0
585,2
586,2
587,0
588,2
589,0
590,0
591,0
592,2
593,3
594,2
595,0
596,3
597,3
598,0
599,1
600,2
601,2
602,3
603,3
604,3
605,3
606,2
607,1
608,0
609,3
610,3
611,0
612,2
613,0
614,2
615,2
616,2
617,2
618,2
619,2
620,0
621,2
622,0
623,3
624,2
625,0
626,3
627,3
628,1
629,1
630,3
631,3
632,0
633,3
634,1
635,3
636,2
637,2
638,1
639,3
640,2
641,0
642,3
643,0
644,1
645,1
646,2
647,3
648,2
649,3
650,0
651,2
652,2
653,2
654,1
655,2
656,1
657,3
658,2
659,3
660,2
661,2
662,2
663,3
664,1
665,0
666,0
667,3
668,0
669,3
670,0
671,2
672,3
673,3
674,0
675,0
676,2
677,0
678,2
679,3
680,3
681,2
682,3
683,1
