Id,Prediction
1,2
2,1
3,2
4,2
5,2
6,2
7,2
8,2
9,3
10,1
11,1
12,2
13,1
14,3
15,0
16,3
17,3
18,1
19,2
20,1
21,2
22,2
23,2
24,2
25,0
26,0
27,0
28,2
29,2
30,0
31,3
32,1
33,1
34,0
35,1
36,2
37,3
38,2
39,3
40,0
41,0
42,3
43,2
44,0
45,2
46,2
47,1
48,3
49,2
50,3
51,1
52,3
53,2
54,3
55,2
56,3
57,2
58,0
59,1
60,0
61,3
62,3
63,3
64,3
65,0
66,3
67,0
68,2
69,0
70,0
71,0
72,1
73,3
74,3
75,3
76,2
77,0
78,2
79,3
80,3
81,2
82,1
83,1
84,3
85,0
86,3
87,1
88,1
89,3
90,2
91,2
92,3
93,3
94,2
95,2
96,2
97,3
98,2
99,3
100,1
101,2
102,3
103,3
104,3
105,3
106,0
107,3
108,1
109,3
110,1
111,2
112,0
113,0
114,1
115,0
116,2
117,3
118,2
119,3
120,2
121,0
122,3
123,2
124,2
125,2
126,0
127,2
128,0
129,2
130,0
131,0
132,3
133,2
134,1
135,1
136,0
137,3
138,3
139,0
140,1
141,2
142,0
143,3
144,3
145,0
146,0
147,1
148,0
149,1
150,2
151,0
152,3
153,2
154,3
155,2
156,3
157,2
158,0
159,1
160,2
161,3
162,2
163,3
164,1
165,1
166,2
167,2
168,3
169,1
170,0
171,1
172,1
173,1
174,2
175,1
176,0
177,3
178,2
179,0
180,3
181,1
182,0
183,3
184,3
185,1
186,3
187,3
188,0
189,0
190,3
191,2
192,1
193,3
194,2
195,3
196,3
197,3
198,2
199,1
200,1
201,1
202,3
203,3
204,2
205,2
206,1
207,0
208,1
209,2
210,1
211,2
212,3
213,3
214,1
215,2
216,3
217,0
218,3
219,1
220,2
221,3
222,2
223,1
224,2
225,3
226,0
227,1
228,3
229,3
230,0
231,3
232,1
233,0
234,3
235,0
236,3
237,3
238,3
239,1
240,2
241,2
242,3
243,1
244,2
245,2
246,0
247,0
248,3
249,1
250,3
251,2
252,0
253,3
254,0
255,1
256,2
257,3
258,2
259,0
260,0
261,3
262,0
263,1
264,3
265,3
266,2
267,2
268,1
269,3
270,3
271,3
272,3
273,2
274,2
275,3
276,3
277,3
278,2
279,1
280,2
281,3
282,3
283,2
284,1
285,0
286,2
287,2
288,0
289,1
290,3
291,0
292,3
293,1
294,3
295,0
296,3
297,2
298,2
299,2
300,1
301,0
302,3
303,3
304,3
305,3
306,0
307,2
308,2
309,3
310,2
311,3
312,1
313,2
314,3
315,1
316,0
317,2
318,0
319,1
320,3
321,2
322,2
323,3
324,1
325,3
326,0
327,2
328,2
329,1
330,0
331,2
332,2
333,0
334,0
335,0
336,2
337,2
338,2
339,2
340,2
341,1
342,1
343,2
344,1
345,2
346,3
347,2
348,2
349,3
350,0
351,0
352,1
353,1
354,1
355,2
356,1
357,2
358,3
359,0
360,3
361,0
362,2
363,0
364,0
365,1
366,1
367,0
368,2
369,3
370,3
371,2
372,0
373,1
374,2
375,2
376,3
377,2
378,0
379,2
380,2
381,0
382,0
383,2
384,0
385,2
386,3
387,3
388,3
389,2
390,0
391,2
392,2
393,3
394,2
395,3
396,3
397,2
398,0
399,3
400,2
401,0
402,0
403,3
404,2
405,3
406,1
407,0
408,0
409,1
410,0
411,3
412,3
413,2
414,1
415,2
416,2
417,0
418,3
419,3
420,3
421,2
422,2
423,2
424,2
425,3
426,2
427,2
428,1
429,2
430,3
431,3
432,2
433,0
434,1
435,1
436,3
437,3
438,2
439,2
440,1
441,3
442,1
443,1
444,0
445,2
446,3
447,2
448,2
449,0
450,1
451,3
452,2
453,2
454,1
455,0
456,1
457,2
458,2
459,1
460,0
461,0
462,1
463,3
464,2
465,3
466,2
467,0
468,2
469,2
470,2
471,2
472,2
473,2
474,0
475,0
476,0
477,3
478,3
479,0
480,2
481,2
482,0
483,2
484,0
485,3
486,0
487,3
488,0
489,3
490,3
491,3
492,0
493,3
494,3
495,0
496,3
497,2
498,3
499,0
500,1
501,1
502,2
503,1
504,2
505,1
506,1
507,2
508,2
509,3
510,3
511,0
512,3
513,1
514,2
515,3
516,3
517,2
518,3
519,2
520,3
521,2
522,3
523,1
524,3
525,3
526,3
527,0
528,0
529,3
530,2
531,3
532,0
533,2
534,3
535,3
536,0
537,1
538,1
539,3
540,3
541,3
542,2
543,3
544,3
545,3
546,2
547,2
548,2
549,3
550,3
551,3
552,2
553,3
554,1
555,0
556,3
557,1
558,0
559,3
560,0
561,3
562,0
563,2
564,0
565,3
566,1
567,1
568,3
569,3
570,3
571,2
572,1
573,2
574,3
575,2
576,3
577,3
578,3
579,0
580,0
581,2
582,2
583,3
584,0
585,2
586,0
587,1
588,2
589,0
590,3
591,1
592,2
593,1
594,0
595,3
596,3
597,3
598,1
599,1
600,1
601,1
602,3
603,2
604,1
605,2
606,1
607,1
608,2
609,2
610,1
611,0
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,2
620,0
621,3
622,2
623,3
624,2
625,0
626,3
627,2
628,3
629,1
630,2
631,3
632,0
633,0
634,0
635,0
636,3
637,1
638,3
639,2
640,2
641,1
642,0
643,3
644,2
645,1
646,1
647,3
648,1
649,3
650,0
651,3
652,1
653,2
654,3
655,1
656,3
657,2
658,2
659,2
660,2
661,2
662,3
663,3
664,2
665,2
666,2
667,3
668,1
669,3
670,0
671,3
672,3
673,1
674,2
675,0
676,1
677,3
678,2
679,1
680,2
681,2
682,3
683,0
