Id,Prediction
1,2
2,3
3,1
4,3
5,2
6,3
7,2
8,1
9,3
10,3
11,1
12,3
13,1
14,3
15,0
16,3
17,3
18,2
19,2
20,2
21,2
22,2
23,1
24,1
25,2
26,2
27,3
28,2
29,2
30,2
31,2
32,2
33,1
34,1
35,1
36,2
37,3
38,1
39,2
40,2
41,2
42,3
43,3
44,2
45,0
46,2
47,2
48,2
49,2
50,3
51,3
52,3
53,3
54,2
55,0
56,0
57,2
58,2
59,3
60,2
61,3
62,2
63,3
64,3
65,1
66,3
67,2
68,3
69,3
70,2
71,2
72,1
73,3
74,1
75,3
76,2
77,2
78,3
79,2
80,3
81,2
82,1
83,1
84,3
85,2
86,3
87,3
88,2
89,2
90,2
91,0
92,2
93,3
94,2
95,2
96,3
97,2
98,3
99,3
100,1
101,3
102,3
103,3
104,3
105,3
106,2
107,2
108,1
109,1
110,2
111,3
112,1
113,3
114,1
115,3
116,3
117,3
118,2
119,1
120,0
121,3
122,3
123,2
124,2
125,2
126,2
127,2
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,2
136,2
137,3
138,1
139,1
140,2
141,2
142,2
143,2
144,3
145,3
146,3
147,1
148,3
149,3
150,2
151,3
152,2
153,3
154,0
155,3
156,3
157,1
158,3
159,2
160,2
161,3
162,2
163,3
164,1
165,2
166,2
167,2
168,2
169,1
170,1
171,1
172,1
173,2
174,2
175,1
176,3
177,0
178,2
179,3
180,2
181,1
182,1
183,1
184,2
185,2
186,3
187,3
188,3
189,3
190,2
191,2
192,0
193,3
194,2
195,0
196,3
197,2
198,1
199,1
200,3
201,2
202,3
203,3
204,1
205,3
206,3
207,3
208,1
209,1
210,1
211,0
212,2
213,0
214,1
215,1
216,3
217,2
218,2
219,1
220,2
221,3
222,3
223,3
224,2
225,3
226,3
227,3
228,2
229,2
230,3
231,2
232,2
233,2
234,3
235,3
236,3
237,2
238,2
239,1
240,2
241,2
242,2
243,1
244,3
245,1
246,2
247,2
248,2
249,1
250,0
251,2
252,1
253,3
254,1
255,3
256,3
257,2
258,1
259,2
260,3
261,3
262,3
263,1
264,3
265,2
266,3
267,2
268,1
269,1
270,2
271,1
272,3
273,3
274,2
275,3
276,3
277,3
278,2
279,1
280,2
281,3
282,3
283,3
284,1
285,2
286,2
287,2
288,3
289,3
290,2
291,2
292,2
293,1
294,3
295,3
296,3
297,3
298,2
299,2
300,1
301,1
302,3
303,2
304,0
305,3
306,1
307,2
308,2
309,3
310,2
311,2
312,1
313,3
314,3
315,3
316,3
317,2
318,2
319,2
320,2
321,3
322,2
323,3
324,1
325,2
326,2
327,3
328,2
329,1
330,2
331,2
332,2
333,1
334,2
335,1
336,3
337,1
338,3
339,3
340,3
341,2
342,1
343,3
344,3
345,3
346,1
347,2
348,2
349,3
350,3
351,3
352,1
353,3
354,2
355,2
356,2
357,3
358,3
359,2
360,3
361,2
362,3
363,3
364,1
365,1
366,3
367,3
368,3
369,3
370,3
371,3
372,1
373,3
374,3
375,2
376,3
377,0
378,2
379,2
380,2
381,3
382,2
383,2
384,1
385,3
386,2
387,2
388,3
389,1
390,1
391,2
392,3
393,2
394,1
395,2
396,3
397,3
398,3
399,2
400,3
401,3
402,2
403,2
404,2
405,3
406,1
407,3
408,3
409,1
410,3
411,3
412,2
413,3
414,1
415,3
416,2
417,0
418,1
419,3
420,2
421,3
422,2
423,2
424,2
425,2
426,2
427,1
428,2
429,1
430,3
431,2
432,2
433,3
434,2
435,2
436,2
437,3
438,0
439,1
440,1
441,3
442,1
443,3
444,3
445,2
446,3
447,2
448,3
449,3
450,1
451,3
452,2
453,2
454,2
455,3
456,3
457,3
458,2
459,0
460,3
461,2
462,2
463,3
464,3
465,2
466,2
467,1
468,2
469,2
470,3
471,2
472,2
473,3
474,2
475,3
476,3
477,3
478,3
479,2
480,2
481,0
482,3
483,3
484,2
485,3
486,2
487,3
488,2
489,1
490,3
491,3
492,1
493,3
494,2
495,3
496,3
497,2
498,3
499,2
500,3
501,1
502,2
503,1
504,3
505,1
506,3
507,2
508,3
509,2
510,3
511,3
512,3
513,1
514,3
515,3
516,3
517,3
518,0
519,3
520,3
521,2
522,2
523,1
524,2
525,3
526,3
527,2
528,1
529,3
530,2
531,2
532,2
533,3
534,2
535,1
536,3
537,2
538,1
539,3
540,3
541,3
542,1
543,2
544,2
545,3
546,2
547,2
548,2
549,0
550,3
551,2
552,3
553,3
554,1
555,1
556,2
557,2
558,3
559,2
560,3
561,3
562,2
563,3
564,1
565,3
566,2
567,1
568,2
569,2
570,2
571,3
572,1
573,3
574,3
575,2
576,1
577,2
578,2
579,1
580,3
581,2
582,1
583,2
584,3
585,3
586,2
587,2
588,3
589,1
590,1
591,2
592,2
593,3
594,3
595,1
596,2
597,2
598,2
599,1
600,2
601,1
602,2
603,2
604,3
605,2
606,1
607,2
608,2
609,2
610,3
611,3
612,2
613,3
614,3
615,3
616,2
617,2
618,1
619,3
620,3
621,3
622,2
623,0
624,3
625,1
626,2
627,2
628,3
629,1
630,2
631,3
632,2
633,3
634,1
635,3
636,3
637,1
638,2
639,3
640,3
641,2
642,2
643,3
644,2
645,1
646,3
647,2
648,2
649,3
650,2
651,3
652,3
653,1
654,1
655,1
656,2
657,2
658,3
659,2
660,2
661,2
662,3
663,3
664,2
665,2
666,3
667,3
668,1
669,2
670,3
671,3
672,2
673,1
674,1
675,1
676,3
677,2
678,2
679,3
680,2
681,1
682,3
683,2
