Id,Prediction
1,0
2,3
3,3
4,3
5,1
6,3
7,2
8,0
9,3
10,3
11,1
12,1
13,0
14,3
15,0
16,2
17,3
18,3
19,3
20,1
21,2
22,2
23,3
24,1
25,1
26,2
27,3
28,2
29,0
30,2
31,2
32,3
33,1
34,2
35,1
36,3
37,3
38,3
39,3
40,1
41,0
42,1
43,3
44,0
45,0
46,3
47,2
48,2
49,0
50,3
51,3
52,3
53,3
54,3
55,2
56,1
57,2
58,2
59,0
60,2
61,2
62,3
63,3
64,3
65,0
66,3
67,3
68,1
69,2
70,0
71,3
72,2
73,3
74,0
75,2
76,0
77,2
78,3
79,0
80,0
81,2
82,2
83,1
84,3
85,0
86,3
87,1
88,3
89,3
90,1
91,0
92,3
93,0
94,2
95,3
96,3
97,2
98,0
99,0
100,1
101,2
102,3
103,3
104,2
105,0
106,1
107,3
108,1
109,2
110,3
111,0
112,2
113,0
114,2
115,3
116,2
117,2
118,2
119,1
120,2
121,1
122,3
123,2
124,3
125,3
126,0
127,3
128,2
129,3
130,0
131,0
132,2
133,0
134,0
135,2
136,3
137,3
138,1
139,0
140,2
141,2
142,1
143,0
144,3
145,0
146,2
147,2
148,3
149,3
150,3
151,2
152,0
153,3
154,3
155,3
156,3
157,3
158,2
159,1
160,2
161,3
162,1
163,3
164,0
165,3
166,3
167,2
168,1
169,1
170,2
171,2
172,1
173,2
174,0
175,1
176,2
177,3
178,2
179,3
180,2
181,1
182,0
183,1
184,3
185,3
186,3
187,1
188,1
189,0
190,3
191,2
192,0
193,3
194,2
195,3
196,0
197,3
198,1
199,1
200,3
201,1
202,3
203,3
204,2
205,3
206,3
207,3
208,1
209,2
210,1
211,1
212,2
213,0
214,1
215,3
216,3
217,0
218,2
219,1
220,2
221,2
222,3
223,1
224,2
225,1
226,3
227,0
228,2
229,2
230,3
231,2
232,0
233,3
234,3
235,2
236,0
237,3
238,0
239,1
240,0
241,2
242,3
243,1
244,0
245,1
246,0
247,3
248,0
249,3
250,1
251,3
252,1
253,3
254,0
255,2
256,0
257,3
258,3
259,2
260,3
261,1
262,0
263,1
264,2
265,3
266,3
267,3
268,2
269,2
270,0
271,0
272,0
273,2
274,0
275,3
276,0
277,3
278,3
279,1
280,0
281,3
282,1
283,2
284,1
285,2
286,2
287,2
288,3
289,1
290,3
291,2
292,2
293,1
294,3
295,0
296,1
297,2
298,2
299,1
300,3
301,1
302,2
303,3
304,0
305,1
306,1
307,2
308,0
309,3
310,3
311,3
312,1
313,2
314,2
315,3
316,2
317,2
318,0
319,2
320,3
321,2
322,2
323,3
324,1
325,0
326,0
327,2
328,2
329,3
330,3
331,2
332,2
333,0
334,0
335,0
336,2
337,0
338,3
339,2
340,1
341,2
342,2
343,0
344,1
345,0
346,0
347,3
348,2
349,3
350,2
351,0
352,1
353,0
354,2
355,2
356,2
357,1
358,1
359,3
360,0
361,0
362,3
363,0
364,2
365,3
366,3
367,0
368,3
369,3
370,3
371,2
372,3
373,3
374,1
375,2
376,3
377,3
378,3
379,3
380,3
381,3
382,0
383,3
384,1
385,3
386,2
387,3
388,2
389,2
390,0
391,3
392,1
393,2
394,0
395,2
396,3
397,2
398,0
399,0
400,3
401,0
402,0
403,3
404,2
405,2
406,2
407,1
408,2
409,1
410,3
411,2
412,0
413,1
414,1
415,2
416,1
417,2
418,0
419,2
420,2
421,2
422,3
423,2
424,2
425,3
426,1
427,1
428,1
429,2
430,2
431,2
432,2
433,3
434,3
435,0
436,0
437,0
438,2
439,1
440,1
441,0
442,1
443,0
444,2
445,1
446,3
447,2
448,2
449,3
450,1
451,3
452,2
453,2
454,0
455,2
456,2
457,3
458,2
459,2
460,2
461,0
462,3
463,2
464,2
465,2
466,2
467,1
468,2
469,0
470,2
471,2
472,0
473,0
474,0
475,0
476,1
477,3
478,3
479,0
480,3
481,3
482,3
483,3
484,2
485,0
486,0
487,2
488,2
489,1
490,3
491,3
492,0
493,2
494,3
495,2
496,3
497,3
498,3
499,3
500,2
501,1
502,2
503,1
504,3
505,1
506,1
507,1
508,0
509,2
510,3
511,0
512,2
513,1
514,3
515,2
516,3
517,2
518,3
519,3
520,0
521,3
522,2
523,1
524,2
525,3
526,3
527,2
528,0
529,0
530,2
531,3
532,0
533,2
534,2
535,3
536,0
537,2
538,1
539,0
540,3
541,3
542,1
543,3
544,2
545,3
546,3
547,0
548,2
549,0
550,3
551,1
552,3
553,2
554,1
555,1
556,3
557,2
558,3
559,2
560,0
561,2
562,3
563,2
564,0
565,3
566,2
567,1
568,2
569,3
570,0
571,1
572,1
573,3
574,0
575,2
576,1
577,3
578,1
579,1
580,0
581,2
582,2
583,2
584,1
585,3
586,2
587,2
588,3
589,0
590,0
591,0
592,2
593,3
594,0
595,0
596,3
597,2
598,0
599,1
600,2
601,2
602,2
603,2
604,3
605,2
606,3
607,1
608,2
609,3
610,3
611,1
612,2
613,3
614,0
615,3
616,2
617,2
618,2
619,2
620,0
621,3
622,2
623,2
624,2
625,0
626,0
627,2
628,0
629,1
630,3
631,3
632,3
633,3
634,1
635,0
636,3
637,2
638,0
639,0
640,3
641,3
642,2
643,3
644,2
645,1
646,2
647,2
648,2
649,0
650,2
651,3
652,3
653,1
654,3
655,2
656,0
657,3
658,3
659,3
660,2
661,0
662,2
663,1
664,2
665,2
666,1
667,0
668,1
669,0
670,3
671,3
672,3
673,2
674,1
675,0
676,3
677,0
678,3
679,3
680,2
681,2
682,3
683,2
